pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-08-14,87.9,-1.83,6.01,"Bido, Osvaldo",668901,674370,field_out,hit_into_play,,,,,2,Mark Vientos lines out to right fielder Henry Davis.,R,R,R,4,6,X,9,line_drive,0,2,2023,0.15,0.29,0.0,3.18,,,542364,0,8,Bot,178.53,113.58,,,682848,,,4.124316823695681,-128.00079260445767,-1.406788942633868,0.8125849911364148,24.64816978806734,-28.845121098421533,3.6,1.66,251,95.3,16,87.8,2262,6.1,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.45,0.706,0.682,0.0,1,0,0,4,71,3,Slider,0.5833333333333333,0.2,7,2,2,7,7,2,Standard,Standard,113,-0.001,-0.151
SL,2023-08-14,86.4,-1.89,5.91,"Bido, Osvaldo",668901,674370,field_out,foul_tip,,,,,6,Mark Vientos lines out to right fielder Henry Davis.,R,R,R,4,6,S,9,line_drive,0,1,2023,0.4,0.79,0.8,2.34,,,542364,0,8,Bot,178.53,113.58,,,682848,,,5.563788665399842,-125.79908861381269,-3.953124692597406,3.2970314993745884,23.1887195943198,-23.20872763604893,3.6,1.66,251,95.3,16,86.7,2332,6.2,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.28,0.706,0.682,0.0,1,0,0,4,71,2,Slider,0.5833333333333333,0.2,7,2,2,7,7,2,Standard,Standard,76,0.0,-0.047
CH,2023-08-14,88.0,-1.71,6.02,"Bido, Osvaldo",668901,674370,field_out,swinging_strike,,,,,4,Mark Vientos lines out to right fielder Henry Davis.,R,R,R,4,6,S,9,line_drive,0,0,2023,-1.45,0.96,-0.31,2.88,,,542364,0,8,Bot,178.53,113.58,,,682848,,,6.450123736088144,-127.99609594432862,-3.4823502236103456,-17.30129831983795,27.58456182400154,-21.15997359424064,3.6,1.66,251,95.3,16,88.3,2157,6.6,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,53.87,0.706,0.682,0.0,1,0,0,4,71,1,Changeup,0.5833333333333333,0.2,7,2,2,7,7,2,Standard,Standard,219,0.0,-0.038
FC,2023-08-14,91.0,-2.75,5.32,"Gott, Trevor",675961,641627,strikeout,swinging_strike,,,,,2,Alika Williams strikes out swinging.,R,R,R,4,6,S,2,line_drive,1,2,2023,0.24,0.95,0.17,3.12,,,542364,2,8,Top,178.53,113.58,,,682626,,,6.785913244139741,-132.50501128144177,-1.713450634803233,1.5298576215389084,25.569847353924672,-20.735120214996847,3.42,1.59,251,95.3,16,91.2,2306,6.1,717002,641627,682626,624413,660620,668901,596019,607043,542364,643446,54.35,0.706,0.682,0.0,1,0,0,4,70,4,Cutter,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,193,0.002,-0.072
FF,2023-08-14,93.8,-2.79,5.33,"Gott, Trevor",675961,641627,strikeout,called_strike,,,,,9,Alika Williams strikes out swinging.,R,R,R,4,6,S,2,line_drive,1,1,2023,-0.52,1.25,0.65,2.04,,,542364,2,8,Top,178.53,113.58,,,682626,,,10.017631988438511,-136.2586281271044,-5.517587200347773,-8.592794286522437,28.97480331906476,-15.588888779434845,3.59,1.7,251,95.3,16,93.6,2228,6.2,717002,641627,682626,624413,660620,668901,596019,607043,542364,643446,54.31,0.706,0.682,0.0,1,0,0,4,70,3,4-Seam Fastball,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,221,0.0,-0.028
SI,2023-08-14,94.9,-3.03,5.07,"Gott, Trevor",675961,641627,strikeout,called_strike,,,,,6,Alika Williams strikes out swinging.,R,R,R,4,6,S,2,line_drive,1,0,2023,-1.45,0.39,0.5,2.98,,,542364,2,8,Top,178.53,113.58,,,682626,,,12.36846222143114,-137.73567191493328,-0.6543274400921387,-21.16905497118633,29.96198565912058,-27.226141577098108,3.65,1.7,251,95.3,16,94.2,2109,5.9,717002,641627,682626,624413,660620,668901,596019,607043,542364,643446,54.55,0.706,0.682,0.0,1,0,0,4,70,2,Sinker,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,233,0.0,-0.022
SI,2023-08-14,94.9,-2.91,5.15,"Gott, Trevor",675961,641627,strikeout,ball,,,,,14,Alika Williams strikes out swinging.,R,R,R,4,6,B,2,line_drive,0,0,2023,-1.27,0.5,1.13,2.19,,,542364,2,8,Top,178.53,113.58,,,682626,,,13.322028189170178,-137.65153643317328,-3.179227486050724,-19.06375568391915,29.153194210181947,-25.22266942110727,3.65,1.76,251,95.3,16,94.3,2162,6.0,717002,641627,682626,624413,660620,668901,596019,607043,542364,643446,54.47,0.706,0.682,0.0,1,0,0,4,70,1,Sinker,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,222,0.0,0.018
FF,2023-08-14,94.6,-2.81,5.28,"Gott, Trevor",678894,641627,strikeout,swinging_strike,,,,,3,Liover Peguero strikes out swinging.,R,R,R,4,6,S,2,line_drive,2,2,2023,-0.56,1.28,0.38,3.53,,,542364,1,8,Top,178.53,113.58,,,682626,,,9.52232955593654,-137.42907183307165,-1.7350681771350112,-9.202364897055231,29.92022178053452,-15.780882673709494,3.63,1.71,251,95.3,16,94.2,2196,6.1,717002,641627,682626,624413,660620,668901,596019,607043,542364,643446,54.38,0.706,0.682,0.0,1,0,0,4,69,5,4-Seam Fastball,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,225,0.003,-0.147
FC,2023-08-14,90.3,-2.72,5.27,"Gott, Trevor",678894,641627,strikeout,ball,,,,,14,Liover Peguero strikes out swinging.,R,R,R,4,6,B,2,line_drive,1,2,2023,0.18,0.63,1.23,2.05,,,542364,1,8,Top,178.53,113.58,,,682626,,,9.39653423045363,-131.18969435469182,-3.415426190846043,0.1607045408607721,26.6473988954147,-24.3193110207048,3.86,1.77,251,95.3,16,90.1,2344,6.1,717002,641627,682626,624413,660620,668901,596019,607043,542364,643446,54.36,0.706,0.682,0.0,1,0,0,4,69,4,Cutter,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,189,0.0,0.029
FF,2023-08-14,93.9,-2.59,5.41,"Gott, Trevor",678894,641627,strikeout,foul,,,,,4,Liover Peguero strikes out swinging.,R,R,R,4,6,S,2,line_drive,1,1,2023,-0.76,1.22,-0.34,2.69,,,542364,1,8,Top,178.53,113.58,,,682626,,,7.480351461242439,-136.64685409956516,-4.0344463159106825,-11.091938918336448,29.08327566798433,-16.21445698074358,3.63,1.71,251,95.3,16,93.7,2157,6.1,717002,641627,682626,624413,660620,668901,596019,607043,542364,643446,54.43,0.706,0.682,0.0,1,0,0,4,69,3,4-Seam Fastball,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,222,0.0,-0.043
FC,2023-08-14,90.3,-2.96,5.26,"Gott, Trevor",678894,641627,strikeout,ball,,,,,12,Liover Peguero strikes out swinging.,R,R,R,4,6,B,2,line_drive,0,1,2023,0.38,0.55,1.22,3.55,,,542364,1,8,Top,178.53,113.58,,,682626,,,9.554579042832415,-131.30264359984724,0.501000059212049,2.50003734274243,26.65349343256983,-26.169311825812343,3.86,1.77,251,95.3,16,90.0,2119,6.0,717002,641627,682626,624413,660620,668901,596019,607043,542364,643446,54.45,0.706,0.682,0.0,1,0,0,4,69,2,Cutter,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,189,0.0,0.02
SI,2023-08-14,95.3,-2.97,5.17,"Gott, Trevor",678894,641627,strikeout,called_strike,,,,,6,Liover Peguero strikes out swinging.,R,R,R,4,6,S,2,line_drive,0,0,2023,-1.35,0.47,0.37,3.03,,,542364,1,8,Top,178.53,113.58,,,682626,,,11.725840098016082,-138.33767308096483,-1.0079503894447328,-20.05778598790593,31.881532634458463,-26.14807614911556,3.92,1.82,251,95.3,16,94.4,2072,6.0,717002,641627,682626,624413,660620,668901,596019,607043,542364,643446,54.52,0.706,0.682,0.0,1,0,0,4,69,1,Sinker,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,228,0.0,-0.027
FF,2023-08-14,94.3,-2.98,5.27,"Gott, Trevor",663845,641627,field_out,hit_into_play,,,,,2,Alfonso Rivas flies out to left fielder Brandon Nimmo.,R,L,R,4,6,X,7,fly_ball,1,2,2023,-0.75,1.16,-0.21,3.03,,,542364,0,8,Top,54.85,129.79,,,682626,,,8.79772654524867,-137.01449637428752,-2.6868740280327903,-11.371805132467507,30.56003736626015,-17.14498379938062,3.27,1.54,246,87.4,55,93.6,2153,6.0,717002,641627,682626,624413,660620,668901,596019,607043,542364,643446,54.49,0.017,0.02,0.0,1,0,0,3,68,4,4-Seam Fastball,0.5833333333333333,0.2,2,7,2,7,2,7,Strategic,Standard,227,0.006,-0.173
