Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
71,Nicolau Mir Spain,12.933,0,0,14.233,14.466,0,41.632
72,Javier Rojo Mexico,13.166,0,0,14.333,13.466,0,40.965
73,Sergei Naidin Russia,0,14.533,0,0,14.433,11.9,40.866
74,Nicolo Mozzato Italy,14,11.966,0,0,14.4,0,40.366
75,Marios Georgiou Cyprus,0,12.6,0,0,14.8,12.8,40.2
76,Dario Sissakis Germany,13.633,12.266,0,14.3,0,0,40.199
77,Felix Remuta Germany,13.7,0,0,12.9,13.333,0,39.933
78,Zaid Khater Egypt,12.9,0,12.733,13.933,0,0,39.566
79,Andrin Frey Switzerland,13.966,12.366,0,13.2,0,0,39.532
80,Rene Cournoyer Canada,13.666,0,0,0,14.4,11.033,39.099
81,Ahmed Abdelrahman Egypt,0,12.666,0,13.066,12.333,0,38.065
82,Roman Vashchenko Ukraine,13.933,0,12.3,0,0,11.8,38.033
83,Pavel Gulidov Israel,13.033,0,11.466,0,13.166,0,37.665
84,Trinh Hai Khang Vietnam,11.966,0,0,13.966,11.7,0,37.632
85,Adam Dobrovitz Hungary,10.95,0,12.2,12.933,0,0,36.083
86,Ashish Kumar India,0,11,12.1,10.083,0,0,33.183
87,Hu Xuwei China,0,0,0,0,15.233,14.533,29.766
88,Courtney Tulloch Great Britain,0,0,14.666,14.533,0,0,29.199
89,Donnell Whittenburg United States,13.866,0,0,15.033,0,0,28.899
90,Petro Pakhniuk Ukraine,0,13.9,0,0,14.666,0,28.566
91,Yahor Sharamkou Belarus,13.766,0,0,14.566,0,0,28.332
92,Ivan Stretovich Russia,14.266,0,0,0,0,14,28.266
93,Shiao Yu-Jan Taiwan,13.933,14.233,0,0,0,0,28.166
94,Frank Rijken Netherlands,0,13.966,0,0,14.133,0,28.099
95,Noe Seifert Switzerland,0,13.466,0,0,14.566,0,28.032
96,Ondrej Kalny Czech Republic,14.2,0,0,13.766,0,0,27.966
97,Filip Lidbeck Sweden,13.433,0,0,14.3,0,0,27.733
98,Thomas Grasso Italy,12.8,0,0,14.833,0,0,27.633
99,Zachary Clay Canada,0,13.933,0,0,13.633,0,27.566
100,Alexander Myakinin Israel,0,13.566,0,0,0,13.8,27.366
100,Mukhammadzhon Yakubov Russia,13.233,0,0,14.133,0,0,27.366
102,Vladislav Poliashov Russia,0,13.766,0,0,13.533,0,27.299
103,Vladyslav Hryko Ukraine,0,14.166,0,0,0,13.066,27.232
104,Felix Dolci Canada,0,0,13.666,0,0,13.4,27.066
105,Maxime Gentges Belgium,0,13.033,0,0,0,13.9,26.933
106,Lin Guan-Yi Taiwan,0,0,14.133,0,12.2,0,26.333
107,Tseng Wei-Sheng Taiwan,12.766,0,0,13.366,0,0,26.132
108,Dominick Cunningham Great Britain,11.466,0,0,14.633,0,0,26.099
108,David Rumbutis Sweden,0,0,12.833,13.266,0,0,26.099
110,Brinn Bevan Great Britain,0,11.666,0,0,14.366,0,26.032
111,Kristopher Bohorquez Colombia,0,0,13.366,0,12.633,0,25.999
112,Josue Juarez Mexico,0,0,0,0,14.566,11.333,25.899
113,Javier Sandoval Colombia,0,13.133,0,0,0,12.666,25.799
114,Thierno Diallo Spain,0,13.033,12.366,0,0,0,25.399
115,Dilan Jimenez Colombia,11.866,0,0,13.366,0,0,25.232
116,Antonios Tantalidis Greece,13.033,12.166,0,0,0,0,25.199
117,Mustafa Arca Turkey,11.466,0,0,13.666,0,0,25.132
118,Stefanos Tsolakidis Greece,0,12.8,0,0,12.2,0,25
119,Szabolcs Batori Hungary,0,12.033,0,0,12.866,0,24.899
120,Santos Martinez Mexico,0,0,11.7,13.033,0,0,24.733
121,Dimitar Dimitrov Bulgaria,10.6,0,0,14.1,0,0,24.7
122,Ivan Tikhonov Azerbaijan,0,0,0,13.7,0,10.966,24.666
123,Phan Ngoc Hung Vietnam,0,12.5,11.8,0,0,0,24.3
124,Ilyas Azizov Kazakhstan,13.933,9.966,0,0,0,0,23.899
125,Gagik Khachikyan Armenia,0,11.6,0,0,12.066,0,23.666
126,Moreno Kratter Switzerland,11.033,0,0,0,0,11.975,23.008
127,Abdelrahman Abdelhaleem Egypt,0,11.366,0,0,0,11.6,22.966
128,Yazan Al Souliman Syria,0,9.933,0,0,12.533,0,22.466
129,Igor Radivilov Ukraine,0,0,7.166,14.7,0,0,21.866
130,Diego Neumaier Mexico,0,12.4,0,0,0,8.433,20.833
131,Kerem Sener Turkey,0,8.866,0,0,0,11.166,20.032
132,Weng Hao China,0,15.6,0,0,0,0,15.6
133,Stephen Nedoroscik United States,0,15.366,0,0,0,0,15.366
134,Alec Yoder United States,0,15.3,0,0,0,0,15.3
135,Lan Xingyu China,0,0,15.266,0,0,0,15.266
136,Nariman Kurbanov Kazakhstan,0,15,0,0,0,0,15
137,Minami Kazuki Japan,14.966,0,0,0,0,0,14.966
138,Yonekura Hidenobu Japan,0,0,0,14.933,0,0,14.933
139,Yang Hakseon South Korea,0,0,0,14.933,0,0,14.933
140,Filip Ude Croatia,0,14.866,0,0,0,0,14.866
141,Christian Baumann Switzerland,0,0,0,0,14.841,0,14.841
142,Vinzenz Höck Austria,0,0,14.766,0,0,0,14.766
142,Grigoriy Klimentev Russia,0,0,14.766,0,0,0,14.766
142,Ibrahim Colak Turkey,0,0,14.766,0,0,0,14.766
145,Harutyun Merdinyan Armenia,0,14.666,0,0,0,0,14.666
145,Salvatore Maresca Italy,0,0,14.666,0,0,0,14.666
147,Andrey Medvedev Israel,0,0,0,14.6,0,0,14.6
147,Marco Lodadio Italy,0,0,14.6,0,0,0,14.6
149,Hayden Skinner Great Britain,14.566,0,0,0,0,0,14.566
149,Marian Dragulescu Romania,0,0,0,14.566,0,0,14.566
152,Emil Soravuo Finland,14.533,0,0,0,0,0,14.533
153,Brody Malone United States,0,0,0,0,0,14.366,14.366
154,Asato Keisuke Japan,0,0,0,14.3,0,0,14.3
154,Uchimura Kohei Japan,0,0,0,0,0,14.3,14.3
156,Carlo Macchini Italy,0,0,0,0,0,14.266,14.266
157,Ali Zahran Egypt,0,0,14.233,0,0,0,14.233
158,Saso Bertoncelj Slovenia,0,14.133,0,0,0,0,14.133
159,Andreas Bretschneider Germany,0,0,0,0,0,14.1,14.1
159,Shek Wai Hung Hong Kong,0,0,0,14.1,0,0,14.1
161,Ng Ka Ki Hong Kong,0,0,0,14,0,0,14
162,Chris Kaji Canada,0,0,13.966,0,0,0,13.966
163,Mateo Zugec Croatia,0,13.866,0,0,0,0,13.866
163,David Vecsernyes Hungary,0,0,0,0,0,13.866,13.866
165,Arthur Mariano Brazil,0,0,0,0,0,13.766,13.766
165,Jakov Vlahek Croatia,0,13.766,0,0,0,0,13.766
165,Rhys McClenaghan Ireland,0,13.766,0,0,0,0,13.766
168,Stavros Gkinis Greece,0,0,13.666,0,0,0,13.666
169,Jaffar Saleh Al Sayigh Saudi Arabia,0,0,0,13.6,0,0,13.6
170,Rani Dalsgard Denmark,13.5,0,0,0,0,0,13.5
171,Xheni Dyrmishi Austria,0,13.466,0,0,0,0,13.466
171,Jon Gunnarsson Iceland,0,0,13.466,0,0,0,13.466
173,Konstantine Konstantinidis Greece,0,0,13.4,0,0,0,13.4
174,Sercan Demir Turkey,0,0,0,0,13.366,0,13.366
174,Alexander Diab United States,0,0,13.366,0,0,0,13.366
176,Cyril Tommasone France,0,13.333,0,0,0,0,13.333
177,Huang Mingqi China,0,0,0,13.233,0,0,13.233
178,Radomir Sliz Czech Republic,0,12.566,0,0,0,0,12.566
179,Adria Vera Spain,0,0,0,0,0,12.466,12.466
180,Auren Benovic Croatia,12.366,0,0,0,0,0,12.366
181,Ilfrat Imarjanov Kazakhstan,0,0,0,0,12.066,0,12.066
182,Bae Garam South Korea,0,11.9,0,0,0,0,11.9
183,Elias Koski Finland,0,11.366,0,0,0,0,11.366
184,Jayson Rampersad Canada,0,11.333,0,0,0,0,11.333
185,Nasser Al Samiri Saudi Arabia,0,0,0,0,10.933,0,10.933
186,Taha Serhani Switzerland,0,0,0,0,0,10.666,10.666
187,Christoforos Konstantinidis Greece,10.566,0,0,0,0,0,10.566
188,Marko Jovicic Croatia,10.1,0,0,0,0,0,10.1
