"CubeId";"plimoinreg"
"PublishingDate";"2024-09-23 09:00"

"Date";"D0";"D1";"D2";"Value"
"1976";"MW";"RG0";"A";"45.34427701"
"1976";"MW";"RW";"A";"42.051311"
"1976";"BF";"GS";"A";"57.72526319"
"1976";"BF";"RZ";"A";"57.20368363"
"1976";"BF";"RB1";"A";"62.91921387"
"1976";"BF";"RG1";"A";"54.61939779"
"1976";"BF";"US";"A";"56.49182085"
"1976";"GF";"GS";"A";"56.48758647"
"1976";"GF";"RZ";"A";"48.83429792"
"1976";"GF";"RB1";"A";"62.08849522"
"1976";"GF";"RG1";"A";"65.06743158"
"1976";"GF";"US";"A";"51.75682802"
"1977";"EW";"GS";"A";"52.27041037"
"1977";"EW";"GS";"T";
"1977";"EW";"RZ";"A";"55.99278465"
"1977";"EW";"RZ";"T";
"1977";"EW";"RO";"A";"45.24948672"
"1977";"EW";"RO";"T";
"1977";"EW";"RI";"A";"40.82328462"
"1977";"EW";"RI";"T";
"1977";"EW";"RN";"A";"47.41834422"
"1977";"EW";"RN";"T";
"1977";"EW";"RB0";"A";"56.4937865"
"1977";"EW";"RB0";"T";
"1977";"EW";"RS";"A";"53.11107427"
"1977";"EW";"RS";"T";
"1977";"EW";"RG0";"A";"51.37594019"
"1977";"EW";"RG0";"T";
"1977";"EW";"RW";"A";"56.3209855"
"1977";"EW";"RW";"T";
"1977";"EH";"GS";"A";"52.99788167"
"1977";"EH";"GS";"T";
"1977";"EH";"RZ";"A";"54.05334859"
"1977";"EH";"RZ";"T";
"1977";"EH";"RO";"A";"47.4186289"
"1977";"EH";"RO";"T";
"1977";"EH";"RI";"A";"42.40168236"
"1977";"EH";"RI";"T";
"1977";"EH";"RN";"A";"49.79729311"
"1977";"EH";"RN";"T";
"1977";"EH";"RB0";"A";"55.05678225"
"1977";"EH";"RB0";"T";
"1977";"EH";"RS";"A";"56.26739229"
"1977";"EH";"RS";"T";
"1977";"EH";"RG0";"A";"54.66025268"
"1977";"EH";"RG0";"T";
"1977";"EH";"RW";"A";"53.09207653"
"1977";"EH";"RW";"T";
"1977";"MW";"GS";"A";"48.29315496"
"1977";"MW";"RZ";"A";"54.31352856"
"1977";"MW";"RO";"A";"45.62971399"
"1977";"MW";"RI";"A";"43.53249184"
"1977";"MW";"RN";"A";"47.4412895"
"1977";"MW";"RB0";"A";"48.814259"
"1977";"MW";"RS";"A";"47.55914491"
"1977";"MW";"RG0";"A";"45.68132161"
"1977";"MW";"RW";"A";"42.55289977"
"1977";"BF";"GS";"A";"55.72894307"
"1977";"BF";"RZ";"A";"56.22829944"
