iter	Passed	Remaining
170	425	817
171	427	814
172	428	810
173	430	807
174	433	805
175	435	801
176	437	799
177	440	796
178	443	794
179	445	791
180	446	787
181	448	784
182	451	781
183	453	779
184	456	777
185	460	777
186	462	774
187	464	770
188	466	767
189	469	765
190	471	762
191	474	760
192	476	757
193	478	754
194	480	751
195	482	747
196	484	745
197	488	744
198	490	742
199	493	739
200	495	736
201	497	733
202	499	730
203	501	727
204	504	725
205	507	724
206	509	720
207	511	717
208	513	714
209	515	711
210	517	709
211	520	706
212	523	705
213	525	702
214	527	699
215	529	696
216	531	693
217	534	690
218	535	687
219	539	686
220	541	683
221	543	680
222	545	677
223	547	675
224	550	672
225	553	670
226	556	668
227	558	665
228	560	663
229	562	660
230	564	657
231	566	654
232	569	652
233	571	650
234	574	647
235	576	644
236	577	641
237	579	638
238	582	635
239	584	633
240	587	631
241	590	629
242	592	626
243	593	623
244	596	620
245	598	617
246	600	615
247	604	613
248	606	611
249	608	608
250	610	606
251	613	603
252	617	602
253	620	601
254	622	598
255	625	596
256	627	593
257	630	591
258	633	589
259	636	587
260	638	585
261	641	582
262	643	579
263	646	577
264	649	575
265	651	573
266	654	570
267	656	568
268	659	566
269	662	564
270	664	561
271	666	559
272	668	556
273	670	553
274	673	550
275	674	547
276	677	545
277	679	542
278	682	540
279	683	537
280	685	534
281	688	532
282	690	529
283	692	526
284	694	523
285	696	521
286	698	518
287	701	516
288	703	513
289	705	510
290	707	508
291	709	505
292	711	502
293	713	499
294	715	497
295	716	494
296	718	491
297	720	488
298	723	486
299	724	483
300	726	480
301	728	477
302	730	475
303	732	472
304	734	469
305	736	466
306	738	464
307	740	461
308	741	458
309	743	455
310	745	452
311	747	450
312	749	447
313	751	445
314	753	442
315	755	439
316	757	437
317	759	434
318	760	431
319	763	429
320	765	426
321	767	424
322	769	421
323	771	418
324	773	416
325	775	413
326	777	411
327	779	408
328	781	406
329	783	403
330	784	400
331	786	398
332	788	395
333	790	392
334	792	390
335	794	387
336	796	385
337	797	382
338	799	379
339	801	377
340	803	374
341	805	372
342	807	369
343	809	367
344	811	364
345	813	362
346	815	359
347	817	357
348	819	354
349	821	351
350	823	349
351	825	346
352	827	344
353	828	341
354	830	339
355	832	336
356	834	334
357	836	331
358	838	329
359	840	326
360	842	324
361	844	321
362	846	319
363	848	316
364	849	314
365	851	311
366	853	309
367	854	306
368	856	304
369	858	301
370	860	299
371	862	296
372	864	294
373	866	291
374	867	289
375	869	286
376	871	284
377	873	282
378	875	279
379	877	277
380	879	274
381	881	272
382	883	269
383	885	267
384	886	264
385	888	262
386	890	259
387	892	257
388	894	255
389	896	252
390	898	250
391	900	247
392	902	245
393	904	243
394	906	240
395	908	238
396	910	236
397	911	233
398	913	231
399	915	228
400	917	226
401	919	224
402	921	221
403	922	219
404	924	216
405	926	214
406	928	212
407	930	209
408	932	207
409	933	204
410	935	202
411	937	200
412	939	197
413	941	195
414	943	193
415	945	190
416	947	188
417	948	186
418	950	183
419	952	181
420	954	179
421	956	176
422	958	174
423	960	172
424	962	169
425	963	167
426	965	165
427	967	162
428	969	160
429	971	158
430	973	155
431	975	153
432	976	151
433	978	148
434	980	146
435	982	144
436	983	141
437	985	139
438	987	137
439	989	134
440	990	132
441	992	130
442	994	127
443	996	125
444	997	123
445	999	121
446	1001	118
447	1003	116
448	1004	114
449	1006	111
450	1008	109
451	1010	107
452	1012	105
453	1014	102
454	1015	100
455	1017	98
456	1020	95
457	1022	93
458	1023	91
459	1026	89
460	1028	86
461	1029	84
462	1031	82
463	1033	80
464	1035	77
465	1037	75
466	1039	73
467	1041	71
468	1043	68
469	1045	66
470	1047	64
471	1048	62
472	1050	59
473	1052	57
474	1054	55
475	1056	53
476	1058	51
477	1060	48
478	1062	46
479	1064	44
480	1065	42
481	1067	39
482	1069	37
483	1071	35
484	1073	33
485	1075	30
486	1077	28
487	1079	26
488	1082	24
489	1084	22
490	1087	19
491	1090	17
492	1094	15
493	1096	13
494	1100	11
495	1103	8
496	1107	6
497	1109	4
498	1111	2
499	1113	0
