Rank,Athlete,Nation,D,E,ND,Total,round,year
27,Katarzyna Jurkowska,POL,5.2,7.733,-0.1,12.833,qual,2015
28,Krystyna Sankova,UKR,5.4,7.8,-0.4,12.8,qual,2015
29,Houry Gebeshian,ARM,4.7,8.033,0.0,12.733,qual,2015
30,Ellis O’Reilly,IRL,4.9,7.833,0.0,12.733,qual,2015
31,Zoi Lima,POR,5.0,7.733,0.0,12.733,qual,2015
32,Tara Donnelly,IRL,4.8,7.9,0.0,12.7,qual,2015
33,Ainhoa Carmona,ESP,4.8,7.866,0.0,12.666,qual,2015
34,Gaya Giladi,ISR,4.8,7.833,0.0,12.633,qual,2015
35,Tzuf Feldon,ISR,4.7,7.866,0.0,12.566,qual,2015
36,Tjasa Kysselef,SLO,4.6,7.9,0.0,12.5,qual,2015
37,Daria Spiridonova,RUS,5.2,7.266,0.0,12.466,qual,2015
38,Rosanna Ojala,FIN,4.9,7.466,0.0,12.366,qual,2015
39,Barbora Mokosova,SVK,4.4,7.933,0.0,12.333,qual,2015
40,Kitti Honti,HUN,4.9,7.633,0.0,12.333,qual,2015
41,Marina Nekrasova,AZE,5.0,7.5,-0.3,12.2,qual,2015
42,Michelle Timm,GER,4.8,7.5,-0.1,12.2,qual,2015
43,Martine Skregelid,NOR,4.8,7.4,0.0,12.2,qual,2015
44,Carlotta Barloggio,SUI,4.9,7.533,-0.3,12.133,qual,2015
45,Monica Sileoni,FIN,4.6,7.533,0.0,12.133,qual,2015
46,Paula Raya,ESP,4.8,7.333,0.0,12.133,qual,2015
47,Maria Simou,GRE,4.4,7.7,0.0,12.1,qual,2015
48,Eniko Horvath,HUN,4.6,7.466,0.0,12.066,qual,2015
49,Aliaksandra Koshaleva,BLR,4.2,7.833,0.0,12.033,qual,2015
50,Linnea Wang,DEN,4.6,7.433,0.0,12.033,qual,2015
51,Louise Vanhille,FRA,5.2,7.133,-0.3,12.033,qual,2015
52,Albena Zlatkova,BUL,5.0,7.366,-0.4,11.966,qual,2015
53,Gabriele Blazyte,LTU,4.5,7.4,0.0,11.9,qual,2015
54,Noel van Klaveren,NED,5.6,6.366,-0.1,11.866,qual,2015
55,Dominiqua Belanyi,ISL,4.3,7.6,-0.1,11.8,qual,2015
56,Dina Nygaard,NOR,4.4,7.333,0.0,11.733,qual,2015
57,Norma Robertsdottir,ISL,4.9,6.833,0.0,11.733,qual,2015
58,Thelma Hermansdottir,ISL,4.8,6.9,0.0,11.7,qual,2015
59,Nora Fernandez,ESP,5.0,6.8,-0.1,11.7,qual,2015
60,Mette Hulgaard,DEN,4.9,7.066,-0.3,11.666,qual,2015
61,Ilaria Käslin,SUI,5.2,6.433,0.0,11.633,qual,2015
62,Ralitsa Mileva,BUL,4.1,7.5,0.0,11.6,qual,2015
63,Julie Krogsgaard,DEN,4.2,7.4,0.0,11.6,qual,2015
64,Nato Dzidziguri,GEO,4.9,6.866,-0.3,11.466,qual,2015
65,Andrea Orradottir,ISL,4.4,7.033,0.0,11.433,qual,2015
66,Tutya Yilmaz,TUR,5.2,6.266,-0.1,11.366,qual,2015
67,Alina Circene,LAT,4.2,7.1,0.0,11.3,qual,2015
68,Demet Mutlu,TUR,4.9,6.366,0.0,11.266,qual,2015
69,Suzanne Buttigieg,MLT,3.8,7.433,0.0,11.233,qual,2015
70,Sofie Bråten,NOR,4.4,6.833,0.0,11.233,qual,2015
71,Vaida Zitineviciute,LTU,4.4,6.9,-0.1,11.2,qual,2015
72,Anastasija Dubova,LAT,3.6,7.5,0.0,11.1,qual,2015
73,Anna-Maria Kanyai,CZE,4.9,6.6,-0.4,11.1,qual,2015
74,Ekin Morova,TUR,5.1,6.333,-0.4,11.033,qual,2015
75,Anastasiya Yekimenka,BLR,4.0,6.933,0.0,10.933,qual,2015
76,Mia Haerum,NOR,4.6,6.433,-0.1,10.933,qual,2015
77,Mariia Smirnova,AZE,4.0,7.2,-0.4,10.8,qual,2015
78,Claire Rose Azzopardi,MLT,3.6,7.2,0.0,10.8,qual,2015
79,Kirsty Caruana,MLT,4.4,6.033,0.0,10.433,qual,2015
