"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2023-07-07","85.6","-1.82","6.89","Verlander, Justin",592518,434378,,"ball",,,,,12,"Manny Machado pops out to first baseman Pete Alonso.","R","R","R","SD","NYM","B",,,0,0,2023,"0.44","0.61","1.29","3.14",,,665742,1,5,"Bot",,,,,682626,,,6.439841127352503,-124.60388409063084,-3.8699692838454034,3.4127217953229465,23.031806946410242,-25.200713192354197,"3.92","1.74",,,,"85.7",2521,"6.1",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.37",,,,,,,,47,1,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",150,"0","0.043"
"FF","2023-07-07","95.4","-1.54","6.86","Verlander, Justin",665487,434378,"strikeout","swinging_strike",,,,,12,"Fernando Tatis Jr.  strikes out swinging.","R","R","R","SD","NYM","S",2,,0,2,2023,"-0.68","1.85","1.03","3.74",,,665742,0,5,"Bot",,,,,682626,,,8.229297720739257,-138.50222914133437,-6.672030185462754,-10.572001395802761,31.792581119140706,-7.066206613446929,"3.65","1.74",,,,"94.7",2400,"6.1",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.43",,,"0",1,0,0,,46,3,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard",202,"-0.043","-0.236"
"CU","2023-07-07","78.1","-1.94","6.82","Verlander, Justin",665487,434378,,"foul",,,,,5,"Fernando Tatis Jr.  strikes out swinging.","R","R","R","SD","NYM","S",,,0,1,2023,"0.36","-1.12","0.14","2.63",,,665742,0,5,"Bot",,,,,682626,,,3.8159737745154914,-113.60394189899611,0.042205042372080115,2.215686654677995,24.586808495344663,-41.99133025613229,"3.65","1.74",,,,"77.1",2700,"6",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.51",,,,,,,,46,2,"Curveball",3,3,3,3,3,3,3,3,"Standard","Standard",40,"0","-0.058"
"SL","2023-07-07","88.2","-1.92","6.78","Verlander, Justin",665487,434378,,"foul",,,,,14,"Fernando Tatis Jr.  strikes out swinging.","R","R","R","SD","NYM","S",,,0,0,2023,"-0.19","0.4","0.95","1.9",,,665742,0,5,"Bot",,,,,682626,,,7.335275496159045,-128.10655558313653,-6.460757538599148,-3.8009365653190157,29.81888888259062,-26.56103665239873,"3.65","1.74",5,"72.8",-21,"87.3",2571,"6.1",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.37",,,,,,,,46,1,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",176,"0","-0.055"
"FF","2023-07-07","93.8","-1.59","6.66","Verlander, Justin",665742,434378,"walk","ball",,,,,12,"Juan Soto walks.","R","L","R","SD","NYM","B",,,3,1,2023,"-0.53","1.48","1.11","2.82",,,,0,5,"Bot",,,,,682626,,,8.102206129982564,-136.07424882975297,-7.342077505351652,-8.458317988543925,33.39724871525749,-12.322297963940397,"3.05","1.31",,,,"92.8",2472,"6.1",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.35",,,"0.7",1,0,0,,45,5,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard",210,"0.047","0.234"
"FF","2023-07-07","92.8","-1.72","6.71","Verlander, Justin",665742,434378,,"called_strike",,,,,3,"Juan Soto walks.","R","L","R","SD","NYM","S",,,3,0,2023,"-0.54","1.37","0.56","2.52",,,,0,5,"Bot",,,,,682626,,,6.951202720501415,-134.71184790889563,-7.7726034783930595,-8.184472391500105,32.748421524044275,-13.980490071812824,"2.92","1.31",,,,"91.7",2365,"6",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.45",,,,,,,,45,4,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard",213,"0","-0.078"
"FF","2023-07-07","93.1","-1.65","6.73","Verlander, Justin",665742,434378,,"ball",,,,,13,"Juan Soto walks.","R","L","R","SD","NYM","B",,,2,0,2023,"-0.7","1.2","-0.22","1.14",,,,0,5,"Bot",,,,,682626,,,5.187922607982411,-135.05799616801824,-11.075582728716642,-9.70805844578277,33.42289079438408,-15.059789278104851,"3.12","1.49",,,,"92.3",2444,"6.3",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.21",,,,,,,,45,3,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard",211,"0","0.136"
"SL","2023-07-07","86.8","-1.86","6.72","Verlander, Justin",665742,434378,,"ball",,,,,14,"Juan Soto walks.","R","L","R","SD","NYM","B",,,1,0,2023,"-0.37","0.67","0.29","0.72",,,,0,5,"Bot",,,,,682626,,,5.855173153318358,-126.0397634620791,-9.474654492324632,-5.086173488466545,25.59366218054265,-23.25804635515384,"3.01","1.29",,,,"86.3",2473,"6.1",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.44",,,,,,,,45,2,"Slider",3,3,3,3,3,3,3,3,"Strategic","Standard",173,"0","0.065"
"CU","2023-07-07","76.7","-1.93","6.84","Verlander, Justin",665742,434378,,"ball",,,,,14,"Juan Soto walks.","R","L","R","SD","NYM","B",,,0,0,2023,"0.94","-1.28","1.21","1.18",,,,0,5,"Bot",,,,,682626,,,4.900342706783461,-111.44087026873919,-2.479273996788052,6.668132963055897,24.214035719233067,-42.36609893831266,"3.14","1.47",,,,"75.7",2820,"6.1",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.4",,,,,,,,45,1,"Curveball",3,3,3,3,3,3,3,3,"Strategic","Standard",42,"0","0.037"
"SL","2023-07-07",,"-1.61","6.64","Verlander, Justin",673490,434378,"strikeout","called_strike",,,,,8,"Ha-Seong Kim called out on strikes.","R","R","R","SD","NYM","S",2,,2,2,2023,"-0.08","0.62","-0.05","1.63",,,,2,4,"Bot",,,,,682626,,,4.022279384026139,-130.03267103663978,-7.53263036001566,-1.8531201457723192,29.976071067083247,-23.70108484425023,"3.37","1.53",,,,,,,717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.42",,,"0",1,0,0,,38,5,"Slider",3,2,3,2,2,3,3,2,"Strategic","Standard",178,"-0.011","-0.091"
