ID,type,address,city,postcode,lat,lon,rentNet,rentGross,currency,livingSpace,arePetsAllowed,hasFlatSharingCommunity,isUnderRoof,CHF/m2,title,categories,numberOfRooms,floor,yearBuilt,isNewBuilding,yearLastRenovated,hasGarage,hasParking,hasRamp,isWheelchairAccessible,isOldBuilding,hasSwimmingPool,hasFireplace,isCornerHouse,isMiddleHouse,hasGardenShed,hasLiftingPlatform,hasBalcony,hasCableTv,isGroundFloorRaised,hasNiceView,hasConnectedBuildingLand,hasElevator,isChildFriendly,distanceHighSchool,distanceKindergarten,distancePrimarySchool,distanceMotorway,distancePublicTransport,balcony,builtInKitchen,garden,offerType,personId,region
4001090050,"['APARTMENT', 'FLAT']",Pierrefleur 30,Lausanne,1004,46.534841781973,6.616722311601,1625,1870,CHF,64,True,,,29.21875,Dans un quartier calme et verdoyant,"['APARTMENT', 'FLAT']",2.5,5,1960,,2011,,True,,,True,,,,,,,,True,,,,True,True,800,750,220,,10,,,,RENT,679,schweiz
4001086148,"['APARTMENT', 'FLAT']",Bözingenstrasse 140,Biel/Bienne,2504,47.151651781975,7.265602311605,1130,1330,CHF,104,True,,,12.788461538461538,Zentral wohnen in der Stadt Biel!,"['APARTMENT', 'FLAT']",3,4,1961,,,True,True,,,,,,,,,,True,True,,,,True,True,500,100,100,,10,,,,RENT,679,schweiz
4001081872,"['APARTMENT', 'FLAT']",Spisergasse 28,St. Gallen,9000,47.424561781977,9.378272311603,1745,1965,CHF,83,True,,,23.674698795180724,Charakteristische Liebhaberwohnung - Altstadt St.Gallen,"['APARTMENT', 'FLAT']",4.5,4,1989,,,,,,,True,,,,,,,True,True,,,,True,,200,200,200,,100,,,,RENT,679,schweiz
4001028372,"['APARTMENT', 'FLAT']",Claragraben105/Klingentalst 12,Basel,4057,47.563251781977,7.593382311601,665,815,CHF,34,True,,,23.970588235294116,Nähe Claraplatz,"['APARTMENT', 'FLAT']",1,4,1952,,,,,,,,,,,,,,True,True,,,,True,True,600,10,300,,10,,,,RENT,679,schweiz
4001090047,"['APARTMENT', 'ROOF_FLAT']",Rheinstr. 43,Sargans,7320,47.051011781971,9.445442311601,1701,1961,CHF,98,True,,,20.010204081632654,Ihr Wohntraum im Dachgeschoss!,"['APARTMENT', 'ROOF_FLAT']",3.5,3,2010,,,True,True,,True,,,,,,,,True,True,,,,True,True,1000,1000,1000,,500,,,,RENT,679,schweiz
4001028371,"['APARTMENT', 'FLAT']",Claragraben105/Klingentalst 12,Basel,4057,47.563251781977,7.593382311601,1420,1670,CHF,76,True,,,21.973684210526315,Wohnen an der Claramatte,"['APARTMENT', 'FLAT']",3,3,1952,,,,,,,,,,,,,,True,True,,,,True,True,600,10,300,,10,,,,RENT,679,schweiz
4001081873,"['APARTMENT', 'FLAT']",Fichtenweg 34,Solothurn,4500,47.207481781972,7.512062311601,1712,2012,CHF,103,,,,19.533980582524272,Platz für die ganze Familie!,"['APARTMENT', 'FLAT']",5.5,0,1981,,,True,True,,,,,,,,,,,True,,,,True,,250,250,250,,100,,,,RENT,679,schweiz
4001081874,"['APARTMENT', 'FLAT']",Neumattstr. 21 (Neumatt I),Münchenbuchsee,3053,47.021491781979,7.446842311609,1570,1820,CHF,96,True,,,18.958333333333332,Ein gemütliches Zuhause für Familien,"['APARTMENT', 'FLAT']",4.5,3,1980,,,True,True,,,,,,,,,,,True,,,,True,True,850,300,850,,200,,,,RENT,679,schweiz
4001041501,"['APARTMENT', 'FLAT']",Etzmattrain 26,Urtenen-Schönbühl,3322,47.024761781973,7.502832311601,1490,1720,CHF,81,True,,,21.234567901234566,"Modern, geräumig und stadtnah! - Mieten ohne Kaution","['APARTMENT', 'FLAT']",3.5,2,2008,True,,True,,,,,,,,True,,,True,True,,,,True,True,400,1500,400,,600,,,,RENT,679,schweiz
4001049443,"['APARTMENT', 'FLAT']",Belpbergstrasse 32B,Münsingen,3110,46.869121781974,7.554002311608,1600,1870,CHF,103,True,,,18.155339805825243,Wohnung freut sich auf eine Familie mit Kindern!,"['APARTMENT', 'FLAT']",4.5,2,1996,,,True,True,,,,,,,,,,True,True,,True,,True,True,1500,930,950,,140,,,,RENT,679,schweiz
