Name,Sex,Age,Height,Weight,NOC,Year,Event,Medal
Oana Mihaela Ban,F,18.0,139.0,36.0,ROU,2004,Balance Beam,none
gnes Bnfai,F,21.0,159.0,52.0,HUN,1968,Balance Beam,none
Melanie Louise Banville,F,17.0,158.0,52.0,CAN,2004,Balance Beam,none
Jade Fernandes Barbosa,F,17.0,151.0,45.0,BRA,2008,Balance Beam,none
Jade Fernandes Barbosa,F,25.0,151.0,45.0,BRA,2016,Balance Beam,none
Magorzata Barlak-Kamasiska,F,20.0,160.0,54.0,POL,1972,Balance Beam,none
Marian Emma Barone (Twining-),F,28.0,,,USA,1952,Balance Beam,none
Joanna Danuta Bartosz (-Bronarska),F,18.0,154.0,42.0,POL,1972,Balance Beam,none
Daniela Brtov (-Breckov),F,18.0,163.0,64.0,TCH,1992,Balance Beam,none
Kerry Battersby (-Agg),F,15.0,163.0,52.0,AUS,1984,Balance Beam,none
Anne-Marie Bauduin,F,16.0,145.0,40.0,FRA,1988,Balance Beam,none
Maritta Bauerschmidt (-Grieig),F,18.0,158.0,43.0,GDR,1968,Balance Beam,none
Nereida Gloria Bauta Soles,F,18.0,154.0,50.0,CUB,1968,Balance Beam,none
Kerry Bayliss (-Lindsay),F,18.0,157.0,41.0,AUS,1980,Balance Beam,none
Patrizia Bazzi,F,15.0,155.0,43.0,SUI,1972,Balance Beam,none
Julie Beaulieu,F,17.0,155.0,48.0,CAN,2000,Balance Beam,none
Liliane Becker,F,17.0,157.0,51.0,LUX,1960,Balance Beam,none
Astrid Beckers,F,18.0,163.0,50.0,FRG,1984,Balance Beam,none
Elvira Johanna Maria Becks,F,16.0,,,NED,1992,Balance Beam,none
"Janice May ""Jan"" Bedford (-Pyke)",F,19.0,151.0,51.0,AUS,1964,Balance Beam,none
Monika Beer,F,15.0,164.0,50.0,SUI,1984,Balance Beam,none
Ilona Bksi,F,14.0,166.0,55.0,HUN,1968,Balance Beam,none
Ilona Bksi,F,18.0,166.0,55.0,HUN,1972,Balance Beam,none
Nuria Belchi Ibez,F,15.0,151.0,41.0,ESP,1988,Balance Beam,none
Margaret Ann Bell,F,23.0,144.0,40.0,GBR,1968,Balance Beam,none
Ralli Ben-Yehuda,F,25.0,157.0,52.0,ISR,1960,Balance Beam,none
Mria Bencsik,F,20.0,164.0,52.0,HUN,1960,Balance Beam,none
Waltraud Benesch,F,19.0,164.0,58.0,AUT,1960,Balance Beam,none
Francesca Benolli,F,18.0,163.0,53.0,ITA,2008,Balance Beam,none
Monica Roberta Bergamelli,F,16.0,152.0,44.0,ITA,2000,Balance Beam,none
Monica Roberta Bergamelli,F,20.0,152.0,44.0,ITA,2004,Balance Beam,none
Monica Roberta Bergamelli,F,24.0,152.0,44.0,ITA,2008,Balance Beam,none
Evy Margareta Berggren (-Westerberg),F,18.0,,,SWE,1952,Balance Beam,none
Evy Margareta Berggren (-Westerberg),F,22.0,,,SWE,1956,Balance Beam,none
Mohini Bhardwaj (-Barry),F,25.0,147.0,43.0,USA,2004,Balance Beam,none
Bi Wenjing,F,14.0,142.0,35.0,CHN,1996,Balance Beam,none
Adriana Biagiotti,F,21.0,160.0,51.0,ITA,1968,Balance Beam,none
Renata Bianchi,F,26.0,,,ITA,1952,Balance Beam,none
Andrea Bieger,F,16.0,160.0,47.0,FRG,1976,Balance Beam,none
Daria Eva Bijak,F,22.0,158.0,56.0,GER,2008,Balance Beam,none
"Pamela Jean ""Pam"" Bileck (-Flat)",F,15.0,153.0,43.0,USA,1984,Balance Beam,none
Simone Arianne Biles,F,19.0,143.0,47.0,USA,2016,Balance Beam,Bronze
Mirjana Bili (-Vukas),F,24.0,157.0,52.0,YUG,1960,Balance Beam,none
Helga Brsan,F,24.0,,,ROU,1952,Balance Beam,none
Stefani Bisbikou,F,16.0,150.0,44.0,GRE,2004,Balance Beam,none
Stefani Bisbikou,F,20.0,150.0,44.0,GRE,2008,Balance Beam,none
"Elsabeth ""Ellie"" Black",F,16.0,155.0,56.0,CAN,2012,Balance Beam,none
"Elsabeth ""Ellie"" Black",F,20.0,155.0,56.0,CAN,2016,Balance Beam,none
Maya Blagoeva (-Mitova) ,F,16.0,151.0,42.0,BUL,1972,Balance Beam,none
Suzette Blanco Saiz,F,20.0,153.0,50.0,CUB,1968,Balance Beam,none
Vanja Hedvig Desideria Blomberg (-Webjrn),F,23.0,,,SWE,1952,Balance Beam,none
Hana Bobkov (-Vlilov),F,23.0,,,TCH,1952,Balance Beam,none
Loredana Boboc,F,16.0,139.0,32.0,ROU,2000,Balance Beam,none
Nina Antonivna Bocharova,F,27.0,,,URS,1952,Balance Beam,Gold
Dorina Bczg,F,16.0,160.0,48.0,HUN,2008,Balance Beam,none
Dorina Bczg,F,20.0,160.0,48.0,HUN,2012,Balance Beam,none
Andrea Bod-Molnr,F,17.0,,,HUN,1952,Balance Beam,none
Andrea Bod-Molnr,F,22.0,,,HUN,1956,Balance Beam,none
Svetlana Leonidovna Boginskaya,F,15.0,157.0,44.0,URS,1988,Balance Beam,none
Svetlana Leonidovna Boginskaya,F,19.0,157.0,44.0,EUN,1992,Balance Beam,none
Svetlana Leonidovna Boginskaya,F,23.0,157.0,44.0,BLR,1996,Balance Beam,none
Erika Bogovic (-Streb),F,26.0,166.0,56.0,AUT,1960,Balance Beam,none
Karin Boldemann,F,19.0,158.0,52.0,GER,1960,Balance Beam,none
"Monica Johanna Petronella ""Monique"" Bolleboom",F,13.0,162.0,48.0,NED,1976,Balance Beam,none
Georgia Bonora,F,18.0,160.0,49.0,AUS,2008,Balance Beam,none
Georgia Bonora,F,22.0,160.0,49.0,AUS,2012,Balance Beam,none
Cristina Bonta (-Ttaru),F,18.0,,,ROU,1992,Balance Beam,none
Amanda Kathleen Borden (-Cochran),F,19.0,,,USA,1996,Balance Beam,none
Laura Bortolaso,F,23.0,154.0,46.0,ITA,1984,Balance Beam,none
Eva Boskov-Vchtov (-Hlavkov),F,20.0,162.0,59.0,TCH,1952,Balance Beam,none
Eva Boskov-Vchtov (-Hlavkov),F,24.0,162.0,59.0,TCH,1956,Balance Beam,Silver
Eva Boskov-Vchtov (-Hlavkov),F,28.0,162.0,59.0,TCH,1960,Balance Beam,Gold
Anita Botnen (-Fisher),F,19.0,165.0,53.0,CAN,1984,Balance Beam,none
Karine Boucher,F,16.0,160.0,54.0,FRA,1988,Balance Beam,none
Karine Boucher,F,19.0,160.0,54.0,FRA,1992,Balance Beam,none
Farah Boufadene,F,17.0,155.0,55.0,ALG,2016,Balance Beam,none
Mira Boumejmajen,F,17.0,153.0,50.0,FRA,2012,Balance Beam,none
Nicole Bourdiau (-Desanti),F,20.0,160.0,49.0,FRA,1968,Balance Beam,none
Marine Clmence Boyer,F,16.0,162.0,52.0,FRA,2016,Balance Beam,none
Maria Grazia Bozzo,F,16.0,,,ITA,1952,Balance Beam,none
"Cornelia Margreta Maria ""Carla"" Braan (-Buijs)",F,14.0,162.0,50.0,NED,1976,Balance Beam,none
Helga Andersen Braathen,F,15.0,161.0,53.0,NOR,1968,Balance Beam,none
Soa Brzdov,F,19.0,161.0,50.0,TCH,1972,Balance Beam,none
Miroslava Brdkov (-plchalov),F,29.0,,,TCH,1956,Balance Beam,none
Kaye J. Breadsell (-Brajkovich),F,18.0,159.0,51.0,AUS,1960,Balance Beam,none
Zulema Bregado Gutierrez,F,17.0,153.0,50.0,CUB,1968,Balance Beam,none
Martina Bremini,F,17.0,161.0,45.0,ITA,2000,Balance Beam,none
Ashleigh Jade Brennan,F,17.0,154.0,43.0,AUS,2008,Balance Beam,none
Ashleigh Jade Brennan,F,21.0,154.0,43.0,AUS,2012,Balance Beam,none
Marine Grace Brevet,F,21.0,162.0,52.0,FRA,2016,Balance Beam,none
Rosario Briones,F,15.0,127.0,42.0,MEX,1968,Balance Beam,none
Jacqueline Brisepierre (-Gaugey),F,18.0,170.0,61.0,FRA,1964,Balance Beam,none
Jacqueline Brisepierre (-Gaugey),F,22.0,170.0,61.0,FRA,1968,Balance Beam,none
Kelly Brown,F,18.0,152.0,45.0,CAN,1984,Balance Beam,none
Wendy Suzanne Bruce (-Martin),F,19.0,155.0,45.0,USA,1992,Balance Beam,none
Lisa Brggemann,F,19.0,157.0,48.0,GER,2004,Balance Beam,none
Dana Brdlov,F,16.0,144.0,40.0,TCH,1980,Balance Beam,none
Godelieve Brys,F,23.0,159.0,52.0,BEL,1960,Balance Beam,none
Gerda Elbieta Bryka (-Krajciczek),F,23.0,160.0,55.0,POL,1964,Balance Beam,none
Stefania Bucci,F,16.0,160.0,46.0,ITA,1976,Balance Beam,none
Susan M. Buchanan (-Pierce),F,20.0,167.0,55.0,CAN,1972,Balance Beam,none
"Valerie Ivy ""Val"" Buffham-Norris",F,21.0,152.0,48.0,AUS,1964,Balance Beam,none
"Valerie Ivy ""Val"" Buffham-Norris",F,25.0,152.0,48.0,AUS,1968,Balance Beam,none
Kim Bui,F,23.0,155.0,49.0,GER,2012,Balance Beam,none
Zdenka Bujnkov (-Jnoov),F,17.0,167.0,59.0,TCH,1972,Balance Beam,none
Diana Laura Bulimar,F,16.0,140.0,,ROU,2012,Balance Beam,none
Olga Bumbi,F,25.0,158.0,48.0,YUG,1972,Balance Beam,none
Lyubov Viktorovna Burda (-Andrianova),F,15.0,162.0,48.0,URS,1968,Balance Beam,none
Lyubov Viktorovna Burda (-Andrianova),F,19.0,162.0,48.0,URS,1972,Balance Beam,none
Elisa Isabel Cabello Olivero,F,19.0,159.0,48.0,ESP,1976,Balance Beam,none
Barbara Anne Cage (-McCarthy),F,23.0,159.0,50.0,AUS,1964,Balance Beam,none
Imogen Jane Cairns,F,19.0,156.0,59.0,GBR,2008,Balance Beam,none
Imogen Jane Cairns,F,23.0,156.0,59.0,GBR,2012,Balance Beam,none
Elisa Calsi,F,19.0,,,ITA,1956,Balance Beam,none
Laura Campos Prieto,F,15.0,150.0,48.0,ESP,2004,Balance Beam,none
Laura Campos Prieto,F,19.0,150.0,48.0,ESP,2008,Balance Beam,none
Ccile Canqueteau,F,16.0,154.0,42.0,FRA,1996,Balance Beam,none
Maricela Cant Mata,F,17.0,155.0,46.0,MEX,2008,Balance Beam,none
Alice Capitani,F,15.0,143.0,35.0,ITA,2000,Balance Beam,none
Celeste Andrea Carnevale,F,18.0,156.0,49.0,ARG,2004,Balance Beam,none
Ana Mara Casas Rivas,F,16.0,160.0,48.0,MEX,1972,Balance Beam,none
Colleen Mary Casey (-Shields),F,16.0,156.0,41.0,USA,1976,Balance Beam,none
Vra slavsk (-Odloilov),F,18.0,160.0,58.0,TCH,1960,Balance Beam,none
Vra slavsk (-Odloilov),F,22.0,160.0,58.0,TCH,1964,Balance Beam,Gold
Vra slavsk (-Odloilov),F,26.0,160.0,58.0,TCH,1968,Balance Beam,Silver
Irene Grazia Castelli,F,16.0,157.0,44.0,ITA,2000,Balance Beam,none
Lidia Castillejo Soriano,F,19.0,155.0,43.0,ESP,1988,Balance Beam,none
Simona Castro Lazo,F,23.0,160.0,54.0,CHI,2012,Balance Beam,none
Simona Castro Lazo,F,27.0,160.0,54.0,CHI,2016,Balance Beam,none
Vernica Castro Gmez,F,17.0,150.0,43.0,ESP,1996,Balance Beam,none
Mireille Cayre,F,21.0,159.0,51.0,FRA,1968,Balance Beam,none
Mireille Cayre,F,25.0,159.0,51.0,FRA,1972,Balance Beam,none
Elena Ceampelea,F,17.0,162.0,53.0,ROU,1964,Balance Beam,none
Elena Ceampelea,F,25.0,162.0,53.0,ROU,1972,Balance Beam,none
"Anna Edeltraud ""Anni"" Cermak (-Lebeda)",F,20.0,163.0,58.0,AUT,1960,Balance Beam,none
Alena ernkov,F,14.0,152.0,43.0,TCH,1976,Balance Beam,none
"Kimberly Ann Chace (-Boyle, -May)",F,16.0,158.0,50.0,USA,1972,Balance Beam,none
"Kimberly Ann Chace (-Boyle, -May)",F,20.0,158.0,50.0,USA,1976,Balance Beam,none
Coralie Chacon,F,19.0,152.0,41.0,FRA,2004,Balance Beam,none
Alena Chadimov (-Daniov),F,20.0,,,TCH,1952,Balance Beam,none
Soraya Chaouch,F,15.0,160.0,50.0,FRA,2004,Balance Beam,none
Karine Charlier,F,15.0,162.0,47.0,FRA,1992,Balance Beam,none
Susan Cheesebrough,F,16.0,155.0,43.0,GBR,1976,Balance Beam,none
Susan Cheesebrough,F,20.0,155.0,43.0,GBR,1980,Balance Beam,none
Chen Cuiting,F,17.0,143.0,36.0,CHN,1988,Balance Beam,none
Chen Yongyan,F,21.0,158.0,44.0,CHN,1984,Balance Beam,none
Cheng Fei,F,16.0,152.0,43.0,CHN,2004,Balance Beam,none
Cheng Fei,F,20.0,152.0,43.0,CHN,2008,Balance Beam,Bronze
Choe Jong-Sil,F,14.0,141.0,30.0,PRK,1980,Balance Beam,none
Choi Gyong-Hui,F,19.0,,,PRK,1992,Balance Beam,none
Choi Mi-Seon,F,20.0,160.0,56.0,KOR,2000,Balance Beam,none
Choi Myong-Hui,F,14.0,135.0,25.0,PRK,1980,Balance Beam,none
Choi Yeong-Suk,F,17.0,153.0,48.0,KOR,1964,Balance Beam,none
Magorzata Chojnacka (-Gawe),F,21.0,161.0,51.0,POL,1968,Balance Beam,none
Amy Yuen-Yee Chow (-Ho),F,22.0,155.0,44.0,USA,2000,Balance Beam,none
Oksana Aleksandrovna Chusovitina,F,17.0,153.0,43.0,EUN,1992,Balance Beam,none
Oksana Aleksandrovna Chusovitina,F,21.0,153.0,43.0,UZB,1996,Balance Beam,none
Oksana Aleksandrovna Chusovitina,F,25.0,153.0,43.0,UZB,2000,Balance Beam,none
Oksana Aleksandrovna Chusovitina,F,33.0,153.0,43.0,GER,2008,Balance Beam,none
Oksana Aleksandrovna Chusovitina,F,37.0,153.0,43.0,GER,2012,Balance Beam,none
Oksana Aleksandrovna Chusovitina,F,41.0,153.0,43.0,UZB,2016,Balance Beam,none
Miranda Cicognani,F,15.0,155.0,51.0,ITA,1952,Balance Beam,none
Miranda Cicognani,F,20.0,155.0,51.0,ITA,1956,Balance Beam,none
Miranda Cicognani,F,23.0,155.0,51.0,ITA,1960,Balance Beam,none
Rosella Cicognani,F,17.0,158.0,49.0,ITA,1956,Balance Beam,none
Rosella Cicognani,F,20.0,158.0,49.0,ITA,1960,Balance Beam,none
Suzanne Cloutier,F,21.0,149.0,46.0,CAN,1968,Balance Beam,none
Wendy Linnelle Cluff (-Perez),F,17.0,163.0,55.0,USA,1968,Balance Beam,none
Maria Cocuzza,F,15.0,165.0,55.0,ITA,1988,Balance Beam,none
Marie-Angline Colson,F,16.0,152.0,43.0,FRA,1992,Balance Beam,none
Nadia Elena Comneci (-Conner),F,14.0,162.0,45.0,ROU,1976,Balance Beam,Gold
Nadia Elena Comneci (-Conner),F,18.0,162.0,45.0,ROU,1980,Balance Beam,Gold
Camila Comin,F,17.0,157.0,46.0,BRA,2000,Balance Beam,none
Camila Comin,F,21.0,157.0,46.0,BRA,2004,Balance Beam,none
Mariana Constantin,F,15.0,160.0,46.0,ROU,1976,Balance Beam,none
"Kathleen Margaret ""Kathy"" Corrigan (-Ekas)",F,19.0,160.0,50.0,USA,1964,Balance Beam,none
Cludia de Paula Costa Magalhes,F,18.0,156.0,46.0,BRA,1980,Balance Beam,none
Francesca Costa,F,21.0,155.0,54.0,ITA,1960,Balance Beam,none
Monica Covacci (-Gray),F,16.0,154.0,44.0,CAN,1988,Balance Beam,none
"Johanna ""Jo"" Cox-Ladru (-Poot)",F,29.0,,,NED,1952,Balance Beam,none
Adriana Crisci,F,18.0,148.0,45.0,ITA,2000,Balance Beam,none
Alexandra Lindsay Croak,F,16.0,165.0,55.0,AUS,2000,Balance Beam,none
Erika Csnyi,F,15.0,152.0,40.0,HUN,1980,Balance Beam,none
Mnika Csszr,F,17.0,166.0,55.0,HUN,1972,Balance Beam,none
Zsuzsa Csisztu,F,18.0,161.0,46.0,HUN,1988,Balance Beam,none
Maria Helena Pacheco Cunha,F,16.0,168.0,63.0,POR,1960,Balance Beam,none
Barbara Cunningham (Conduit-),F,30.0,,,AUS,1956,Balance Beam,none
Marta Cusid Muntada,F,17.0,155.0,49.0,ESP,2000,Balance Beam,none
Laura Cutina,F,15.0,143.0,36.0,ROU,1984,Balance Beam,none
Dlia Vieirinho da Cunha-Sammer,F,23.0,164.0,63.0,POR,1952,Balance Beam,none
Dlia Vieirinho da Cunha-Sammer,F,31.0,164.0,63.0,POR,1960,Balance Beam,none
Esbela Fernanda Rosa da Fonseca,F,18.0,156.0,58.0,POR,1960,Balance Beam,none
Esbela Fernanda Rosa da Fonseca,F,22.0,156.0,58.0,POR,1964,Balance Beam,none
Esbela Fernanda Rosa da Fonseca,F,26.0,156.0,58.0,POR,1968,Balance Beam,none
Gail Marion Daley (-Bakker),F,18.0,156.0,47.0,CAN,1964,Balance Beam,none
Dorothy Katherine Dalton,F,29.0,,,USA,1952,Balance Beam,none
Nansy Damianova,F,17.0,154.0,45.0,CAN,2008,Balance Beam,none
"Suzanne Dando (-MacLean, -Roberts, -Reynolds)",F,19.0,163.0,49.0,GBR,1980,Balance Beam,none
Halina Daniec (-Wojtaszek),F,19.0,164.0,54.0,POL,1968,Balance Beam,none
Pelageya Aleksandrovna Danilova (-Demirdzhiyan),F,34.0,,,URS,1952,Balance Beam,none
Dashzevgiin Ariunaa,F,14.0,150.0,38.0,MGL,1980,Balance Beam,none
Catherine Daug,F,15.0,,,FRA,1972,Balance Beam,none
Davaasrengiin Oyuuntuyaa,F,13.0,155.0,43.0,MGL,1980,Balance Beam,none
Cissy Davies (-Sanders),F,19.0,,,GBR,1952,Balance Beam,none
Natalie Davies,F,17.0,150.0,47.0,GBR,1984,Balance Beam,none
Muriel Evelyn Davis-Grossfeld,F,16.0,160.0,50.0,USA,1956,Balance Beam,none
Muriel Evelyn Davis-Grossfeld,F,19.0,160.0,50.0,USA,1960,Balance Beam,none
Muriel Evelyn Davis-Grossfeld,F,24.0,160.0,50.0,USA,1964,Balance Beam,none
Yelena Viktorovna Davydova (-Filatova),F,18.0,148.0,45.0,URS,1980,Balance Beam,Silver
Dominique Margaux Dawes (-Thompson),F,15.0,158.0,54.0,USA,1992,Balance Beam,none
Dominique Margaux Dawes (-Thompson),F,19.0,158.0,54.0,USA,1996,Balance Beam,none
Dominique Margaux Dawes (-Thompson),F,23.0,158.0,54.0,USA,2000,Balance Beam,none
Harumy Mariko de Freitas,F,17.0,,,BRA,2012,Balance Beam,none
Jolle De Keukeleire,F,16.0,159.0,47.0,BEL,1976,Balance Beam,none
Maria Jos de la Fuente,F,15.0,150.0,40.0,BOL,2004,Balance Beam,none
Estela de la Torre Borja,F,15.0,147.0,36.0,MEX,1980,Balance Beam,none
Lenika De Simone Blanco,F,19.0,152.0,46.0,ESP,2008,Balance Beam,none
Marine Debauve,F,15.0,156.0,42.0,FRA,2004,Balance Beam,none
Marine Debauve,F,19.0,156.0,42.0,FRA,2008,Balance Beam,none
"Anna Maria ""Ans"" Dekker (-Pieters)",F,17.0,167.0,54.0,NED,1972,Balance Beam,none
"Anna Maria ""Ans"" Dekker (-Pieters)",F,21.0,167.0,54.0,NED,1976,Balance Beam,none
Cinzia Delisi,F,15.0,156.0,48.0,ITA,1972,Balance Beam,none
Anne-Marie Demortire,F,22.0,158.0,56.0,FRA,1960,Balance Beam,none
Deng Linlin,F,16.0,144.0,34.0,CHN,2008,Balance Beam,none
Deng Linlin,F,20.0,144.0,34.0,CHN,2012,Balance Beam,Gold
Nina Derwael,F,16.0,165.0,46.0,BEL,2016,Balance Beam,none
Ana Carolina Destfano,F,15.0,,,ARG,1996,Balance Beam,none
Ana erek,F,17.0,164.0,58.0,CRO,2016,Balance Beam,none
Jennifer Diachun (-Palmer),F,15.0,165.0,57.0,CAN,1968,Balance Beam,none
Jennifer Diachun (-Palmer),F,19.0,165.0,57.0,CAN,1972,Balance Beam,none
Eileen Daz,F,16.0,142.0,,PUR,1996,Balance Beam,none
Teresa Daz Sandi,F,16.0,166.0,56.0,MEX,1976,Balance Beam,none
Marisa Roseanne Dick,F,19.0,153.0,47.0,TTO,2016,Balance Beam,none
Kylie Rei Dickson,F,17.0,160.0,50.0,BLR,2016,Balance Beam,none
Jacqueline Dieudonn (Baillergeau-),F,27.0,160.0,54.0,FRA,1960,Balance Beam,none
Cristina Doboan (-Ionia),F,21.0,164.0,53.0,ROU,1964,Balance Beam,none
Aurelia Dobre (-Mofid),F,15.0,146.0,42.0,ROU,1988,Balance Beam,none
Ivanka Peneva Dolzheva,F,16.0,162.0,60.0,BUL,1952,Balance Beam,none
Ivanka Peneva Dolzheva,F,21.0,162.0,60.0,BUL,1956,Balance Beam,none
Ivanka Peneva Dolzheva,F,24.0,162.0,60.0,BUL,1960,Balance Beam,none
Carola Dombeck,F,16.0,159.0,44.0,GDR,1976,Balance Beam,none
Dong Fangxiao,F,14.0,144.0,33.0,CHN,2000,Balance Beam,none
Dorjiin Norolkhoo,F,18.0,148.0,45.0,MGL,1968,Balance Beam,none
Zdena Dorkov,F,15.0,158.0,50.0,TCH,1972,Balance Beam,none
"Gabrielle Christina Victoria ""Gabby"" Douglas",F,16.0,157.0,50.0,USA,2012,Balance Beam,none
"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20.0,157.0,50.0,USA,2016,Balance Beam,none
"Rebecca Lauren ""Beckie"" Downie",F,16.0,156.0,55.0,GBR,2008,Balance Beam,none
"Rebecca Lauren ""Beckie"" Downie",F,24.0,156.0,55.0,GBR,2016,Balance Beam,none
"Elissa Rebecca Louis ""Ellie"" Downie",F,17.0,162.0,60.0,GBR,2016,Balance Beam,none
 Th Ngn Thng,F,19.0,147.0,47.0,VIE,2008,Balance Beam,none
 Th Ngn Thng,F,23.0,147.0,47.0,VIE,2012,Balance Beam,none
Gabriela Drgoi,F,15.0,146.0,37.0,ROU,2008,Balance Beam,none
Vra Drazdkov,F,23.0,,,TCH,1956,Balance Beam,none
Alena Devjan (-Coufalov),F,19.0,157.0,43.0,TCH,1988,Balance Beam,none
Anka Drini,F,28.0,,,YUG,1952,Balance Beam,none
Anik Ducza-Jnosi,F,18.0,161.0,57.0,HUN,1960,Balance Beam,none
Anik Ducza-Jnosi,F,22.0,161.0,57.0,HUN,1964,Balance Beam,none
Anik Ducza-Jnosi,F,26.0,161.0,57.0,HUN,1968,Balance Beam,none
Diana Gnkova Dudeva,F,20.0,157.0,46.0,BUL,1988,Balance Beam,none
Youna Dufournet,F,18.0,160.0,56.0,FRA,2012,Balance Beam,none
Laetitia Dugain,F,15.0,160.0,52.0,FRA,2008,Balance Beam,none
Rodica Dunca (-Kszegi),F,15.0,158.0,43.0,ROU,1980,Balance Beam,none
Ginette Durand,F,23.0,,,FRA,1952,Balance Beam,none
