ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Floor,
1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Uneven Bars,
1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Balance Beam,
1071,Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Team,Silver
1071,Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Floor,
1071,Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Balance Beam,
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,All-Around,
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Team,Gold
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Floor,
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Vault,Bronze
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Uneven Bars,
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Balance Beam,
1211,"Estella ""Stella"" Agsteribbe (-Blits)",F,19.0,,,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Team,Gold
1505,Joan Winnifred Airey (-Weedon),F,22.0,,,Great Britain,GBR,1948 Summer,1948,Summer,London,Gymnastics,Team,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,All-Around,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Team,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Floor,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Vault,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Uneven Bars,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Balance Beam,
2336,Angela Alberti,F,23.0,163.0,55.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Gymnastics,All-Around,
2336,Angela Alberti,F,23.0,163.0,55.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Gymnastics,Team,
2336,Angela Alberti,F,23.0,163.0,55.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Gymnastics,Floor,
2336,Angela Alberti,F,23.0,163.0,55.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Gymnastics,Vault,
2336,Angela Alberti,F,23.0,163.0,55.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Gymnastics,Uneven Bars,
2336,Angela Alberti,F,23.0,163.0,55.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Gymnastics,Balance Beam,
2423,Nancy Aldama Ruiloba,F,22.0,156.0,52.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Gymnastics,All-Around,
2423,Nancy Aldama Ruiloba,F,22.0,156.0,52.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Gymnastics,Team,
2423,Nancy Aldama Ruiloba,F,22.0,156.0,52.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Gymnastics,Floor,
2423,Nancy Aldama Ruiloba,F,22.0,156.0,52.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Gymnastics,Vault,
2423,Nancy Aldama Ruiloba,F,22.0,156.0,52.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Gymnastics,Uneven Bars,
2423,Nancy Aldama Ruiloba,F,22.0,156.0,52.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Gymnastics,Balance Beam,
2490,Liliyana Lyubenova Aleksandrova,F,21.0,167.0,67.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,All-Around,
2490,Liliyana Lyubenova Aleksandrova,F,21.0,167.0,67.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Floor,
2490,Liliyana Lyubenova Aleksandrova,F,21.0,167.0,67.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Vault,
2490,Liliyana Lyubenova Aleksandrova,F,21.0,167.0,67.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Uneven Bars,
2490,Liliyana Lyubenova Aleksandrova,F,21.0,167.0,67.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Balance Beam,
2860,Monique Marie Allen,F,16.0,157.0,46.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,All-Around,
2860,Monique Marie Allen,F,16.0,157.0,46.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Floor,
2860,Monique Marie Allen,F,16.0,157.0,46.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Vault,
2860,Monique Marie Allen,F,16.0,157.0,46.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Uneven Bars,
2860,Monique Marie Allen,F,16.0,157.0,46.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Balance Beam,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,All-Around,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Team,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Floor,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Vault,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Uneven Bars,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Balance Beam,
2959,Lenke Almsi,F,15.0,148.0,40.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Gymnastics,All-Around,
2959,Lenke Almsi,F,15.0,148.0,40.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Gymnastics,Team,
2959,Lenke Almsi,F,15.0,148.0,40.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Gymnastics,Floor,
2959,Lenke Almsi,F,15.0,148.0,40.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Gymnastics,Vault,
2959,Lenke Almsi,F,15.0,148.0,40.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Gymnastics,Uneven Bars,
2959,Lenke Almsi,F,15.0,148.0,40.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Gymnastics,Balance Beam,
3066,Barbara Alred (-Collins),F,18.0,157.0,52.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Gymnastics,All-Around,
3066,Barbara Alred (-Collins),F,18.0,157.0,52.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Gymnastics,Team,
3066,Barbara Alred (-Collins),F,18.0,157.0,52.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Gymnastics,Floor,
3066,Barbara Alred (-Collins),F,18.0,157.0,52.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Gymnastics,Vault,
3066,Barbara Alred (-Collins),F,18.0,157.0,52.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Gymnastics,Uneven Bars,
3066,Barbara Alred (-Collins),F,18.0,157.0,52.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Gymnastics,Balance Beam,
3081,Tabea Lara Alt,F,16.0,158.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Team,
3081,Tabea Lara Alt,F,16.0,158.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Uneven Bars,
3081,Tabea Lara Alt,F,16.0,158.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Balance Beam,
3142,Maria Avelina Alvarez,F,18.0,162.0,45.0,Portugal,POR,1980 Summer,1980,Summer,Moskva,Gymnastics,All-Around,
3142,Maria Avelina Alvarez,F,18.0,162.0,45.0,Portugal,POR,1980 Summer,1980,Summer,Moskva,Gymnastics,Floor,
3142,Maria Avelina Alvarez,F,18.0,162.0,45.0,Portugal,POR,1980 Summer,1980,Summer,Moskva,Gymnastics,Vault,
3142,Maria Avelina Alvarez,F,18.0,162.0,45.0,Portugal,POR,1980 Summer,1980,Summer,Moskva,Gymnastics,Uneven Bars,
3142,Maria Avelina Alvarez,F,18.0,162.0,45.0,Portugal,POR,1980 Summer,1980,Summer,Moskva,Gymnastics,Balance Beam,
3267,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,All-Around,
3267,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Floor,
3267,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Uneven Bars,
3267,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Balance Beam,
3281,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,All-Around,Bronze
3281,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Team,Bronze
3281,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Floor,Silver
3281,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Vault,Gold
3281,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Uneven Bars,
3281,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Balance Beam,
3281,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,All-Around,Gold
3281,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Team,Gold
3281,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Floor,Bronze
3281,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Vault,
3281,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Uneven Bars,
3281,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Balance Beam,
3362,Bianca Ambrosetti,F,14.0,,,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Team,Silver
3423,Hilda Amezaga Harfuch,F,18.0,155.0,47.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Gymnastics,All-Around,
3423,Hilda Amezaga Harfuch,F,18.0,155.0,47.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Gymnastics,Team,
3423,Hilda Amezaga Harfuch,F,18.0,155.0,47.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Gymnastics,Floor,
3423,Hilda Amezaga Harfuch,F,18.0,155.0,47.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Gymnastics,Vault,
3423,Hilda Amezaga Harfuch,F,18.0,155.0,47.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Gymnastics,Uneven Bars,
3423,Hilda Amezaga Harfuch,F,18.0,155.0,47.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Gymnastics,Balance Beam,
3501,Maria Laura Silva Amorim,F,20.0,,,Portugal,POR,1952 Summer,1952,Summer,Helsinki,Gymnastics,All-Around,
3501,Maria Laura Silva Amorim,F,20.0,,,Portugal,POR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Floor,
3501,Maria Laura Silva Amorim,F,20.0,,,Portugal,POR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Vault,
3501,Maria Laura Silva Amorim,F,20.0,,,Portugal,POR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Uneven Bars,
3501,Maria Laura Silva Amorim,F,20.0,,,Portugal,POR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Balance Beam,
3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,All-Around,
3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Team,
3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Floor,
3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Vault,
3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Uneven Bars,
3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Balance Beam,
3928,Elsa Ingrid Andersson (-Wallin),F,24.0,,,Sweden,SWE,1948 Summer,1948,Summer,London,Gymnastics,Team,
3957,"Martha Louise ""Mrta"" Andersson (-Ingemansson, -Karlsson)",F,23.0,,,Sweden,SWE,1948 Summer,1948,Summer,London,Gymnastics,Team,
4048,Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,All-Around,
4048,Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Team,
