ID,Age,Height,Weight,Year,Games_code,Team_code,City_code,Event_code
6967,26.0,0.0,0.0,1936,1,18,5,4
6971,23.0,157.0,49.0,1968,7,78,10,3
6971,23.0,157.0,49.0,1968,7,78,10,1
6971,23.0,157.0,49.0,1968,7,78,10,2
6971,23.0,157.0,49.0,1968,7,78,10,5
6971,23.0,157.0,49.0,1968,7,78,10,0
6971,26.0,157.0,49.0,1972,8,78,13,3
6971,26.0,157.0,49.0,1972,8,78,13,4
6971,26.0,157.0,49.0,1972,8,78,13,1
6971,26.0,157.0,49.0,1972,8,78,13,2
6971,26.0,157.0,49.0,1972,8,78,13,5
6971,26.0,157.0,49.0,1972,8,78,13,0
6994,24.0,0.0,0.0,1948,2,73,7,4
7121,18.0,0.0,0.0,1960,5,66,15,3
7121,18.0,0.0,0.0,1960,5,66,15,4
7121,18.0,0.0,0.0,1960,5,66,15,1
7121,18.0,0.0,0.0,1960,5,66,15,2
7121,18.0,0.0,0.0,1960,5,66,15,5
7121,18.0,0.0,0.0,1960,5,66,15,0
7161,17.0,163.0,50.0,1992,13,30,3,3
7161,17.0,163.0,50.0,1992,13,30,3,4
7161,17.0,163.0,50.0,1992,13,30,3,1
7161,17.0,163.0,50.0,1992,13,30,3,2
7161,17.0,163.0,50.0,1992,13,30,3,5
7161,17.0,163.0,50.0,1992,13,30,3,0
7162,27.0,0.0,0.0,1948,2,30,7,4
7355,14.0,153.0,47.0,1992,13,30,3,3
7355,14.0,153.0,47.0,1992,13,30,3,4
7355,14.0,153.0,47.0,1992,13,30,3,1
7355,14.0,153.0,47.0,1992,13,30,3,2
7355,14.0,153.0,47.0,1992,13,30,3,5
7355,14.0,153.0,47.0,1992,13,30,3,0
7355,18.0,153.0,47.0,1996,14,30,2,3
7355,18.0,153.0,47.0,1996,14,30,2,4
7355,18.0,153.0,47.0,1996,14,30,2,1
7355,18.0,153.0,47.0,1996,14,30,2,5
7355,18.0,153.0,47.0,1996,14,30,2,0
7444,18.0,139.0,36.0,2004,16,58,1,3
7444,18.0,139.0,36.0,2004,16,58,1,4
7444,18.0,139.0,36.0,2004,16,58,1,1
7444,18.0,139.0,36.0,2004,16,58,1,2
7444,18.0,139.0,36.0,2004,16,58,1,5
7444,18.0,139.0,36.0,2004,16,58,1,0
7490,21.0,159.0,52.0,1968,7,30,10,3
7490,21.0,159.0,52.0,1968,7,30,10,4
7490,21.0,159.0,52.0,1968,7,30,10,1
7490,21.0,159.0,52.0,1968,7,30,10,2
7490,21.0,159.0,52.0,1968,7,30,10,5
7490,21.0,159.0,52.0,1968,7,30,10,0
7589,17.0,158.0,52.0,2004,16,10,1,3
7589,17.0,158.0,52.0,2004,16,10,1,4
7589,17.0,158.0,52.0,2004,16,10,1,1
7589,17.0,158.0,52.0,2004,16,10,1,2
7589,17.0,158.0,52.0,2004,16,10,1,5
7589,17.0,158.0,52.0,2004,16,10,1,0
7769,17.0,151.0,45.0,2008,17,8,4,3
7769,17.0,151.0,45.0,2008,17,8,4,4
7769,17.0,151.0,45.0,2008,17,8,4,1
7769,17.0,151.0,45.0,2008,17,8,4,2
7769,17.0,151.0,45.0,2008,17,8,4,5
7769,17.0,151.0,45.0,2008,17,8,4,0
7769,25.0,151.0,45.0,2016,19,8,14,3
7769,25.0,151.0,45.0,2016,19,8,14,4
7769,25.0,151.0,45.0,2016,19,8,14,1
7769,25.0,151.0,45.0,2016,19,8,14,5
7769,25.0,151.0,45.0,2016,19,8,14,0
7914,20.0,160.0,54.0,1972,8,55,13,3
7914,20.0,160.0,54.0,1972,8,55,13,4
7914,20.0,160.0,54.0,1972,8,55,13,1
7914,20.0,160.0,54.0,1972,8,55,13,2
7914,20.0,160.0,54.0,1972,8,55,13,5
7914,20.0,160.0,54.0,1972,8,55,13,0
8015,24.0,0.0,0.0,1948,2,73,7,4
8015,28.0,0.0,0.0,1952,3,73,6,3
8015,28.0,0.0,0.0,1952,3,73,6,4
8015,28.0,0.0,0.0,1952,3,73,6,1
8015,28.0,0.0,0.0,1952,3,73,6,2
8015,28.0,0.0,0.0,1952,3,73,6,5
8015,28.0,0.0,0.0,1952,3,73,6,0
8346,18.0,154.0,42.0,1972,8,55,13,3
8346,18.0,154.0,42.0,1972,8,55,13,4
8346,18.0,154.0,42.0,1972,8,55,13,1
8346,18.0,154.0,42.0,1972,8,55,13,2
8346,18.0,154.0,42.0,1972,8,55,13,5
8346,18.0,154.0,42.0,1972,8,55,13,0
8350,18.0,163.0,64.0,1992,13,18,3,3
8350,18.0,163.0,64.0,1992,13,18,3,1
8350,18.0,163.0,64.0,1992,13,18,3,2
8350,18.0,163.0,64.0,1992,13,18,3,5
8350,18.0,163.0,64.0,1992,13,18,3,0
8379,17.0,0.0,0.0,1936,1,25,5,4
8466,31.0,0.0,0.0,1948,2,78,7,4
8532,0.0,0.0,0.0,1928,0,24,0,4
8630,15.0,163.0,52.0,1984,11,3,8,3
8630,15.0,163.0,52.0,1984,11,3,8,1
8630,15.0,163.0,52.0,1984,11,3,8,2
8630,15.0,163.0,52.0,1984,11,3,8,5
8630,15.0,163.0,52.0,1984,11,3,8,0
8686,16.0,145.0,40.0,1988,12,24,16,3
8686,16.0,145.0,40.0,1988,12,24,16,1
8686,16.0,145.0,40.0,1988,12,24,16,2
8686,16.0,145.0,40.0,1988,12,24,16,5
8686,16.0,145.0,40.0,1988,12,24,16,0
8727,18.0,158.0,43.0,1968,7,21,10,3
8727,18.0,158.0,43.0,1968,7,21,10,4
8727,18.0,158.0,43.0,1968,7,21,10,1
8727,18.0,158.0,43.0,1968,7,21,10,2
8727,18.0,158.0,43.0,1968,7,21,10,5
8727,18.0,158.0,43.0,1968,7,21,10,0
8824,18.0,154.0,50.0,1968,7,16,10,3
8824,18.0,154.0,50.0,1968,7,16,10,4
8824,18.0,154.0,50.0,1968,7,16,10,1
8824,18.0,154.0,50.0,1968,7,16,10,2
8824,18.0,154.0,50.0,1968,7,16,10,5
8824,18.0,154.0,50.0,1968,7,16,10,0
8914,18.0,157.0,41.0,1980,10,3,12,3
8914,18.0,157.0,41.0,1980,10,3,12,1
8914,18.0,157.0,41.0,1980,10,3,12,2
8914,18.0,157.0,41.0,1980,10,3,12,5
8914,18.0,157.0,41.0,1980,10,3,12,0
8990,15.0,155.0,43.0,1972,8,68,13,3
8990,15.0,155.0,43.0,1972,8,68,13,4
8990,15.0,155.0,43.0,1972,8,68,13,1
8990,15.0,155.0,43.0,1972,8,68,13,2
8990,15.0,155.0,43.0,1972,8,68,13,5
8990,15.0,155.0,43.0,1972,8,68,13,0
9078,17.0,155.0,48.0,2000,15,10,17,3
9078,17.0,155.0,48.0,2000,15,10,17,4
9078,17.0,155.0,48.0,2000,15,10,17,1
