Name,Sex,Age,Height,Weight,NOC,Year,Event,Medal
Lyubov Viktorovna Burda (-Andrianova),F,19.0,162.0,48.0,URS,1972,Vault,none
Elisa Isabel Cabello Olivero,F,19.0,159.0,48.0,ESP,1976,Vault,none
Barbara Anne Cage (-McCarthy),F,23.0,159.0,50.0,AUS,1964,Vault,none
Elisa Calsi,F,19.0,,,ITA,1956,Vault,none
Laura Campos Prieto,F,15.0,150.0,48.0,ESP,2004,Vault,none
Ccile Canqueteau,F,16.0,154.0,42.0,FRA,1996,Vault,none
Maricela Cant Mata,F,17.0,155.0,46.0,MEX,2008,Vault,none
Alice Capitani,F,15.0,143.0,35.0,ITA,2000,Vault,none
Celeste Andrea Carnevale,F,18.0,156.0,49.0,ARG,2004,Vault,none
Ana Mara Casas Rivas,F,16.0,160.0,48.0,MEX,1972,Vault,none
Colleen Mary Casey (-Shields),F,16.0,156.0,41.0,USA,1976,Vault,none
Vra slavsk (-Odloilov),F,18.0,160.0,58.0,TCH,1960,Vault,none
Vra slavsk (-Odloilov),F,22.0,160.0,58.0,TCH,1964,Vault,Gold
Vra slavsk (-Odloilov),F,26.0,160.0,58.0,TCH,1968,Vault,Gold
Irene Grazia Castelli,F,16.0,157.0,44.0,ITA,2000,Vault,none
Lidia Castillejo Soriano,F,19.0,155.0,43.0,ESP,1988,Vault,none
Vernica Castro Gmez,F,17.0,150.0,43.0,ESP,1996,Vault,none
Mireille Cayre,F,21.0,159.0,51.0,FRA,1968,Vault,none
Mireille Cayre,F,25.0,159.0,51.0,FRA,1972,Vault,none
Elena Ceampelea,F,17.0,162.0,53.0,ROU,1964,Vault,none
Elena Ceampelea,F,25.0,162.0,53.0,ROU,1972,Vault,none
"Anna Edeltraud ""Anni"" Cermak (-Lebeda)",F,20.0,163.0,58.0,AUT,1960,Vault,none
Alena ernkov,F,14.0,152.0,43.0,TCH,1976,Vault,none
"Kimberly Ann Chace (-Boyle, -May)",F,16.0,158.0,50.0,USA,1972,Vault,none
"Kimberly Ann Chace (-Boyle, -May)",F,20.0,158.0,50.0,USA,1976,Vault,none
Coralie Chacon,F,19.0,152.0,41.0,FRA,2004,Vault,none
Alena Chadimov (-Daniov),F,20.0,,,TCH,1952,Vault,none
Soraya Chaouch,F,15.0,160.0,50.0,FRA,2004,Vault,none
Karine Charlier,F,15.0,162.0,47.0,FRA,1992,Vault,none
Susan Cheesebrough,F,16.0,155.0,43.0,GBR,1976,Vault,none
Susan Cheesebrough,F,20.0,155.0,43.0,GBR,1980,Vault,none
Chen Cuiting,F,17.0,143.0,36.0,CHN,1988,Vault,none
Chen Yongyan,F,21.0,158.0,44.0,CHN,1984,Vault,none
