Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
42,David Rumbutis Sweden,12.066,12.466,12.866,14,13.466,12.566,77.43
43,Noah Kuavita Belgium,13.1,10.966,11.733,14.3,13.866,13.4,77.365
44,Takumi Onoshima Belgium,13.566,11.733,12.566,13.566,13.533,11.966,76.93
45,Khabibullo Ergashev Uzbekistan,12.7,13.6,12.6,13.7,12.833,11.466,76.899
46,Santiago Mayol Argentina,13.233,12.733,11.1,13.733,13.3,12.5,76.599
47,Yogeshwar Singh India,12.233,12.366,12.033,13.666,13.566,12.666,76.53
48,Razvan-Denis Marc Romania,13.5,11.133,13.2,12.2,13.5,12.966,76.499
49,Lais Najjar Syria,13.266,12.533,12,13.5,13.333,11.466,76.098
50,Heath Thorpe Australia,12.7,10.3,12.7,14.433,12.6,13.266,75.999
51,Maxime Gentges Belgium,13.066,12.833,13,12.766,13.5,10.766,75.931
52,Mehmet Ayberk Kosak Turkey,13.6,11.7,13.8,12.966,11.933,11.866,75.865
53,Alexander Benda Austria,13.266,12.3,11.7,13.533,11.966,13.1,75.865
54,Askhab Matiev Austria,12.6,12.6,12.166,13.566,12.3,12.566,75.798
55,Georgios Angonas Cyprus,11.666,11.766,12.566,13.866,12.8,13.066,75.73
56,Robert Kirmes Finland,13.266,11.433,11.233,13.8,12.6,13.366,75.698
57,Clay Mason Stephens Australia,12.2,11.4,12.3,13.933,13.1,12.733,75.666
58,Ivan Tikhonov Azerbaijan,11.166,11.5,12.633,14.366,13.866,12.1,75.631
59,Tomas Kuzmickas Lithuania,12.533,10.9,12.3,13.4,13.533,12.9,75.566
60,Jose Nogueira Portugal,12.8,12.266,11.966,13.533,12.4,12.5,75.465
61,David Huddleston Bulgaria,11.6,11.8,13.4,14.166,13.966,10.5,75.432
62,Gaurav Kumar India,12.8,11.7,12.3,12.566,13.5,11.9,74.766
63,Andres Martinez Colombia,11.133,11.833,12,13.766,12.9,13.033,74.665
64,Manuel Martinez Colombia,12.833,12.1,11.566,12.733,12.966,12.433,74.631
65,Gagik Khachikyan Armenia,13,13,11.866,13.3,12.3,10.9,74.366
66,Joel Alvarez Chile,12.566,10.366,12.366,13.7,12.933,12.366,74.297
67,Jermain Grünberg Netherlands,12.9,12.066,12.766,12.633,11.466,12.133,73.964
68,Yordan Aleksandrov Bulgaria,12.566,9.5,12.866,13.2,12.7,12.966,73.798
69,Edward Gonzales Peru,11.6,12.566,11.833,13.7,12.8,11.033,73.532
70,Andrin Frey Switzerland,13.233,11.866,12.566,12.6,12.3,10.866,73.431
71,Uri Zeidel Israel,11.6,12.3,12.8,13.5,13.033,10.166,73.399
72,Abderrazak Nasser Morocco,12.466,11.066,12.033,13.7,11.633,12.033,72.931
73,Jose Lopez Puerto Rico,10.566,12.166,12.566,12.766,12.733,12.133,72.93
74,Severin Kranzlmüller Austria,11.966,9.566,12.566,13.2,12.366,12.733,72.397
75,Jonas Thorisson Iceland,12.633,10.033,11.9,13.5,12.466,11.766,72.298
76,Joakim Lenberg Sweden,12.5,10.966,11.666,12.9,11.8,12.2,72.032
77,Valgard Reinhardsson Iceland,11.2,10.866,12.433,13.533,12.1,11.866,71.998
78,Bohdan Suprun Ukraine,12.9,10.233,12.4,12.9,12.2,10.9,71.533
79,Gytis Chasazyrovas Lithuania,11.733,9.033,12.233,13.633,12.433,12.2,71.265
NR,Tanigawa Kakeru Japan,14.3,14.266,13.233,14.266,14.933,0,70.998
80,Apostolos Kanellos Greece,12.366,12.4,10.5,12.666,11.7,11.1,70.732
81,Leandro Peña Dominican Republic,12.266,9.233,11.6,13.533,12.566,11.4,70.598
82,Michalis Chari Cyprus,12.8,9.433,11.8,12.233,12.466,11.766,70.498
83,Guilherme Campos Portugal,13.033,5.4,12.633,14.233,12.6,11.833,69.732
84,Ricards Plate Latvia,12.533,8.666,11.266,12.966,11.666,11.3,68.397
NR,Nicola Bartolini Italy,14.433,12.266,12.833,14.6,14.1,0,68.232
NR,Matteo Levantesi Italy,13.233,0,12.866,13.833,14.533,13.5,67.965
85,Donnell Whittenburg United States,14.133,12.833,14.333,0,13.666,11.9,66.865
NR,Arthur Mariano Brazil,14.1,12,0,13.9,12.4,14.366,66.766
NR,Colt Walker United States,10.433,0,13.566,14.6,14.866,13.2,66.665
NR,Moreno Kratter Switzerland,13.833,0,12.6,14,13.833,12.133,66.399
NR,James Hall Great Britain,14.166,14.033,13.466,0,12.766,11.633,66.064
NR,Chris Kaji Canada,13.1,0,13.433,13.9,12.733,12.833,65.999
NR,Yeh Cheng Taiwan,13.333,12.3,0,14.3,12.933,12.3,65.166
NR,Ahmed Abdelrahman Egypt,11.933,13.166,0,13.966,13,12.966,65.031
NR,Nicolau Mir Spain,12.7,10.2,0,14.066,14.766,13.166,64.898
NR,Giarnni Regini-Moran Great Britain,14.533,13.433,0,14.633,14.966,7.133,64.698
86,Emil Akhmejanov Kazakhstan,10.6,4.533,11.766,13.1,13,11.666,64.665
NR,Cameron-Lie Bernard France,0,12.766,13.3,13.5,12.966,11.866,64.398
NR,Jordi Hagenaar Netherlands,13.633,11.033,12.866,13.866,0,12.7,64.098
NR,Dmitriy Patanin Kazakhstan,13.266,0,12.733,13.733,13.166,10.233,63.131
NR,Robert Burtanete Romania,12.033,11.766,0,13.433,13.366,12.166,62.764
NR,Mykyta Melnykov Ukraine,10.666,12.066,0,12.633,13.866,10.366,59.597
NR,Doi Ryosuke Japan,14.766,14.466,0,14.566,0,13.8,57.598
NR,Ferhat Arican Turkey,0,13,0,14.033,15.2,12.933,55.166
NR,Milad Karimi Kazakhstan,14.733,12.166,0,14.2,0,13.833,54.932
NR,Nils Dunkel Germany,13.166,14.166,13.466,0,14.133,0,54.931
NR,Botond Kardos Hungary,13.866,0,0,13.8,13.966,13.2,54.832
NR,Andreas Toba Germany,0,13.433,13.666,14.3,0,13.133,54.532
NR,You Hao China,0,13.633,14.633,0,12.7,13.233,54.199
NR,Yang Jiaxing China,13.3,12.666,0,14.466,0,13.666,54.098
NR,Andrei Muntean Romania,12.1,0,13.333,14,14.6,0,54.033
NR,Sun Wei China,12.2,12.966,0,13.4,0,14.833,53.399
NR,Samuel Zakutney Canada,0,12.4,12.766,0,14.4,13.633,53.199
NR,Martijn de Veer Netherlands,13.366,0,0,13.6,13.3,12.333,52.599
NR,Hung Yuan-Hsi Taiwan,0,11.433,13.033,0,14.3,13.433,52.199
NR,Pascal Brendel Germany,12.7,0,0,13.633,13.666,11.733,51.732
NR,Mathias Philippe France,12.233,0,13.566,0,13.833,12.033,51.665
NR,Zachary Clay Canada,0,14.2,12.8,0,13.866,10.733,51.599
NR,Lin Guan-Yi Taiwan,10.366,13,13.833,14.2,0,0,51.399
NR,Ricardo Rudy Austria,12.433,12.233,0,13.6,12.566,0,50.832
NR,Florian Langenegger Switzerland,11.866,11.833,12.633,14.3,0,0,50.632
NR,Lee Junghyo South Korea,0,13,12.1,0,12.566,12.866,50.532
NR,Lucas Bitencourt Brazil,0,11.9,12.766,0,11.733,13.833,50.232
NR,Abdelrahman Abdelhaleem Egypt,12,12.766,0,0,12.4,12.766,49.932
NR,Ahmet Önder Turkey,13.8,9.966,0,13.866,0,12.066,49.698
NR,Pantely Kolodii Ukraine,0,11.666,12.8,0,12.166,12.166,48.798
NR,William Fu-Allen New Zealand,11.633,9.9,0,13.566,11.066,0,46.165
NR,Kamoto Yuya Japan,0,0,14.5,0,15.433,14.4,44.333
NR,Loran de Munck Netherlands,0,14.833,13.166,0,13.766,0,41.765
NR,Benjamin Osberger France,14.266,13.3,0,13.666,0,0,41.232
NR,Yuri Guimarães Brazil,14.066,0,12.9,14.2,0,0,41.166
NR,Artem Dolgopyat Israel,13,13.866,0,14.133,0,0,40.999
NR,Rayderley Zapata Spain,13.933,0,13.6,13.433,0,0,40.966
NR,William Emard Canada,14.1,11.933,0,14.4,0,0,40.433
NR,Thierno Diallo Spain,0,13.5,0,0,14.366,12.4,40.266
NR,Taha Serhani Switzerland,0,12.533,0,0,13.866,13.7,40.099
NR,Tyson Bull Australia,0,12.2,0,0,13.2,14.333,39.733
NR,Mitchell Morgans Australia,0,0,11.866,0,12.766,14.333,38.965
NR,Yunus Gündogdu Turkey,11.866,0,13.6,0,13.466,0,38.932
NR,Toma Modoianu-Zseder Romania,0,11.733,13.366,0,0,12.466,37.565
NR,Isaac Nuñez Mexico,0,0,0,13.7,13.566,10.066,37.332
NR,James Bacueti Australia,13.033,11.066,0,13.1,0,0,37.199
NR,Zou Jingyuan China,0,0,14.666,0,15.7,0,30.366
NR,Courtney Tulloch Great Britain,0,0,14.666,14.7,0,0,29.366
NR,Kim Hansol South Korea,14.266,0,0,14.7,0,0,28.966
NR,Marios Georgiou Cyprus,0,0,0,0,14.833,14.1,28.933
NR,Igor Radivilov Ukraine,0,0,13.866,14.7,0,0,28.566
NR,Robert Tvorogal Lithuania,0,0,0,0,13.333,14.3,27.633
NR,Rasuljon Abdurakhimov Uzbekistan,0,0,0,0,14.233,13.266,27.499
NR,Carlo Macchini Italy,0,13.233,0,0,0,14.066,27.299
NR,Ilias Georgiou Cyprus,0,0,0,0,12.633,14.466,27.099
NR,Mikhail Koudinov New Zealand,0,0,0,0,13.633,13.3,26.933
NR,Balazs Kiss Hungary,0,13.366,13.3,0,0,0,26.666
NR,Utkirbek Juraev Uzbekistan,13,0,0,0,13.633,0,26.633
NR,Vinzenz Höck Austria,0,0,13.933,0,0,12.366,26.299
NR,Nikolaos Iliopoulos Greece,0,0,0,0,13.4,12.733,26.133
NR,Hillal Metidji Algeria,0,12.7,0,0,13.133,0,25.833
NR,Javier Sandoval Colombia,0,13.2,0,0,12.466,0,25.666
NR,Andrey Medvedev Israel,12.133,0,0,13.5,0,0,25.633
NR,Alexander Myakinin Israel,0,11.2,0,0,0,14,25.2
NR,Rhys McClenaghan Ireland,0,15.233,0,0,0,0,15.233
NR,Stephen Nedoroscik United States,0,15.233,0,0,0,0,15.233
NR,Nariman Kurbanov Kazakhstan,0,15.033,0,0,0,0,15.033
NR,Artur Davtyan Armenia,0,0,0,14.9,0,0,14.9
NR,Harutyun Merdinyan Armenia,0,14.7,0,0,0,0,14.7
NR,Vahagn Davtyan Armenia,0,0,14.566,0,0,0,14.566
NR,Artur Avetisyan Armenia,0,0,14.466,0,0,0,14.466
NR,Filip Ude Croatia,0,14.4,0,0,0,0,14.4
NR,Ahmad Abu Al Soud Jordan,0,14.366,0,0,0,0,14.366
NR,Aurel Benovic Croatia,14.266,0,0,0,0,0,14.266
NR,Sokratis Pilakouris Cyprus,0,0,14.133,0,0,0,14.133
NR,Shek Wai Hung Hong Kong,0,0,0,14,0,0,14
NR,Ewan McAteer Ireland,0,0,0,13.966,0,0,13.966
NR,Nikita Simonov Azerbaijan,0,0,13.966,0,0,0,13.966
NR,Ali Zahran Egypt,0,0,13.8,0,0,0,13.8
NR,Stefanos Tsolakidis Greece,0,0,0,0,13.566,0,13.566
NR,Niklas Syverhuset Norway,13.533,0,0,0,0,0,13.533
NR,Tin Srbic Croatia,0,0,0,0,0,13.2,13.2
NR,Konstantinos Konstantinidis Greece,0,0,13.033,0,0,0,13.033
NR,Tseng Wei-Sheng Taiwan,0,0,0,12.933,0,0,12.933
NR,Eamon Montgomery Ireland,12.9,0,0,0,0,0,12.9
NR,Ilia Liubimov Israel,0,0,0,0,12.5,0,12.5
NR,Akseli Karsikas Finland,0,0,0,12.3,0,0,12.3
NR,Stavros Gkinis Greece,0,0,12.066,0,0,0,12.066
NR,Nikolaj Bozic Slovenia,12,0,0,0,0,0,12
