Name,Country,uneven_score,uneven_rank,bb_score,bb_rank,floor_score,floor_rank,vault1_score,vault2_score,vault_avg_score,vault_rank,total_score,total_rank
Carlotta Ferlito,ITA,14.033,42.0,13.233,56.0,14.033,18.0,14.3,0.0,0.0,0.0,55.599,27.0
Vanessa Ferrari,ITA,13.866,47.0,12.0,75.0,14.866,3.0,14.533,0.0,0.0,0.0,55.265,29.0
Elisa Meneghini,ITA,0.0,0.0,14.166,23.0,14.233,13.0,14.166,0.0,0.0,0.0,0.0,0.0
Erika Fasana,ITA,14.2,37.0,12.933,63.0,14.333,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Martina Rizzelli,ITA,14.033,43.0,0.0,0.0,0.0,0.0,14.533,0.0,0.0,0.0,0.0,0.0
Marine Brevet,FRA,14.333,34.0,14.166,23.0,13.933,23.0,14.133,0.0,0.0,0.0,56.565,18.0
Louise Vanhille,FRA,14.866,17.0,13.633,40.0,13.3,45.0,13.966,0.0,0.0,0.0,55.765,26.0
Oréane Lechenault,FRA,13.166,60.0,13.633,41.0,13.666,33.0,12.3,0.0,0.0,0.0,52.765,46.0
Marine Boyer,FRA,0.0,0.0,14.6,9.0,13.233,50.0,14.2,0.0,0.0,0.0,0.0,0.0
Loan His,FRA,13.9,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nina Derwael,BEL,15.133,12.0,13.966,28.0,13.533,39.0,13.9,0.0,0.0,0.0,56.532,21.0
Rune Hermans,BEL,13.775,50.0,13.7,38.0,13.9,24.0,13.133,0.0,0.0,0.0,54.508,34.0
Gaëlle Mys,BEL,0.0,0.0,13.833,33.0,13.566,37.0,14.133,0.0,0.0,0.0,0.0,0.0
Laura Waem,BEL,14.133,41.0,13.966,28.0,13.366,44.0,0.0,0.0,0.0,0.0,0.0,0.0
Senna Deriks,BEL,13.533,56.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Lilia Akhaimova,ROC,12.9,49.0,12.266,59.0,13.633,11.0,14.766,14.633,14.699,7.0,53.565,28.0
Viktoria Listunova,ROC,14.766,6.0,13.866,13.0,14.0,6.0,14.3,0.0,0.0,0.0,56.932,6.0
Angelina Melnikova,ROC,14.933,4.0,13.733,17.0,14.0,7.0,14.466,14.766,14.616,9.0,57.132,4.0
Vladislava Urazova,ROC,14.866,5.0,14.0,8.0,13.633,10.0,14.6,0.0,0.0,0.0,57.099,5.0
Simone Biles,USA,14.566,10.0,14.066,7.0,14.133,2.0,14.966,15.4,15.183,1.0,57.731,1.0
Jordan Chiles,USA,12.866,52.0,11.566,78.0,13.566,13.0,14.7,0.0,0.0,0.0,52.698,40.0
Sunisa Lee,USA,15.2,2.0,14.2,3.0,13.433,18.0,14.333,0.0,0.0,0.0,57.166,3.0
Grace McCallum,USA,14.1,22.0,13.066,32.0,13.466,16.0,14.533,0.0,0.0,0.0,55.165,13.0
Lu Yufei,CHN,14.7,7.0,14.1,5.0,12.666,48.0,13.6,0.0,0.0,0.0,55.066,14.0
Ou Yushan,CHN,13.5,35.0,13.933,11.0,0.0,0.0,13.633,0.0,0.0,0.0,0.0,0.0
Tang Xijing,CHN,14.433,13.0,14.333,2.0,13.366,20.0,14.3,0.0,0.0,0.0,56.432,8.0
Zhang Jin,CHN,13.1,42.0,13.966,10.0,13.433,17.0,14.433,0.0,0.0,0.0,54.932,15.0
Marine Boyer,FRA,10.4,84.0,13.466,22.0,12.733,44.0,13.733,0.0,0.0,0.0,50.332,60.0
M√©lanie de Jesus dos Santos,FRA,14.566,11.0,13.233,26.0,13.166,25.0,14.466,0.0,0.0,0.0,55.431,10.0
Aline Friess,FRA,13.666,31.0,12.5,51.0,12.5,56.0,14.966,0.0,0.0,0.0,53.632,25.0
Carolann H√©duit,FRA,13.966,25.0,13.2,28.0,12.9,34.0,14.233,0.0,0.0,0.0,54.299,18.0
Maellyse Brassart,BEL,13.366,36.0,13.033,33.0,12.766,39.0,13.766,0.0,0.0,0.0,52.931,35.0
Nina Derwael,BEL,15.366,1.0,13.766,15.0,13.566,12.0,13.9,0.0,0.0,0.0,56.598,7.0
Lisa Vaelen,BEL,14.1,23.0,12.5,52.0,12.766,40.0,13.0,0.0,0.0,0.0,52.366,42.0
Jutta Verkest,BEL,13.633,33.0,13.666,19.0,12.933,31.0,13.4,0.0,0.0,0.0,53.632,26.0
Jennifer Gadirova,GBR,13.066,43.0,13.3,24.0,13.8,9.0,14.533,0.0,0.0,0.0,54.699,17.0
Jessica Gadirova,GBR,13.8,29.0,12.866,39.0,14.033,5.0,14.5,14.2,14.35,13.0,55.199,12.0
Alice Kinsella,GBR,12.633,57.0,12.1,63.0,12.766,41.0,14.166,0.0,0.0,0.0,51.665,48.0
Amelie Morgan,GBR,13.833,28.0,13.033,34.0,12.466,57.0,13.858,0.0,0.0,0.0,53.19,33.0
Alice D'Amato,ITA,14.233,18.0,12.6,48.0,13.033,28.0,14.333,0.0,0.0,0.0,54.199,20.0
Asia D'Amato,ITA,13.933,26.0,13.133,29.0,11.833,76.0,14.233,0.0,0.0,0.0,53.132,34.0
Vanessa Ferrari,ITA,0.0,0.0,12.5,52.0,14.166,1.0,14.2,0.0,0.0,0.0,0.0,0.0
Martina Maggio,ITA,13.7,30.0,13.066,31.0,12.7,45.0,14.1,0.0,0.0,0.0,53.566,27.0
Hitomi Hatakeda,JPN,14.133,21.0,13.0,35.0,13.333,22.0,12.266,0.0,0.0,0.0,52.732,39.0
Yuna Hiraiwa,JPN,11.7,71.0,13.533,20.0,12.666,47.0,13.733,0.0,0.0,0.0,51.632,49.0
Mai Murakami,JPN,12.133,64.0,13.466,21.0,13.933,8.0,14.433,14.5,14.466,11.0,53.965,23.0
Aiko Sugihara,JPN,13.366,36.0,11.566,77.0,13.333,21.0,14.266,0.0,0.0,0.0,52.531,41.0
Kim Bui,GER,14.066,24.0,12.666,44.0,13.2,24.0,13.466,0.0,0.0,0.0,53.398,31.0
Pauline Sch√§fer-Betz,GER,11.933,66.0,12.966,36.0,12.733,42.0,13.933,0.0,0.0,0.0,51.565,50.0
