Rank,Athlete,FX,PH,SR,VT,PB,HB,AA,round,year,Nation
NR,lucas kochan germany,12.9,13.1,0.0,14.066,14.233,13.4,67.699,qual,2023,None
NR,dmitriy patanin kazakhstan,13.9,0.0,13.366,14.4,13.166,12.4,67.232,qual,2023,None
NR,kim jaeho south korea,13.633,13.433,0.0,14.7,12.0,13.4,67.199,qual,2023,None
NR,jordi hagenaar netherlands,13.3,13.1,0.0,14.166,12.333,13.366,66.265,qual,2023,None
NR,maxime gentges belgium,13.233,12.7,13.266,0.0,14.066,12.033,65.298,qual,2023,None
NR,ryu sunghyun south korea,14.2,11.066,0.0,13.3,13.133,13.266,64.965,qual,2023,None
NR,kevin carvalho france,0.0,12.366,12.766,14.1,14.0,11.3,64.532,qual,2023,None
NR,nicholas tarca romania,12.8,13.066,0.0,12.866,13.2,11.9,63.832,qual,2023,None
NR,dilan jimenez colombia,12.7,0.0,12.1,14.266,13.966,10.666,63.698,qual,2023,None
NR,ahmed abdelrahman egypt,12.566,12.266,0.0,14.133,11.766,12.8,63.531,qual,2023,None
NR,zaid khater egypt,11.533,11.1,12.733,12.966,13.833,0.0,62.165,qual,2023,None
NR,hamza hossaini morocco,12.966,11.0,0.0,14.333,12.233,7.766,58.298,qual,2023,None
NR,paul juda united states,13.933,0.0,13.733,14.866,0.0,14.166,56.698,qual,2023,None
NR,khoi young united states,0.0,15.066,0.0,14.8,14.533,11.933,56.332,qual,2023,None
NR,sugimoto kaito japan,0.0,13.333,13.766,0.0,15.166,13.866,56.131,qual,2023,None
NR,yul moldauer united states,14.233,12.666,14.0,0.0,14.966,0.0,55.865,qual,2023,None
NR,lucas desanges france,14.0,0.0,0.0,13.8,14.033,13.5,55.333,qual,2023,None
NR,shi cong china,0.0,13.6,0.0,13.5,14.9,13.133,55.133,qual,2023,None
NR,nils dunkel germany,0.0,14.6,13.533,0.0,14.133,12.5,54.766,qual,2023,None
NR,christian baumann switzerland,0.0,13.5,13.666,0.0,14.066,13.233,54.465,qual,2023,None
NR,seo jungwon south korea,13.566,0.0,13.566,14.1,13.2,0.0,54.432,qual,2023,None
NR,nicola cuyle belgium,0.0,13.366,13.833,13.0,14.166,0.0,54.365,qual,2023,None
NR,taha serhani switzerland,11.7,0.0,0.0,14.366,14.3,13.666,54.032,qual,2023,None
NR,joel plata spain,0.0,13.5,13.033,0.0,14.433,13.066,54.032,qual,2023,None
NR,ferhat arican türkiye,0.0,13.6,0.0,13.866,13.766,12.733,53.965,qual,2023,None
NR,glen cuyle belgium,13.733,0.0,14.133,13.5,0.0,12.5,53.866,qual,2023,None
NR,su weide china,14.2,10.9,0.0,14.266,0.0,14.3,53.666,qual,2023,None
NR,bart deurloo netherlands,11.266,0.0,13.3,14.1,0.0,14.1,52.766,qual,2023,None
NR,pavel gulidov israel,13.4,0.0,11.966,14.2,12.966,0.0,52.532,qual,2023,None
NR,courtney tulloch great britain,12.133,0.0,14.3,13.233,12.2,0.0,51.866,qual,2023,None
NR,radomyr stelmakh ukraine,13.233,13.8,0.0,0.0,13.5,10.933,51.466,qual,2023,None
NR,bernardo miranda brazil,0.0,12.6,11.5,0.0,13.1,13.866,51.066,qual,2023,None
NR,toma modoianu romania,0.0,11.8,13.033,0.0,12.5,12.766,50.099,qual,2023,None
NR,harry hepworth great britain,14.5,0.0,14.366,14.466,0.0,0.0,43.332,qual,2023,None
NR,max whitlock great britain,0.0,15.266,0.0,0.0,14.133,12.733,42.132,qual,2023,None
NR,rayderley zapata spain,14.466,0.0,13.166,14.4,0.0,0.0,42.032,qual,2023,None
NR,nicola bartolini italy,14.4,12.933,0.0,14.666,0.0,0.0,41.999,qual,2023,None
NR,abdulaziz mirvaliev uzbekistan,13.9,0.0,13.533,14.533,0.0,0.0,41.966,qual,2023,None
NR,yuri guimarães brazil,14.1,0.0,13.133,14.4,0.0,0.0,41.633,qual,2023,None
NR,liu yang china,13.033,0.0,15.2,13.133,0.0,0.0,41.366,qual,2023,None
NR,neofytos kyriakou cyprus,13.4,0.0,0.0,14.3,0.0,13.3,41.0,qual,2023,None
NR,nick klessing germany,12.233,0.0,13.733,14.433,0.0,0.0,40.399,qual,2023,None
NR,lee junghyo south korea,0.0,13.3,13.533,0.0,0.0,13.366,40.199,qual,2023,None
NR,botond molnar hungary,12.9,0.0,0.0,13.733,13.566,0.0,40.199,qual,2023,None
NR,loran de munck netherlands,0.0,14.466,13.0,0.0,12.666,0.0,40.132,qual,2023,None
NR,benjamin osberger france,14.166,13.033,12.9,0.0,0.0,0.0,40.099,qual,2023,None
NR,matteo levantesi italy,0.0,0.0,12.333,0.0,14.833,12.5,39.666,qual,2023,None
NR,luca giubellini switzerland,13.866,11.433,0.0,14.366,0.0,0.0,39.665,qual,2023,None
NR,you hao china,0.0,0.0,14.8,0.0,14.233,10.6,39.633,qual,2023,None
NR,mehmet ayberk kosak türkiye,13.766,11.3,13.766,0.0,0.0,0.0,38.832,qual,2023,None
NR,juan larrahondo colombia,13.2,0.0,11.233,14.2,0.0,0.0,38.633,qual,2023,None
NR,balazs kiss hungary,0.0,13.566,13.1,0.0,0.0,11.933,38.599,qual,2023,None
NR,emilian neagu romania,13.0,0.0,11.4,13.233,0.0,0.0,37.633,qual,2023,None
NR,rasuljon abdurakhimov uzbekistan,0.0,10.1,0.0,0.0,13.0,13.266,36.366,qual,2023,None
NR,fabian de luna mexico,0.0,0.0,12.666,13.733,9.966,0.0,36.365,qual,2023,None
NR,sergio vargas colombia,0.0,11.533,0.0,0.0,13.5,10.666,35.699,qual,2023,None
NR,igor radivilov ukraine,0.0,0.0,13.966,14.833,0.0,0.0,28.799,qual,2023,None
NR,minami kazuki japan,14.566,0.0,0.0,14.033,0.0,0.0,28.599,qual,2023,None
NR,audrys nin reyes dominican republic,0.0,0.0,0.0,14.6,13.933,0.0,28.533,qual,2023,None
NR,sebastian sponevik norway,0.0,0.0,0.0,14.466,13.3,0.0,27.766,qual,2023,None
NR,mitchell morgans australia,0.0,0.0,0.0,0.0,13.9,13.8,27.7,qual,2023,None
NR,alexander myakinin israel,0.0,13.2,0.0,0.0,0.0,13.7,26.9,qual,2023,None
NR,dominick cunningham ireland,13.7,0.0,0.0,13.066,0.0,0.0,26.766,qual,2023,None
NR,ahmed elmaraghy egypt,0.0,0.0,12.966,0.0,0.0,12.9,25.866,qual,2023,None
NR,enkhtuvshin damdindorj mongolia,13.533,0.0,0.0,0.0,0.0,12.133,25.666,qual,2023,None
NR,ricards plate latvia,0.0,0.0,0.0,0.0,12.7,12.7,25.4,qual,2023,None
NR,ahmed riadh aliouat algeria,0.0,0.0,0.0,0.0,12.9,12.3,25.2,qual,2023,None
NR,rhys mcclenaghan ireland,0.0,14.933,0.0,0.0,0.0,0.0,14.933,qual,2023,None
NR,ahmad abu al soud jordan,0.0,14.9,0.0,0.0,0.0,0.0,14.9,qual,2023,None
NR,eleftherios petrounias greece,0.0,0.0,14.9,0.0,0.0,0.0,14.9,qual,2023,None
NR,nikita simonov azerbaijan,0.0,0.0,14.666,0.0,0.0,0.0,14.666,qual,2023,None
NR,shek wai hung hong kong,0.0,0.0,0.0,14.633,0.0,0.0,14.633,qual,2023,None
NR,harutyun merdinyan armenia,0.0,14.6,0.0,0.0,0.0,0.0,14.6,qual,2023,None
NR,vinzenz höck austria,0.0,0.0,14.6,0.0,0.0,0.0,14.6,qual,2023,None
NR,artur avetisyan armenia,0.0,0.0,14.433,0.0,0.0,0.0,14.433,qual,2023,None
NR,vahagn davtyan armenia,0.0,0.0,14.433,0.0,0.0,0.0,14.433,qual,2023,None
NR,tin srbic croatia,0.0,0.0,0.0,0.0,0.0,14.433,14.433,qual,2023,None
NR,vedant sawant australia,0.0,14.4,0.0,0.0,0.0,0.0,14.4,qual,2023,None
NR,matvei petrov albania,0.0,14.4,0.0,0.0,0.0,0.0,14.4,qual,2023,None
NR,tseng wei-sheng taiwan,0.0,0.0,0.0,14.233,0.0,0.0,14.233,qual,2023,None
NR,lin guan-yi taiwan,0.0,0.0,14.166,0.0,0.0,0.0,14.166,qual,2023,None
NR,nariman kurbanov kazakhstan,0.0,14.133,0.0,0.0,0.0,0.0,14.133,qual,2023,None
NR,filip lidbeck sweden,14.133,0.0,0.0,0.0,0.0,0.0,14.133,qual,2023,None
NR,tyson bull australia,0.0,0.0,0.0,0.0,0.0,13.966,13.966,qual,2023,None
NR,radomir sliz czechia,0.0,13.8,0.0,0.0,0.0,0.0,13.8,qual,2023,None
NR,dmitrijs mickevics latvia,0.0,13.7,0.0,0.0,0.0,0.0,13.7,qual,2023,None
NR,jayson rampersad canada,0.0,13.633,0.0,0.0,0.0,0.0,13.633,qual,2023,None
NR,ivan dejanovic serbia,0.0,0.0,0.0,0.0,0.0,13.433,13.433,qual,2023,None
NR,guilherme campos portugal,13.333,0.0,0.0,0.0,0.0,0.0,13.333,qual,2023,None
NR,shiao yu-jan taiwan,0.0,13.3,0.0,0.0,0.0,0.0,13.3,qual,2023,None
NR,marios georgiou cyprus,0.0,0.0,0.0,0.0,0.0,13.233,13.233,qual,2023,None
NR,filip ude croatia,0.0,13.133,0.0,0.0,0.0,0.0,13.133,qual,2023,None
NR,quentin brandenburger luxembourg,0.0,0.0,0.0,0.0,13.066,0.0,13.066,qual,2023,None
NR,sokratis pilakouris cyprus,0.0,0.0,13.033,0.0,0.0,0.0,13.033,qual,2023,None
NR,stefanos tsolakidis greece,0.0,0.0,0.0,0.0,12.933,0.0,12.933,qual,2023,None
NR,dagur olafsson iceland,0.0,12.533,0.0,0.0,0.0,0.0,12.533,qual,2023,None
NR,kim wanström sweden,12.5,0.0,0.0,0.0,0.0,0.0,12.5,qual,2023,None
NR,eamon montgomery ireland,12.5,0.0,0.0,0.0,0.0,0.0,12.5,qual,2023,None
NR,ondrej kalny czechia,0.0,0.0,0.0,11.8,0.0,0.0,11.8,qual,2023,None
NR,akseli karsikas finland,9.566,0.0,0.0,0.0,0.0,0.0,9.566,qual,2023,None
1,hashimoto daiki japan,13.466,14.366,14.0,15.0,14.8,14.5,86.132,final,2023,None
2,illia kovtun ukraine,14.0,14.3,13.133,14.333,15.166,14.066,84.998,final,2023,None
3,fred richard united states,14.633,13.733,13.5,14.566,14.6,13.3,84.332,final,2023,None
4,chiba kenta japan,13.966,14.8,13.733,13.666,14.666,12.633,83.464,final,2023,None
5,milad karimi kazakhstan,14.366,13.0,12.966,14.233,14.1,14.266,82.931,final,2023,None
6,yumin abbadini italy,13.866,13.8,13.3,13.9,13.933,14.033,82.832,final,2023,None
7,sun wei china,13.333,12.3,14.266,14.166,14.4,14.233,82.698,final,2023,None
8,noe seifert switzerland,13.833,13.566,13.366,14.1,14.766,12.8,82.431,final,2023,None
9,james hall great britain,13.6,13.3,13.566,13.733,14.666,13.466,82.331,final,2023,None
10,diogo soares brazil,13.0,13.6,13.066,14.1,14.266,13.8,81.832,final,2023,None
11,krisztofer meszaros hungary,14.266,13.5,13.366,14.3,12.533,13.7,81.665,final,2023,None
12,rene cournoyer canada,13.566,12.6,13.766,13.7,13.933,13.8,81.365,final,2023,None
13,jake jarman great britain,14.5,13.433,12.9,15.433,12.766,12.166,81.198,final,2023,None
14,florian langenegger switzerland,13.433,13.466,12.9,14.233,13.866,13.033,80.931,final,2023,None
15,mario macchiati italy,13.466,13.433,13.1,14.466,13.2,13.0,80.665,final,2023,None
16,lukas dauser germany,11.966,13.033,12.933,13.733,15.4,13.366,80.431,final,2023,None
17,casimir schmidt netherlands,14.0,13.266,12.8,14.3,12.933,13.0,80.299,final,2023,None
18,ilia liubimov israel,13.2,13.7,12.4,13.966,13.533,13.366,80.165,final,2023,None
19,asher hong united states,13.733,12.333,13.833,13.866,14.466,11.833,80.064,final,2023,None
20,thierno diallo spain,13.366,13.3,13.0,14.133,13.833,12.3,79.932,final,2023,None
21,luka van den keybus belgium,13.6,9.666,12.9,14.5,14.2,13.5,78.366,final,2023,None
22,ahmet önder türkiye,13.8,9.933,13.133,14.533,12.866,14.066,78.331,final,2023,None
23,lee junho south korea,13.466,11.933,13.166,14.1,11.733,13.566,77.964,final,2023,None
24,khabibullo ergashev uzbekistan,12.8,13.5,12.266,13.866,13.166,11.733,77.331,final,2023,None
1,yul moldauer 5280 gymnastics,14.4,13.957 (+0.107),14.114 (+0.114),14.25,15.121 (+0.321),13.5,85.342 (+0.542),final,2023,None
2,fred richard michigan,14.483 (+0.183),13.357 (+0.107),13.35,14,14.45,14.962 (+0.412),84.602 (+0.702),final,2023,None
3,asher hong stanford,12.203 (+0.053),12.507 (+0.107),14.133 (+0.183),14.755 (+0.705),14.7,13.65,81.948 (+1.048),final,2023,None
4,ian lasic-ellis stanford,13.6,13.4,13.95,13.7,14.5,12.755 (+0.055),81.905 (+0.055),final,2023,None
5,shane wiskus evo,13.7,13.25,14.25,13.75,14.05,12.2,81.2,final,2023,None
6,riley loos stanford,12.9,12.3,13.953 (+0.053),14.252 (+0.202),13.35,13.45,80.205 (+0.255),final,2023,None
7,joshua karnes penn state,13.75,11.3,13.1,13.7,14.4,13.25,79.5,final,2023,None
8,ian gunther stanford,12.9,12.902 (+0.052),13.8,13.5,12.45,13.6,79.152 (+0.052),final,2023,None
9,mike fletcher illinois,12.6,13.05,13.15,14.45,13.55,12.1,78.9,final,2023,None
10,cameron bock michigan,13.4,13.05,11.6,13.95,13.3,13.55,78.85,final,2023,None
11,landen blixt michigan,13.5,12.8,12.45,12.65,13.8,13.2,78.4,final,2023,None
12,david shamah evo,12.7,12.9,12.15,13.5,13.4,12.9,77.55,final,2023,None
13,michael jaroh penn state,12.3,12.65,13.5,13,12.75,12.8,77,final,2023,None
14,taylor christopulos nebraska,13.55,13.4,10.7,14.25,12.95,11.25,76.1,final,2023,None
15,jeremy bischoff stanford,12.6,11.15,13.2,14.05,13.65,11.45,76.1,final,2023,None
16,kameron nelson ohio state,14.114 (+0.114),9.8,12.6,14.302 (+0.202),13.25,11.65,75.716 (+0.316),final,2023,None
17,noah newfeld berkeley,11.55,11.3,12.9,13.3,13.35,12.9,75.3,final,2023,None
18,maxim bereznev roswell,12.1,10.95,12.85,13.05,13.1,12.6,74.65,final,2023,None
19,chase davenport-mills roswell,11.1,12.4,12.3,13.9,10.95,12.75,73.4,final,2023,None
20,evan hymanson stanford boys,12.1,10.2,12.6,11.7,13.75,12.5,72.85,final,2023,None
21,rithik puri michigan,11.4,10.15,11.35,13.4,13,11.65,70.95,final,2023,None
22,matt cormier penn state,11.05,8.95,12.05,12.25,13.45,11.3,69.05,final,2023,None
23,anthony koppie roswell,11.9,4.65,12.55,13.95,11.75,11.4,66.2,final,2023,None
24,isaiah drake navy,0,12.15,13.4,14.15,13.55,11.55,64.8,final,2023,None
25,garrett braunton air force,12.15,10.3,12.95,0,13.55,9.35,58.3,final,2023,None
26,drake andrews evo,0,12.15,12.85,0,11.4,12.9,49.3,final,2023,None
27,michael artlip penn state,0,11,11.65,0,11.3,12.65,46.6,final,2023,None
28,alex diab evo,12.9,0,14.698 (+0.448),13.552 (+0.202),0,0,41.150 (+0.650),final,2023,None
29,javier alfonso michigan,13.2,0,14.15,0,12.6,0,39.95,final,2023,None
30,curran phillips stanford,0,0,0,0,15.997 (+0.597),13.7,29.697 (+0.597),final,2023,None
31,blake sun stanford,0,13.5,0,0,15.044 (+0.244),0,28.544 (+0.244),final,2023,None
32,connor mccool illinois,13.803 (+0.053),0,0,14.15,0,0,27.953 (+0.053),final,2023,None
33,spencer goodell oklahoma,13.45,0,0,0,13.75,0,27.2,final,2023,None
34,khoi young stanford,0,11.2,0,14.802 (+0.202),0,0,26.002 (+0.202),final,2023,None
35,jack freeman oklahoma,13.2,0,0,0,0,10.95,24.15,final,2023,None
36,stephen nedoroscik evo,0,15.092 (+0.442),0,0,0,0,15.092 (+0.442),final,2023,None
37,patrick hoopes air force,0,14.992 (+0.442),0,0,0,0,14.992 (+0.442),final,2023,None
38,ian skirkey illinois,0,14.972 (+0.522),0,0,0,0,14.972 (+0.522),final,2023,None
39,ignacio yockers oklahoma,0,14.942 (+0.442),0,0,0,0,14.942 (+0.442),final,2023,None
40,brandon dang west coast,0,14.466 (+0.366),0,0,0,0,14.466 (+0.366),final,2023,None
41,vahe petrosyan gym olympica,0,0,0,13.35,0,0,13.35,final,2023,None
42,troy lipis gym world,0,0,12.711 (+0.261),0,0,0,12.711 (+0.261),final,2023,None
