Rank,Athlete,FX,PH,SR,VT,PB,HB,AA,round,Nation,year
NR,ferhat arican,0.0,13.0,0.0,14.033,15.2,12.933,55.166,qual,Turkey,2022
NR,milad karimi,14.733,12.166,0.0,14.2,0.0,13.833,54.932,qual,Kazakhstan,2022
NR,nils dunkel,13.166,14.166,13.466,0.0,14.133,0.0,54.931,qual,Germany,2022
NR,botond kardos,13.866,0.0,0.0,13.8,13.966,13.2,54.832,qual,Hungary,2022
NR,andreas toba,0.0,13.433,13.666,14.3,0.0,13.133,54.532,qual,Germany,2022
NR,you hao,0.0,13.633,14.633,0.0,12.7,13.233,54.199,qual,China,2022
NR,yang jiaxing,13.3,12.666,0.0,14.466,0.0,13.666,54.098,qual,China,2022
NR,andrei muntean,12.1,0.0,13.333,14.0,14.6,0.0,54.033,qual,Romania,2022
NR,sun wei,12.2,12.966,0.0,13.4,0.0,14.833,53.399,qual,China,2022
NR,samuel zakutney,0.0,12.4,12.766,0.0,14.4,13.633,53.199,qual,Canada,2022
NR,martijn de veer,13.366,0.0,0.0,13.6,13.3,12.333,52.599,qual,Netherlands,2022
NR,hung yuan-hsi,0.0,11.433,13.033,0.0,14.3,13.433,52.199,qual,Taiwan,2022
NR,pascal brendel,12.7,0.0,0.0,13.633,13.666,11.733,51.732,qual,Germany,2022
NR,mathias philippe,12.233,0.0,13.566,0.0,13.833,12.033,51.665,qual,France,2022
NR,zachary clay,0.0,14.2,12.8,0.0,13.866,10.733,51.599,qual,Canada,2022
NR,lin guan-yi,10.366,13.0,13.833,14.2,0.0,0.0,51.399,qual,Taiwan,2022
NR,ricardo rudy,12.433,12.233,0.0,13.6,12.566,0.0,50.832,qual,Austria,2022
NR,florian langenegger,11.866,11.833,12.633,14.3,0.0,0.0,50.632,qual,Switzerland,2022
NR,lee junghyo south,0.0,13.0,12.1,0.0,12.566,12.866,50.532,qual,Korea,2022
NR,lucas bitencourt,0.0,11.9,12.766,0.0,11.733,13.833,50.232,qual,Brazil,2022
NR,abdelrahman abdelhaleem,12.0,12.766,0.0,0.0,12.4,12.766,49.932,qual,Egypt,2022
NR,ahmet önder,13.8,9.966,0.0,13.866,0.0,12.066,49.698,qual,Turkey,2022
NR,pantely kolodii,0.0,11.666,12.8,0.0,12.166,12.166,48.798,qual,Ukraine,2022
NR,william fu-allen new,11.633,9.9,0.0,13.566,11.066,0.0,46.165,qual,Zealand,2022
NR,kamoto yuya,0.0,0.0,14.5,0.0,15.433,14.4,44.333,qual,Japan,2022
NR,loran de munck,0.0,14.833,13.166,0.0,13.766,0.0,41.765,qual,Netherlands,2022
NR,benjamin osberger,14.266,13.3,0.0,13.666,0.0,0.0,41.232,qual,France,2022
NR,yuri guimarães,14.066,0.0,12.9,14.2,0.0,0.0,41.166,qual,Brazil,2022
NR,artem dolgopyat,13.0,13.866,0.0,14.133,0.0,0.0,40.999,qual,Israel,2022
NR,rayderley zapata,13.933,0.0,13.6,13.433,0.0,0.0,40.966,qual,Spain,2022
NR,william emard,14.1,11.933,0.0,14.4,0.0,0.0,40.433,qual,Canada,2022
NR,thierno diallo,0.0,13.5,0.0,0.0,14.366,12.4,40.266,qual,Spain,2022
NR,taha serhani,0.0,12.533,0.0,0.0,13.866,13.7,40.099,qual,Switzerland,2022
NR,tyson bull,0.0,12.2,0.0,0.0,13.2,14.333,39.733,qual,Australia,2022
NR,mitchell morgans,0.0,0.0,11.866,0.0,12.766,14.333,38.965,qual,Australia,2022
NR,yunus gündogdu,11.866,0.0,13.6,0.0,13.466,0.0,38.932,qual,Turkey,2022
NR,toma modoianu-zseder,0.0,11.733,13.366,0.0,0.0,12.466,37.565,qual,Romania,2022
NR,isaac nuñez,0.0,0.0,0.0,13.7,13.566,10.066,37.332,qual,Mexico,2022
NR,james bacueti,13.033,11.066,0.0,13.1,0.0,0.0,37.199,qual,Australia,2022
NR,zou jingyuan,0.0,0.0,14.666,0.0,15.7,0.0,30.366,qual,China,2022
NR,courtney tulloch great,0.0,0.0,14.666,14.7,0.0,0.0,29.366,qual,Britain,2022
NR,kim hansol south,14.266,0.0,0.0,14.7,0.0,0.0,28.966,qual,Korea,2022
NR,marios georgiou,0.0,0.0,0.0,0.0,14.833,14.1,28.933,qual,Cyprus,2022
NR,igor radivilov,0.0,0.0,13.866,14.7,0.0,0.0,28.566,qual,Ukraine,2022
NR,robert tvorogal,0.0,0.0,0.0,0.0,13.333,14.3,27.633,qual,Lithuania,2022
NR,rasuljon abdurakhimov,0.0,0.0,0.0,0.0,14.233,13.266,27.499,qual,Uzbekistan,2022
NR,carlo macchini,0.0,13.233,0.0,0.0,0.0,14.066,27.299,qual,Italy,2022
NR,ilias georgiou,0.0,0.0,0.0,0.0,12.633,14.466,27.099,qual,Cyprus,2022
NR,mikhail koudinov new,0.0,0.0,0.0,0.0,13.633,13.3,26.933,qual,Zealand,2022
NR,balazs kiss,0.0,13.366,13.3,0.0,0.0,0.0,26.666,qual,Hungary,2022
NR,utkirbek juraev,13.0,0.0,0.0,0.0,13.633,0.0,26.633,qual,Uzbekistan,2022
NR,vinzenz höck,0.0,0.0,13.933,0.0,0.0,12.366,26.299,qual,Austria,2022
NR,nikolaos iliopoulos,0.0,0.0,0.0,0.0,13.4,12.733,26.133,qual,Greece,2022
NR,hillal metidji,0.0,12.7,0.0,0.0,13.133,0.0,25.833,qual,Algeria,2022
NR,javier sandoval,0.0,13.2,0.0,0.0,12.466,0.0,25.666,qual,Colombia,2022
NR,andrey medvedev,12.133,0.0,0.0,13.5,0.0,0.0,25.633,qual,Israel,2022
NR,alexander myakinin,0.0,11.2,0.0,0.0,0.0,14.0,25.2,qual,Israel,2022
NR,rhys mcclenaghan,0.0,15.233,0.0,0.0,0.0,0.0,15.233,qual,Ireland,2022
NR,stephen nedoroscik united,0.0,15.233,0.0,0.0,0.0,0.0,15.233,qual,States,2022
NR,nariman kurbanov,0.0,15.033,0.0,0.0,0.0,0.0,15.033,qual,Kazakhstan,2022
NR,artur davtyan,0.0,0.0,0.0,14.9,0.0,0.0,14.9,qual,Armenia,2022
NR,harutyun merdinyan,0.0,14.7,0.0,0.0,0.0,0.0,14.7,qual,Armenia,2022
NR,vahagn davtyan,0.0,0.0,14.566,0.0,0.0,0.0,14.566,qual,Armenia,2022
NR,artur avetisyan,0.0,0.0,14.466,0.0,0.0,0.0,14.466,qual,Armenia,2022
NR,filip ude,0.0,14.4,0.0,0.0,0.0,0.0,14.4,qual,Croatia,2022
NR,ahmad abu al soud,0.0,14.366,0.0,0.0,0.0,0.0,14.366,qual,Jordan,2022
NR,aurel benovic,14.266,0.0,0.0,0.0,0.0,0.0,14.266,qual,Croatia,2022
NR,sokratis pilakouris,0.0,0.0,14.133,0.0,0.0,0.0,14.133,qual,Cyprus,2022
NR,shek wai hung hong,0.0,0.0,0.0,14.0,0.0,0.0,14.0,qual,Kong,2022
NR,ewan mcateer,0.0,0.0,0.0,13.966,0.0,0.0,13.966,qual,Ireland,2022
NR,nikita simonov,0.0,0.0,13.966,0.0,0.0,0.0,13.966,qual,Azerbaijan,2022
NR,ali zahran,0.0,0.0,13.8,0.0,0.0,0.0,13.8,qual,Egypt,2022
NR,stefanos tsolakidis,0.0,0.0,0.0,0.0,13.566,0.0,13.566,qual,Greece,2022
NR,niklas syverhuset,13.533,0.0,0.0,0.0,0.0,0.0,13.533,qual,Norway,2022
NR,tin srbic,0.0,0.0,0.0,0.0,0.0,13.2,13.2,qual,Croatia,2022
NR,konstantinos konstantinidis,0.0,0.0,13.033,0.0,0.0,0.0,13.033,qual,Greece,2022
NR,tseng wei-sheng,0.0,0.0,0.0,12.933,0.0,0.0,12.933,qual,Taiwan,2022
NR,eamon montgomery,12.9,0.0,0.0,0.0,0.0,0.0,12.9,qual,Ireland,2022
NR,ilia liubimov,0.0,0.0,0.0,0.0,12.5,0.0,12.5,qual,Israel,2022
NR,akseli karsikas,0.0,0.0,0.0,12.3,0.0,0.0,12.3,qual,Finland,2022
NR,stavros gkinis,0.0,0.0,12.066,0.0,0.0,0.0,12.066,qual,Greece,2022
NR,nikolaj bozic,12.0,0.0,0.0,0.0,0.0,0.0,12.0,qual,Slovenia,2022
1,hashimoto daiki,14.666,14.333,13.866,14.9,15.0,14.433,87.198,final,Japan,2022
2,zhang boheng,14.033,14.233,14.1,14.9,15.066,14.433,86.765,final,China,2022
3,tanigawa wataru,14.266,13.766,13.833,15.0,14.766,13.6,85.231,final,Japan,2022
4,brody malone united,14.133,13.766,13.666,14.5,14.366,14.5,84.931,final,States,2022
5,jake jarman great,14.433,13.333,13.0,14.8,14.166,13.133,82.865,final,Britain,2022
6,asher hong united,14.266,13.7,13.833,14.166,14.9,11.5,82.365,final,States,2022
7,illia kovtun,14.0,13.933,12.666,14.3,14.6,12.866,82.365,final,Ukraine,2022
8,carlos yulo,15.166,11.9,13.8,14.166,15.166,11.9,82.098,final,Philippines,2022
9,tang chia-hung,14.133,13.033,13.366,14.0,13.366,14.066,81.964,final,Taiwan,2022
10,caio souza,13.766,12.766,13.7,12.7,14.566,14.133,81.631,final,Brazil,2022
11,lukas dauser,13.666,13.2,12.9,13.766,15.166,12.9,81.598,final,Germany,2022
12,casimir schmidt,14.0,12.733,13.8,14.233,13.733,13.0,81.499,final,Netherlands,2022
13,lorenzo casali,12.966,12.833,13.1,14.233,14.333,12.866,80.331,final,Italy,2022
14,krisztofer meszaros,13.7,12.6,13.066,13.7,14.066,12.833,79.965,final,Hungary,2022
15,krisztian balazs,12.833,12.7,12.866,13.2,14.433,13.8,79.832,final,Hungary,2022
16,nestor abad,13.8,11.266,13.233,13.733,14.2,13.433,79.665,final,Spain,2022
17,diogo soares,12.766,13.433,12.9,14.266,12.433,13.866,79.664,final,Brazil,2022
18,joel plata,14.333,11.533,13.233,14.7,12.766,13.033,79.598,final,Spain,2022
19,sofus heggemsnes,12.766,12.7,12.766,14.466,13.3,12.933,78.931,final,Norway,2022
20,luka van den keybus,13.333,10.566,12.8,14.133,14.066,13.366,78.264,final,Belgium,2022
21,yumin abbadini,13.566,13.666,13.166,13.866,13.066,9.9,77.23,final,Italy,2022
22,joe fraser great,13.866,13.166,13.6,12.833,11.533,12.1,77.098,final,Britain,2022
23,gabriel burtanete,13.1,10.166,13.133,14.5,13.4,12.6,76.899,final,Romania,2022
24,jossimar calvo,13.166,10.4,11.566,14.4,12.366,13.5,75.398,final,Colombia,2022
1,vitaliy guimaraes,14.25,14.35,13.6,14.45,13.9,13.4,83.95,final,USA,2022
2,khoi young,13.55,15.342 (+0.642),12.55,15.244 (+0.244),13.75,13.1,83.536 (+0.886),final,USA,2022
3,asher hong,14.029 (+0.229),12.949 (+0.349),14.566 (+0.366),16.680 (+1.780),14.355 (+0.105),10.45,83.029 (+2.829),final,USA,2022
4,yul moldauer,13.4,13.789 (+0.489),14.116 (+0.366),13.4,15.543 (+0.993),11.4,81.648 (+1.848),final,USA,2022
5,colt walker,12.45,12.75,13.25,14.897 (+0.597),15.055 (+0.105),13.1,81.502 (+0.702),final,USA,2022
6,taylor burkhart,13.2,13.6,12.95,14.594 (+0.244),14.15,12.7,81.194 (+0.244),final,USA,2022
7,ian lasic-ellis,13.65,13.5,13.75,13.55,13.3,13.3,81.05,final,USA,2022
8,riley loos,12.7,13.6,13.6,14.747 (+0.597),14.1,12.3,81.047 (+0.597),final,USA,2022
9,colin van,13.45,11.7,13.3,14.847 (+0.597),13.7,13.15,80.147 (+0.597),final,USA,2022
10,zachary nunez,12.6,13.6,12.95,14,13.4,13.15,79.7,final,USA,2022
11,fuzzy benas,13.2,11.8,13.2,14.4,13.75,12.95,79.3,final,USA,2022
12,raydel gamboa,13.45,11.85,11.9,14.1,14.05,13.45,78.8,final,USA,2022
13,ian gunther,13.15,13.2,13.5,13.45,12.1,13.25,78.65,final,USA,2022
14,michael jaroh,11.2,12.7,13.5,13.35,14.1,13.65,78.5,final,USA,2022
15,isaiah drake,13.15,12.7,12.15,14.25,12.85,12.95,78.05,final,USA,2022
16,nicolas kuebler,12.15,12.95,13.05,13.45,13.2,13.15,77.95,final,USA,2022
17,evan davis,13.35,11.35,13.2,14.1,13.25,12.55,77.8,final,USA,2022
18,mike fletcher,12.4,13.35,12.9,13.15,13.15,12.4,77.35,final,USA,2022
19,jeremy bischoff,12.55,12.05,12.65,13.9,13.05,12.85,77.05,final,USA,2022
20,jack freeman,13.25,11.2,12.8,13.95,12.05,13.35,76.6,final,USA,2022
21,mathew davis,13.4,12.55,12.85,13.7,11.7,12.05,76.25,final,USA,2022
22,noah newfeld,12.2,13.05,12.1,13.5,13.2,12.15,76.2,final,USA,2022
23,toby liang,12.55,13,12.4,14,10.6,13.25,75.8,final,USA,2022
24,garrett braunton,12.85,12.9,13.05,12.2,13.15,11.65,75.8,final,USA,2022
25,james friedman,12.6,12.85,12.2,13.25,11.85,12.8,75.55,final,USA,2022
26,landen blixt,12.6,11.35,11.85,14.15,12.4,12.6,74.95,final,USA,2022
27,michael artlip,12.7,11.5,13.05,14,12.65,10.1,74,final,USA,2022
28,fred richard,11.85,12.25,11.95,13.9,12.4,11.65,74,final,USA,2022
29,matt cormier,10.15,12.1,13.5,14.2,11.05,12.95,73.95,final,USA,2022
30,ignacio yockers,11.75,12.893 (+1.193),11.45,13.6,11.95,11.4,73.043 (+1.193),final,USA,2022
31,kazuki hayashi,12.2,9.6,12.25,14.6,12.75,11.25,72.65,final,USA,2022
32,cole partridge,12.05,9.5,12.5,13.25,13.1,11.85,72.25,final,USA,2022
33,evan hymanson,11.5,10,12.8,13.2,11.75,12.75,72,final,USA,2022
34,caleb melton,11.75,11.75,12.05,12.9,11.5,12,71.95,final,USA,2022
35,robert neff,12.95,12.15,0,14.25,12.7,11.65,63.7,final,USA,2022
36,curran phillips,0,0,0,14.7,16.343 (+1.193),13.757 (+0.107),63.700 (+1.300),final,USA,2022
37,alex diab,13.55,0,14.445 (+0.895),13,0,0,40.995 (+0.895),final,USA,2022
38,blake sun,0,13.1,0,0,11.4,0,24.5,final,USA,2022
