Rank,Athlete,Nation,D,E,ND,Total
49,Anastasiia Motak,Ukraine,5.3,6.5,-0.1,11.7
50,Gudrun Hardardottir,Iceland,4.7,6.966,,11.666
51,Beatriz Cardoso,Portugal,4.9,6.766,,11.666
52,Alice D’Amato,Italy,5,6.666,,11.666
53,Elena Gerasimova,Russia,5.5,6.1,,11.6
54,Megan Ryan,Ireland,4.9,6.691,,11.591
55,Freja Petersen,Denmark,4.9,6.625,,11.525
56,Jessica Gadirova,Great Britain,4.7,6.733,,11.433
57,Ana Derek,Croatia,4.7,6.7,,11.4
58,Hildur Gudmundsdottir,Iceland,4.4,7.033,-0.1,11.333
59,Julie Søderstrøm,Norway,4.5,6.833,,11.333
60,Noémie Louon,Belgium,5,6.333,,11.333
61,Camille Rasmussen,Denmark,4.8,6.5,,11.3
62,Christina Zwicker,Croatia,4.7,6.566,,11.266
63,Ofir Netzer,Israel,4.5,6.7,,11.2
64,Magdalini Tsiori,Greece,4.4,7.266,-0.5,11.166
65,Lilli Habisreutinger,Switzerland,5,6.233,-0.1,11.133
66,Lea Bernards,Finland,4.4,6.633,,11.033
67,Margret Kristinsdottir,Iceland,4.6,6.466,-0.1,10.966
68,Jasmin Mader,Austria,4.4,6.533,,10.933
69,Ganna Metelitsa,Belarus,4.5,6.433,,10.933
70,Juliane Tøssebro,orway,4.4,6.5,,10.9
71,Anina Wildi,Switzerland,4.8,6.1,,10.9
72,Anna Locmele,Latvia,3.9,6.966,,10.866
73,Anastasiya Alistratava,Belarus,5,5.966,-0.1,10.866
74,Francisca Cancela,Portugal,4.4,6.433,,10.833
75,Anastasiya Smantsar,Belarus,4.7,6.166,-0.1,10.766
76,Yelyzaveta Hubareva,Ukraine,5.1,5.733,-0.1,10.733
77,Agata Vostruchovaite,Lithuania,4.4,6.333,-0.1,10.633
78,Marina Nekrasova,Azerbaijan,4.9,5.733,,10.633
79,Sarah Voss,Germany,4.8,5.8,,10.6
80,Noga Shalit,Israel,4.7,5.833,,10.533
81,Jutta Verkest,Belgium,5.3,5.166,,10.466
82,Astrid Breckmann,Denmark,4.5,5.9,,10.4
83,Cemre Kendirci,Turkey,4.8,5.566,,10.366
84,Josephine Sørensen,Denmark,4.6,5.85,-0.1,10.35
85,Lucija Hribar,Slovenia,4.1,6.233,,10.333
86,Iida Haapala,Finland,4.6,5.666,,10.266
87,Celeste Mordenti,Luxembourg,4.6,5.6,,10.2
88,Emelie Westlund,Sweden,4.8,5.133,,9.933
89,Diana Varinska,Ukraine,4.2,5.633,,9.833
90,Sara Sulekic,Croatia,4.5,5.341,-0.1,9.741
91,Rafaela Ferreira,Portugal,4.2,5.533,,9.733
92,Antonia Duta,Romania,4.9,4.733,,9.633
93,Emilia Kulczynska,Poland,4.8,4.8,,9.6
94,Chrysa Balami,Greece,5.1,4.433,-0.1,9.433
95,Lola Schleich,Luxembourg,3.8,5.3,,9.1
96,Edel Fosse,Norway,4.1,4.866,,8.966
97,Arina Olenova,Latvia,4.5,4.466,,8.966
98,Elvira Katsali,Greece,4.9,4.366,-0.4,8.866
99,Milana Minakovskaya,Azerbaijan,4.7,4.108,-0.1,8.708
100,Marija Ribalcenko,Latvia,4.7,4.066,-0.1,8.666
