Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
NR,Matteo Levantesi Italy,0,0,12.333,0,14.833,12.5,39.666
NR,Luca Giubellini Switzerland,13.866,11.433,0,14.366,0,0,39.665
NR,You Hao China,0,0,14.8,0,14.233,10.6,39.633
NR,Mehmet Ayberk Kosak Türkiye,13.766,11.3,13.766,0,0,0,38.832
NR,Juan Larrahondo Colombia,13.2,0,11.233,14.2,0,0,38.633
NR,Balazs Kiss Hungary,0,13.566,13.1,0,0,11.933,38.599
NR,Emilian Neagu Romania,13,0,11.4,13.233,0,0,37.633
NR,Rasuljon Abdurakhimov Uzbekistan,0,10.1,0,0,13,13.266,36.366
NR,Fabian de Luna Mexico,0,0,12.666,13.733,9.966,0,36.365
NR,Sergio Vargas Colombia,0,11.533,0,0,13.5,10.666,35.699
NR,Igor Radivilov Ukraine,0,0,13.966,14.833,0,0,28.799
NR,Minami Kazuki Japan,14.566,0,0,14.033,0,0,28.599
NR,Audrys Nin Reyes Dominican Republic,0,0,0,14.6,13.933,0,28.533
NR,Sebastian Sponevik Norway,0,0,0,14.466,13.3,0,27.766
NR,Mitchell Morgans Australia,0,0,0,0,13.9,13.8,27.7
NR,Alexander Myakinin Israel,0,13.2,0,0,0,13.7,26.9
NR,Dominick Cunningham Ireland,13.7,0,0,13.066,0,0,26.766
NR,Ahmed Elmaraghy Egypt,0,0,12.966,0,0,12.9,25.866
NR,Enkhtuvshin Damdindorj Mongolia,13.533,0,0,0,0,12.133,25.666
NR,Ricards Plate Latvia,0,0,0,0,12.7,12.7,25.4
NR,Ahmed Riadh Aliouat Algeria,0,0,0,0,12.9,12.3,25.2
NR,Rhys McClenaghan Ireland,0,14.933,0,0,0,0,14.933
NR,Ahmad Abu Al Soud Jordan,0,14.9,0,0,0,0,14.9
NR,Eleftherios Petrounias Greece,0,0,14.9,0,0,0,14.9
NR,Nikita Simonov Azerbaijan,0,0,14.666,0,0,0,14.666
NR,Shek Wai Hung Hong Kong,0,0,0,14.633,0,0,14.633
NR,Harutyun Merdinyan Armenia,0,14.6,0,0,0,0,14.6
