0,1,2,3,4,5,6,7,8
12,Igor Radivilov,——,——,13.966,14.833,——,——,245.461
12,Radomyr Stelmakh,13.233,13.800,——,——,13.500,10.933,245.461
12,Oleg Verniaiev,13.533,12.000,12.866,13.366,14.800,12.600,245.461
13,BRAZIL,41.666,38.332,39.499,43.133,41.066,41.599,245.295
13,Yuri Guimarães,14.100,——,13.133,14.400,——,——,245.295
13,Arthur Mariano,13.966,11.800,——,14.700,13.300,14.133,245.295
13,Bernardo Miranda,——,12.600,11.500,——,13.100,13.866,245.295
13,Patrick Sampaio,13.600,11.966,13.366,13.866,13.533,13.600,245.295
13,Diogo Soares,12.866,13.766,13.000,14.033,14.233,13.166,245.295
14,SOUTH KOREA,41.466,39.399,40.665,43.100,40.333,40.266,245.229
14,Kim Jaeho,13.633,13.433,——,14.700,12.000,13.400,245.229
14,Lee Junghyo,——,13.300,13.533,——,——,13.366,245.229
14,Lee Junho,13.633,12.666,13.566,14.300,14.000,13.500,245.229
14,Ryu Sunghyun,14.200,11.066,——,13.300,13.133,13.266,245.229
14,Seo Jungwon,13.566,——,13.566,14.100,13.200,——,245.229
15,BELGIUM,41.332,38.599,41.232,42.300,42.865,38.766,245.094
15,Glen Cuyle,13.733,——,14.133,13.500,——,12.500,245.094
15,Nicola Cuyle,——,13.366,13.833,13.000,14.166,——,245.094
15,Maxime Gentges,13.233,12.700,13.266,——,14.066,12.033,245.094
15,Noah Kuavita,13.666,12.533,——,14.400,14.333,13.033,245.094
15,Luka van den Keybus,13.933,12.066,12.800,14.400,14.366,13.233,245.094
16,ISRAEL,42.133,40.766,38.299,42.633,40.765,40.433,245.029
16,Artem Dolgopyat,15.100,13.500,12.833,14.400,13.866,13.300,245.029
16,Pavel Gulidov,13.400,——,11.966,14.200,12.966,——,245.029
16,Ilia Liubimov,13.633,13.900,12.466,14.033,13.933,13.433,245.029
16,Alexander Myakinin,——,13.200,——,——,——,13.700,245.029
16,Uri Zeidel,13.333,13.366,13.000,12.966,12.700,13.233,245.029
17,UZBEKISTAN,40.833,41.899,38.999,42.933,39.833,39.732,244.229
17,Rasuljon Abdurakhimov,——,10.100,——,——,13.000,13.266,244.229
17,Abdulla Azimov,13.700,14.333,12.366,13.833,12.533,13.100,244.229
17,Khabibullo Ergashev,13.233,13.966,13.100,14.000,13.133,13.233,244.229
17,Utkirbek Juraev,12.200,13.600,11.800,14.400,13.700,13.233,244.229
17,Abdulaziz Mirvaliev,13.900,——,13.533,14.533,——,——,244.229
18,KAZAKHSTAN,40.9666,40.399,38.698,42.366,40.732,39.900,243.061
18,Ilyas Azizov,11.833,12.433,12.000,13.400,11.500,12.900,243.061
18,Milad Karimi,14.500,12.200,13.166,14.566,14.200,14.600,243.061
18,Nariman Kurbanov,——,14.133,——,——,——,——,243.061
18,Dmitriy Patanin,13.900,——,13.366,14.400,13.166,12.400,243.061
18,Diyas Toishybek,12.566,13.833,12.166,13.166,13.366,9.900,243.061
19,FRANCE,41.999,37.399,39.533,42.599,41.566,39.266,242.362
19,Kevin Carvalho,——,12.366,12.766,14.100,14.000,11.300,242.362
19,Lucas Desanges,14.000,——,——,13.800,14.033,13.500,242.362
19,Benjamin Osberger,14.166,13.033,12.900,——,——,——,242.362
19,Léo Saladino,13.300,12.000,13.300,14.366,13.000,12.900,242.362
19,Jim Zona,13.833,9.166,13.333,14.133,13.533,12.866,242.362
20,HUNGARY,40.666,40.166,40.033,41.832,41.599,36.666,240.962
20,Krisztian Balazs,12.966,12.233,11.900,13.566,13.833,12.533,240.962
20,Balazs Kiss,——,13.566,13.100,——,——,11.933,240.962
20,Krisztofer Meszaros,14.200,13.500,13.700,14.133,14.200,12.200,240.962
20,Botond Molnar,12.900,——,——,13.733,13.566,——,240.962
20,Benedek Tomcsanyi,13.500,13.100,13.233,13.966,12.700,11.166,240.962
21,EGYPT,39.365,36.465,38.599,41.899,41.432,38.900,236.660
21,Ahmed Abdelrahman,12.566,12.266,——,14.133,11.766,12.800,236.660
21,Mohamed Afify,13.233,11.866,12.700,13.766,13.933,12.500,236.660
21,Ahmed Elmaraghy,——,——,12.966,——,——,12.900,236.660
21,Zaid Khater,11.533,11.100,12.733,12.966,13.833,——,236.660
21,Omar Mohamed,13.566,12.333,12.900,14.000,13.666,13.200,236.660
22,ROMANIA,39.933,37.132,37.933,41.799,40.266,38.198,235.261
22,Robert Burtanete,13.300,12.266,11.300,14.066,12.666,12.466,235.261
22,Toma Modoianu,——,11.800,13.033,——,12.500,12.766,235.261
22,Andrei Muntean,13.633,11.666,13.500,14.500,14.400,12.966,235.261
22,Emilian Neagu,13.000,——,11.400,13.233,——,——,235.261
22,Nicholas Tarca,12.800,13.066,——,12.866,13.200,11.900,235.261
23,COLOMBIA,39.266,34.165,36.532,42.266,40.499,35.365,228.093
23,Dilan Jimenez,12.700,——,12.100,14.266,13.966,10.666,228.093
23,Juan Larrahondo,13.200,——,11.233,14.200,——,——,228.093
23,Andres Martinez,13.366,12.066,12.566,13.800,12.966,12.366,228.093
23,Manuel Martinez,12.366,10.566,11.866,13.633,13.033,12.333,228.093
23,Sergio Vargas,——,11.533,——,——,13.500,10.666,228.093
24,AUSTRALIA,27.199,38.533,25.332,28.133,40.866,41.032,201.095
24,Tyson Bull,——,——,——,——,——,13.966,201.095
24,James Hardy,13.366,12.000,12.766,13.933,13.300,11.300,201.095
24,Clay Mason Stephens,13.833,12.133,12.566,14.200,13.666,13.266,201.095
24,Mitchell Morgans,——,——,——,——,13.900,13.800,201.095
24,Vedant Sawant,——,14.400,——,——,——,——,201.095
