Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
New York Mets,33,31.2,3.74,101,61,0.623,3.57,162,162,162,0,19,0,41,1438.2,1274,606,570,169,428,13,1565,71,2,35,5950,107,3.5,1.183,8,1.1,2.7,9.8,3.66,1041
New York Yankees,33,29.2,3.5,99,63,0.611,3.3,162,162,161,1,16,1,47,1451.2,1177,567,532,157,444,10,1459,65,5,40,5938,117,3.56,1.117,7.3,1,2.8,9,3.29,1047
Oakland Athletics,35,28,4.75,60,102,0.37,4.52,162,162,162,0,7,0,34,1426.1,1394,770,717,195,503,37,1203,72,5,62,6121,82,4.41,1.33,8.8,1.2,3.2,7.6,2.39,1087
Philadelphia Phillies,33,29.2,4.23,87,75,0.537,3.97,162,162,159,3,15,1,42,1428.1,1330,685,630,150,463,16,1423,68,3,47,6006,101,3.6,1.255,8.4,0.9,2.9,9,3.07,1052
Pittsburgh Pirates,36,27.3,5.04,62,100,0.383,4.66,162,162,162,0,6,0,33,1421,1432,817,735,164,586,23,1250,87,5,62,6263,88,4.27,1.42,9.1,1,3.7,7.9,2.13,1197
San Diego Padres,30,30.3,4.07,89,73,0.549,3.81,162,162,162,0,15,0,48,1443.1,1263,660,611,173,468,6,1451,88,5,54,6047,100,3.82,1.199,7.9,1.1,2.9,9,3.1,1076
Seattle Mariners,29,27.9,3.85,90,72,0.556,3.59,162,162,162,0,10,0,40,1447,1277,623,577,186,447,24,1391,56,0,45,5986,103,3.9,1.191,7.9,1.2,2.8,8.7,3.11,1047
San Francisco Giants,34,29.1,4.3,81,81,0.5,3.85,162,162,161,1,8,0,39,1433,1397,697,613,132,441,16,1370,52,2,53,6070,104,3.43,1.283,8.8,0.8,2.8,8.6,3.11,1090
St. Louis Cardinals,32,29.4,3.93,93,69,0.574,3.79,162,162,159,3,17,1,37,1435.2,1335,637,605,146,489,11,1177,60,3,43,6014,105,3.94,1.27,8.4,0.9,3.1,7.4,2.41,1088
Tampa Bay Rays,40,29.1,3.79,86,76,0.531,3.41,162,162,162,0,10,0,44,1435.2,1260,614,544,172,384,15,1384,66,4,54,5930,108,3.68,1.145,7.9,1.1,2.4,8.7,3.6,1038
Texas Rangers,31,28.3,4.59,68,94,0.42,4.22,162,162,161,1,10,1,37,1435,1345,743,673,169,581,16,1314,71,7,66,6167,94,4.17,1.342,8.4,1.1,3.6,8.2,2.26,1140
Toronto Blue Jays,33,29.7,4.19,92,70,0.568,3.87,162,162,162,0,10,0,46,1441.1,1356,679,620,180,424,15,1390,76,5,29,6053,98,3.85,1.235,8.5,1.1,2.6,8.7,3.28,1069
Washington Nationals,36,29.7,5.28,55,107,0.34,5,162,162,160,2,4,0,28,1411.2,1469,855,785,244,558,12,1220,75,2,59,6220,79,4.98,1.436,9.4,1.6,3.6,7.8,2.19,1143
League Average,29,28.8,4.28,81,81,0.5,3.96,162,162,161,1,11,1,41,1436,1322,694,632,174,495,16,1360,68,4,54,6068,101,3.97,1.266,8.3,1.1,3.1,8.5,2.75,1087
,871,28.8,4.28,2430,2430,0.5,3.96,4860,4860,4824,36,341,16,1232,43075.1,39675,20817,18962,5215,14853,475,40812,2046,122,1607,182052,101,3.97,1.266,8.3,1.1,3.1,8.5,2.75,32611
