Tm,W,L,ERA,G,IP,H,R,ER,HR,BB,SO,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,year
Seattle Mariners,89,73,4.13,162,1448.2,1396,711,664,195,400,1328,57,6073,4.05,1.24,8.7,1.2,2.5,8.3,2018
San Francisco Giants,73,89,3.95,162,1461.1,1387,699,641,156,524,1269,44,6191,3.98,1.308,8.5,1.0,3.2,7.8,2018
St. Louis Cardinals,88,74,3.85,162,1455.1,1354,691,622,144,593,1337,63,6271,3.97,1.338,8.4,0.9,3.7,8.3,2018
Tampa Bay Rays,90,72,3.74,162,1448.1,1236,646,602,164,501,1421,55,5992,3.82,1.199,7.7,1.0,3.1,8.8,2018
Texas Rangers,67,95,4.92,162,1431.0,1516,848,783,222,491,1121,57,6231,4.79,1.403,9.5,1.4,3.1,7.1,2018
Toronto Blue Jays,73,89,4.85,162,1433.2,1476,832,772,208,551,1298,71,6265,4.53,1.414,9.3,1.3,3.5,8.1,2018
Washington Nationals,82,80,4.04,162,1446.0,1320,682,649,198,487,1417,42,6087,4.15,1.25,8.2,1.2,3.0,8.8,2018
Arizona Diamondbacks,85,77,4.25,162,1465.0,1400,743,691,220,516,1427,49,6230,4.4,1.308,8.6,1.4,3.2,8.8,2019
Atlanta Braves,97,65,4.19,162,1450.2,1421,743,675,203,548,1393,70,6243,4.39,1.357,8.8,1.3,3.4,8.6,2019
Baltimore Orioles,54,108,5.59,162,1443.0,1544,981,897,305,561,1248,75,6396,5.56,1.459,9.6,1.9,3.5,7.8,2019
Boston Red Sox,84,78,4.7,162,1471.0,1423,828,768,215,605,1633,81,6400,4.28,1.379,8.7,1.3,3.7,10.0,2019
Chicago Cubs,84,78,4.1,162,1442.0,1376,717,657,195,534,1444,60,6190,4.25,1.325,8.6,1.2,3.3,9.0,2019
Chicago White Sox,72,89,4.9,161,1412.2,1438,832,769,238,582,1312,71,6159,4.89,1.43,9.2,1.5,3.7,8.4,2019
Cincinnati Reds,75,87,4.18,162,1438.0,1270,711,668,214,536,1552,35,6057,4.23,1.256,7.9,1.3,3.4,9.7,2019
Cleveland Indians,93,69,3.76,162,1437.2,1308,657,601,207,450,1508,42,6008,4.06,1.223,8.2,1.3,2.8,9.4,2019
Colorado Rockies,71,91,5.56,162,1448.2,1576,958,895,270,589,1264,63,6423,5.23,1.494,9.8,1.7,3.7,7.9,2019
Detroit Tigers,47,114,5.24,161,1433.0,1555,915,835,250,536,1368,66,6341,4.84,1.459,9.8,1.6,3.4,8.6,2019
Houston Astros,107,55,3.66,162,1462.1,1205,640,595,230,448,1671,41,5995,3.98,1.13,7.4,1.4,2.8,10.3,2019
Kansas City Royals,59,103,5.2,162,1425.0,1525,869,824,221,582,1230,59,6307,4.9,1.479,9.6,1.4,3.7,7.8,2019
Los Angeles Angels,72,90,5.12,162,1442.2,1417,868,820,267,576,1404,98,6289,5.04,1.381,8.8,1.7,3.6,8.8,2019
Los Angeles Dodgers,106,56,3.37,162,1445.2,1201,613,541,185,392,1519,40,5913,3.73,1.102,7.5,1.2,2.4,9.5,2019
Miami Marlins,57,105,4.74,162,1444.1,1340,808,760,236,615,1378,71,6247,4.89,1.354,8.3,1.5,3.8,8.6,2019
Milwaukee Brewers,89,73,4.4,162,1459.1,1364,766,713,225,570,1497,41,6251,4.46,1.325,8.4,1.4,3.5,9.2,2019
Minnesota Twins,101,61,4.18,162,1463.1,1456,754,680,198,452,1463,71,6246,4.02,1.304,9.0,1.2,2.8,9.0,2019
New York Mets,86,76,4.24,162,1461.0,1405,737,688,204,500,1520,47,6232,4.1,1.304,8.7,1.3,3.1,9.4,2019
New York Yankees,103,59,4.31,162,1443.0,1374,739,691,248,507,1534,55,6133,4.47,1.304,8.6,1.5,3.2,9.6,2019
Oakland Athletics,97,65,3.97,162,1465.0,1342,680,646,201,477,1299,74,6153,4.34,1.242,8.2,1.2,2.9,8.0,2019
Philadelphia Phillies,81,81,4.53,162,1453.2,1452,794,731,258,546,1392,45,6274,4.88,1.374,9.0,1.6,3.4,8.6,2019
Pittsburgh Pirates,69,93,5.18,162,1440.0,1511,911,829,241,584,1443,50,6391,4.78,1.455,9.4,1.5,3.7,9.0,2019
San Diego Padres,70,92,4.6,162,1432.0,1394,789,732,215,463,1475,60,6160,4.22,1.297,8.8,1.4,2.9,9.3,2019
Seattle Mariners,68,94,4.99,162,1439.1,1484,893,798,260,505,1239,75,6268,5.0,1.382,9.3,1.6,3.2,7.7,2019
San Francisco Giants,77,85,4.38,162,1469.0,1395,773,715,227,519,1368,53,6256,4.55,1.303,8.5,1.4,3.2,8.4,2019
St. Louis Cardinals,91,71,3.8,162,1444.0,1284,662,609,191,545,1399,46,6068,4.27,1.267,8.0,1.2,3.4,8.7,2019
Tampa Bay Rays,96,66,3.65,162,1474.1,1274,656,598,181,453,1621,59,6086,3.65,1.171,7.8,1.1,2.8,9.9,2019
Texas Rangers,78,84,5.06,162,1438.0,1515,878,808,241,583,1379,68,6354,4.84,1.459,9.5,1.5,3.6,8.6,2019
Toronto Blue Jays,67,95,4.79,162,1440.1,1450,828,767,228,604,1332,70,6313,4.82,1.426,9.1,1.4,3.8,8.3,2019
Washington Nationals,93,69,4.27,162,1439.1,1340,724,683,202,517,1511,53,6134,4.14,1.29,8.4,1.3,3.2,9.4,2019
Arizona Diamondbacks,52,110,5.11,162,1417.1,1480,893,804,232,555,1238,43,6270,4.88,1.436,9.4,1.5,3.5,7.9,2021
Atlanta Braves,88,73,3.88,161,1410.2,1237,656,608,183,516,1417,73,5944,4.09,1.243,7.9,1.2,3.3,9.0,2021
Baltimore Orioles,52,110,5.84,162,1402.0,1518,956,910,258,563,1234,88,6252,5.15,1.484,9.7,1.7,3.6,7.9,2021
Boston Red Sox,92,70,4.26,162,1419.0,1409,749,671,176,546,1527,63,6147,3.95,1.378,8.9,1.1,3.5,9.7,2021
Chicago Cubs,71,91,4.87,162,1412.2,1386,839,765,235,596,1358,60,6202,4.88,1.403,8.8,1.5,3.8,8.7,2021
Chicago White Sox,93,69,3.73,162,1403.1,1205,636,581,182,485,1588,84,5861,3.74,1.204,7.7,1.2,3.1,10.2,2021
Cincinnati Reds,83,79,4.4,162,1434.1,1330,760,702,206,617,1524,62,6199,4.34,1.357,8.3,1.3,3.9,9.6,2021
Cleveland Indians,80,82,4.34,162,1408.0,1281,727,679,216,522,1391,52,5968,4.43,1.281,8.2,1.4,3.3,8.9,2021
Colorado Rockies,74,87,4.82,161,1397.0,1397,796,748,196,539,1269,67,6044,4.47,1.386,9.0,1.3,3.5,8.2,2021
Detroit Tigers,77,85,4.32,162,1419.2,1370,756,681,199,571,1259,80,6164,4.6,1.367,8.7,1.3,3.6,8.0,2021
Houston Astros,95,67,3.78,162,1445.0,1231,658,607,187,549,1456,72,6060,4.12,1.232,7.7,1.2,3.4,9.1,2021
Kansas City Royals,74,88,4.64,162,1417.1,1375,788,731,189,591,1344,86,6127,4.39,1.387,8.7,1.2,3.8,8.5,2021
Los Angeles Angels,77,85,4.69,162,1421.2,1373,804,741,188,592,1453,56,6196,4.25,1.382,8.7,1.2,3.7,9.2,2021
Los Angeles Dodgers,106,56,3.01,162,1452.0,1107,561,486,161,486,1599,52,5948,3.54,1.097,6.9,1.0,3.0,9.9,2021
Miami Marlins,67,95,3.96,162,1415.0,1282,701,622,162,529,1381,58,6027,4.01,1.28,8.2,1.0,3.4,8.8,2021
Milwaukee Brewers,95,67,3.5,162,1436.0,1156,623,558,168,537,1618,60,5990,3.72,1.179,7.2,1.1,3.4,10.1,2021
Minnesota Twins,73,89,4.83,162,1419.1,1392,834,762,239,484,1317,48,6080,4.66,1.322,8.8,1.5,3.1,8.4,2021
New York Mets,77,85,3.9,162,1379.1,1221,668,597,190,475,1453,53,5785,4.03,1.23,8.0,1.2,3.1,9.5,2021
New York Yankees,92,70,3.74,162,1435.1,1243,669,596,196,492,1569,85,5999,3.9,1.209,7.8,1.2,3.1,9.8,2021
Oakland Athletics,86,76,4.02,162,1433.0,1362,687,640,191,439,1332,63,6060,4.1,1.257,8.6,1.2,2.8,8.4,2021
Philadelphia Phillies,82,80,4.39,162,1418.2,1321,745,692,200,509,1480,49,6055,4.15,1.29,8.4,1.3,3.2,9.4,2021
Pittsburgh Pirates,61,101,5.08,162,1396.1,1400,833,788,213,606,1312,55,6140,4.74,1.437,9.0,1.4,3.9,8.5,2021
San Diego Padres,79,83,4.1,162,1430.0,1277,708,651,205,516,1517,57,6056,4.18,1.254,8.0,1.3,3.2,9.5,2021
Seattle Mariners,90,72,4.3,162,1440.1,1356,748,688,197,485,1328,58,6106,4.26,1.278,8.5,1.2,3.0,8.3,2021
San Francisco Giants,107,55,3.24,162,1455.0,1254,594,524,151,416,1425,44,6002,3.55,1.148,7.8,0.9,2.6,8.8,2021
St. Louis Cardinals,90,72,3.98,162,1417.0,1234,672,626,152,608,1225,66,6046,4.3,1.3,7.8,1.0,3.9,7.8,2021
Tampa Bay Rays,100,62,3.67,162,1455.2,1264,651,593,184,436,1478,64,5998,3.79,1.168,7.8,1.1,2.7,9.1,2021
Texas Rangers,60,102,4.79,162,1424.1,1402,815,758,232,513,1239,67,6103,4.76,1.344,8.9,1.5,3.2,7.8,2021
Toronto Blue Jays,91,71,3.91,162,1405.1,1257,663,610,209,473,1468,54,5916,4.18,1.231,8.1,1.3,3.0,9.4,2021
Washington Nationals,65,97,4.8,162,1394.1,1364,820,743,247,548,1346,43,6073,4.87,1.371,8.8,1.6,3.5,8.7,2021
Arizona Diamondbacks,74,88,4.25,162,1430.0,1345,740,676,191,504,1216,51,6065,4.33,1.293,8.5,1.2,3.2,7.7,2022
Atlanta Braves,101,61,3.46,162,1448.0,1224,609,556,148,500,1554,55,6031,3.46,1.191,7.6,0.9,3.1,9.7,2022
Baltimore Orioles,83,79,3.97,162,1433.1,1406,688,632,171,443,1214,47,6058,4.03,1.29,8.8,1.1,2.8,7.6,2022
Boston Red Sox,78,84,4.53,162,1431.0,1411,787,721,185,526,1346,60,6167,4.17,1.354,8.9,1.2,3.3,8.5,2022
Chicago Cubs,74,88,4.0,162,1443.2,1342,731,642,207,540,1383,53,6162,4.33,1.304,8.4,1.3,3.4,8.6,2022
Chicago White Sox,81,81,3.92,162,1447.2,1330,717,631,166,533,1450,64,6145,3.81,1.287,8.3,1.0,3.3,9.0,2022
Cincinnati Reds,62,100,4.86,162,1423.1,1366,815,768,213,612,1414,58,6220,4.59,1.39,8.6,1.3,3.9,8.9,2022
Cleveland Guardians,92,70,3.46,162,1456.0,1252,634,560,172,435,1390,49,5989,3.75,1.159,7.7,1.1,2.7,8.6,2022
Colorado Rockies,68,94,5.06,162,1425.1,1516,873,802,184,539,1187,65,6240,4.38,1.442,9.6,1.2,3.4,7.5,2022
Detroit Tigers,66,96,4.04,162,1419.2,1336,713,637,167,511,1195,59,6047,4.16,1.301,8.5,1.1,3.2,7.6,2022
Houston Astros,106,56,2.9,162,1445.1,1121,518,465,134,458,1524,56,5856,3.28,1.092,7.0,0.8,2.9,9.5,2022
Kansas City Royals,65,97,4.7,162,1416.0,1493,810,740,173,589,1191,88,6249,4.42,1.47,9.5,1.1,3.7,7.6,2022
Los Angeles Angels,73,89,3.77,162,1435.2,1241,668,601,168,540,1383,64,6038,3.96,1.241,7.8,1.1,3.4,8.7,2022
Los Angeles Dodgers,111,51,2.8,162,1451.1,1114,513,451,152,407,1465,38,5865,3.45,1.048,6.9,0.9,2.5,9.1,2022
Miami Marlins,69,93,3.86,162,1437.1,1311,676,617,173,511,1437,54,6056,3.9,1.268,8.2,1.1,3.2,9.0,2022
Milwaukee Brewers,86,76,3.83,162,1446.0,1238,688,615,190,521,1530,47,6057,3.92,1.216,7.7,1.2,3.2,9.5,2022
Minnesota Twins,78,84,3.98,162,1437.0,1320,684,636,184,468,1336,50,6042,4.03,1.244,8.3,1.2,2.9,8.4,2022
New York Mets,101,61,3.57,162,1438.2,1274,606,570,169,428,1565,35,5950,3.5,1.183,8.0,1.1,2.7,9.8,2022
New York Yankees,99,63,3.3,162,1451.2,1177,567,532,157,444,1459,40,5938,3.56,1.117,7.3,1.0,2.8,9.0,2022
Oakland Athletics,60,102,4.52,162,1426.1,1394,770,717,195,503,1203,62,6121,4.41,1.33,8.8,1.2,3.2,7.6,2022
Philadelphia Phillies,87,75,3.97,162,1428.1,1330,685,630,150,463,1423,47,6006,3.6,1.255,8.4,0.9,2.9,9.0,2022
Pittsburgh Pirates,62,100,4.66,162,1421.0,1432,817,735,164,586,1250,62,6263,4.27,1.42,9.1,1.0,3.7,7.9,2022
San Diego Padres,89,73,3.81,162,1443.1,1263,660,611,173,468,1451,54,6047,3.82,1.199,7.9,1.1,2.9,9.0,2022
Seattle Mariners,90,72,3.59,162,1447.0,1277,623,577,186,447,1391,45,5986,3.9,1.191,7.9,1.2,2.8,8.7,2022
San Francisco Giants,81,81,3.85,162,1433.0,1397,697,613,132,441,1370,53,6070,3.43,1.283,8.8,0.8,2.8,8.6,2022
St. Louis Cardinals,93,69,3.79,162,1435.2,1335,637,605,146,489,1177,43,6014,3.94,1.27,8.4,0.9,3.1,7.4,2022
Tampa Bay Rays,86,76,3.41,162,1435.2,1260,614,544,172,384,1384,54,5930,3.68,1.145,7.9,1.1,2.4,8.7,2022
Texas Rangers,68,94,4.22,162,1435.0,1345,743,673,169,581,1314,66,6167,4.17,1.342,8.4,1.1,3.6,8.2,2022
Toronto Blue Jays,92,70,3.87,162,1441.1,1356,679,620,180,424,1390,29,6053,3.85,1.235,8.5,1.1,2.6,8.7,2022
Washington Nationals,55,107,5.0,162,1411.2,1469,855,785,244,558,1220,59,6220,4.98,1.436,9.4,1.6,3.6,7.8,2022
