Rank,Athlete,Nation,D,E,ND,Total
53,Camille Rasmussen,Denmark,4.2,7.666,,11.866
54,Anastasiya Smantsar,Belarus,4.7,7.166,,11.866
55,Anina Wildi,Switzerland,4.2,7.633,,11.833
56,Zoja Szekely,Hungary,5,6.833,,11.833
57,Margaux Daveloose,Belgium,5.2,6.633,,11.833
58,Ofir Netzer,Israel,4.8,6.966,,11.766
59,Emilia Kulczynska,Poland,4.3,7.425,,11.725
60,Francisca Cancela,Portugal,3.4,8.066,,11.466
61,Phoebe Jakubczyk,Great Britain,5.4,6.066,,11.466
62,Aneta Holasova,Czech Republic,4.3,7.066,,11.366
63,Göksu Üctas Sanli,Turkey,4.4,6.866,,11.266
64,Nazli Savranbasi,Turkey,5.4,5.833,,11.233
65,Christina Zwicker,Croatia,4.1,7.1,,11.2
66,Megan Ryan,Ireland,4,7.133,,11.133
67,Freja Petersen,Denmark,4,7.1,,11.1
68,Gudrun Hardardottir,Iceland,3.9,7.133,,11.033
69,Anastasiia Motak,Ukraine,5.2,5.8,,11
70,Nanna Gudmundsdottir,Iceland,3,7.966,,10.966
71,Mali Neurauter,Norway,3.5,7.466,,10.966
72,Marlies Männersdorfer,Austria,4.8,6.1,,10.9
73,Brygida Urbanska,Poland,3.5,7.133,,10.633
74,Marija Ribalcenko,Latvia,4.3,6.3,,10.6
75,Edel Fosse,Norway,4.3,6.2,,10.5
76,Magdalini Tsiori,Greece,5.9,4.533,,10.433
77,Lara Crnjac,Slovenia,4.2,6.2,,10.4
78,Juliane Tøssebro,Norway,3.9,6.466,,10.366
79,Astrid Breckmann,Denmark,3.9,6.266,,10.166
80,Elvira Katsali,Greece,3.6,6.433,,10.033
81,Margret Kristinsdottir,Iceland,3.3,6.666,,9.966
82,Hildur Gudmundsdottir,Iceland,2.5,7.366,,9.866
83,Bilge Tarhan,Turkey,4.5,5.35,,9.85
84,Agata Vostruchovaite,Lithuania,3.4,6.433,,9.833
85,Maria Ceplinschi,Romania,4.1,5.7,,9.8
86,Beatriz Cardoso,Portugal,4.2,5.566,,9.766
87,Rafaela Ferreira,Portugal,3.4,6.266,,9.666
88,Julie Søderstrøm,Norway,4.2,5.366,,9.566
89,Milana Minakovskaya,Azerbaijan,4.5,5,,9.5
90,Lola Schleich,Luxembourg,4.1,5.1,,9.2
91,Illy Ezra,Israel,4.4,4.733,,9.133
92,Anna Locmele,Latvia,2.2,6.733,,8.933
93,Chrysa Balami,Greece,3.6,5.433,-0.3,8.733
94,Arina Olenova,Latvia,2,6.708,,8.708
95,Cemre Kendirci,Turkey,4.1,4.6,,8.7
96,Sara Sulekic,Croatia,3.4,5.066,,8.466
