"TIME_PERIOD","GEO","INDICATOR","VALUE"
"2022","CH023","6",62.5
"2022","CH031","Total",41.1
"2022","CH031","1",29.2
"2022","CH031","2",41.0
"2022","CH031","3",39.3
"2022","CH031","4",38.4
"2022","CH031","5",46.0
"2022","CH031","6",60.1
"2022","CH032","Total",48.5
"2022","CH032","1",33.3
"2022","CH032","2",46.7
"2022","CH032","3",44.2
"2022","CH032","4",44.1
"2022","CH032","5",52.1
"2022","CH032","6",62.7
"2022","CH052","Total",51.3
"2022","CH052","1",32.1
"2022","CH052","2",46.8
"2022","CH052","3",48.1
"2022","CH052","4",46.4
"2022","CH052","5",54.3
"2022","CH052","6",63.8
"2022","CH053","Total",51.7
"2022","CH053","1",29.8
"2022","CH053","2",44.1
"2022","CH053","3",47.0
"2022","CH053","4",45.9
"2022","CH053","5",52.0
"2022","CH053","6",62.3
"2022","CH054","Total",51.9
"2022","CH054","1",27.3
"2022","CH054","2",43.9
"2022","CH054","3",45.8
"2022","CH054","4",48.5
"2022","CH054","5",53.2
"2022","CH054","6",55.6
"2022","CH055","Total",48.3
"2022","CH055","1",30.5
"2022","CH055","2",45.5
"2022","CH055","3",46.4
"2022","CH055","4",43.4
"2022","CH055","5",49.7
"2022","CH055","6",58.5
"2022","CH056","Total",47.9
"2022","CH056","1",24.2
"2022","CH056","2",40.9
"2022","CH056","3",45.8
"2022","CH056","4",45.3
"2022","CH056","5",51.5
"2022","CH056","6",61.0
"2022","CH033","Total",50.1
"2022","CH033","1",33.3
"2022","CH033","2",47.7
"2022","CH033","3",46.8
"2022","CH033","4",45.3
"2022","CH033","5",52.9
"2022","CH033","6",61.7
"2022","CH057","Total",52.0
"2022","CH057","1",32.4
"2022","CH057","2",47.5
"2022","CH057","3",48.8
"2022","CH057","4",46.5
"2022","CH057","5",54.4
"2022","CH057","6",62.0
"2022","CH070","Total",49.3
"2022","CH070","1",41.0
"2022","CH070","2",45.6
"2022","CH070","3",46.1
"2022","CH070","4",46.6
"2022","CH070","5",53.6
"2022","CH070","6",66.3
"2022","CH011","Total",43.3
"2022","CH011","1",26.2
"2022","CH011","2",39.1
"2022","CH011","3",37.8
"2022","CH011","4",40.0
"2022","CH011","5",49.8
"2022","CH011","6",64.0
"2022","CH012","Total",47.1
"2022","CH012","1",24.6
"2022","CH012","2",39.6
"2022","CH012","3",44.3
"2022","CH012","4",46.2
"2022","CH012","5",51.3
"2022","CH012","6",60.7
"2022","CH024","Total",45.9
"2022","CH024","1",33.1
"2022","CH024","2",42.8
"2022","CH024","3",43.4
"2022","CH024","4",42.2
"2022","CH024","5",49.4
"2022","CH024","6",60.9
"2022","CH013","Total",37.5
"2022","CH013","1",29.0
"2022","CH013","2",36.1
"2022","CH013","3",34.1
