Rank,Athlete,Nation,D,E,ND,Total
146,Patricio Razo,Mexico,4.4,7.333,,11.733
147,Frantisek Cerny,Czech Republic,4.7,7.033,,11.733
148,Akim Mussayev,Kazakhstan,4.4,7.3,,11.7
149,Federico Molinari,Argentina,4.6,7.1,,11.7
150,Ibrahim Colak,Turkey,4.9,6.8,,11.7
151,Park Min-soo,South Korea,5.4,6.3,,11.7
152,Konstantin Kuzovkov,Georgia,3.7,7.966,,11.666
153,Rafael Szabo,Romania,3.9,7.766,,11.666
154,Nikita Simonov,Azerbaijan,4.6,7.066,,11.666
155,Vigen Khachatryan,Armenia,4,7.633,,11.633
155,Tikumporn Surintornta,Thailand,4,7.633,,11.633
157,Rasuljon Abdurakhimov,Uzbekistan,4.3,7.333,,11.633
158,Simao Almeida,Portugal,4.4,7.2,,11.6
159,Devy Dyson,New Zealand,4.7,6.9,,11.6
160,Arian Leon,Peru,4,7.583,,11.583
161,Dmitrii Govorov,Georgia,3.9,7.666,,11.566
162,Carlos Edriel Yulo,Philippines,5.2,6.366,,11.566
163,Loo Phay Xing,Malaysia,4,7.533,,11.533
164,Fabio Sereinig,Austria,4.8,6.733,,11.533
165,Phan Ngoc Hung,Vietnam,3.9,7.6,,11.5
166,Khusniddin Abdusamatov,Uzbekistan,4.5,7,,11.5
167,Abdulla Azimov,Uzbekistan,4.3,7.166,,11.466
168,Caleb Faulk,Jamaica,4.5,6.966,,11.466
169,Stephen Lewis,Jamaica,3.9,7.55,,11.45
170,Lucas Bitencourt,Brazil,5.6,5.8,,11.4
171,Saleem Naghouj,Jordan,3.8,7.566,,11.366
172,Vitalii Arseniev,Georgia,4,7.366,,11.366
173,Andres Martinez,Colombia,4.7,6.666,,11.366
174,Murad Agharzayev,Azerbaijan,4.6,6.733,,11.333
175,Neofytos Kyriakou,Cyprus,3.2,8.1,,11.3
176,Svjatoslav Solovjev,Czech Republic,4,7.3,,11.3
177,Eythor Baldursson,Iceland,3.4,7.866,,11.266
178,Yasir Al Dulaimi,Iraq,4.2,6.966,,11.166
179,Ri Wi Chol,North Korea,4.7,6.466,,11.166
180,Yordan Aleksandrov,Bulgaria,4.6,6.5,,11.1
181,Jon Gunnarsson,Iceland,3.6,7.4,,11
182,Jamorn Prommanee,Thailand,3.7,7.3,,11
183,Joachim Winther,Denmark,4.6,6.4,,11
184,Michalis Krasias,Cyprus,4.4,6.533,,10.933
185,Milos Paunovic,Serbia,4.6,6.333,,10.933
186,Julian Jato,Argentina,3.9,6.766,,10.666
187,Wei An Terry Tay,Singapore,3.5,6.9,,10.4
188,Francisco Rojo,Mexico,4.5,5.9,,10.4
189,Erick Vargas,Colombia,4.9,5.5,,10.4
190,Timur Bairamov,Azerbaijan,4.2,6.166,,10.366
191,Fabian de Luna,Mexico,4.2,6.1,,10.3
192,Petrix Barbosa,Portugal,4.4,5.8,,10.2
193,Valgard Reinhardsson,Iceland,4.1,5.666,,9.766
194,Bobur Toshpulatov,Uzbekistan,4.6,5.166,,9.766
195,Artur Tovmasyan,Armenia,2.8,6.333,,9.133
196,Ahmed Mosa,Qatar,4.2,4.8,,9
197,Daniel Ponizil,Czech Republic,1.9,6.366,-4,4.266
