Rank,Athlete,Nation,D,E,ND,Total
100,Ethan Dick,New Zealand,5.1,8.033,,13.133
101,Luka van den Keybus,Belgium,5.4,7.733,,13.133
101,Phan Ngoc Hung,Vietnam,5.4,7.733,,13.133
103,Han Jong Hyok,North Korea,5.9,7.233,,13.133
104,Stian Skjerahaug,Norway,4.8,8.266,,13.066
105,Odin Kalvø,Norway,4.1,8.933,,13.033
106,Mustafa Arca,Turkey,4.7,8.333,,13.033
107,Georgios Chatziefstathiou,Greece,4.9,8.133,,13.033
108,Carlos Calvo,Colombia,5.3,7.733,,13.033
109,Antonios Tantalidis,Greece,4.1,8.9,,13
110,Sofus Heggemsnes,Norway,4.4,8.6,,13
111,Mitchell Morgans,Australia,5.2,7.8,,13
111,Vitalii Arseniev,Georgia,5.2,7.8,,13
113,Francisco Rojo,Mexico,5.1,7.866,,12.966
114,Clay Mason Stephens,Australia,5.7,7.266,,12.966
115,Kyleab Ellis,New Zealand,4.3,8.633,,12.933
116,Harald Wibye,Norway,4.5,8.433,,12.933
117,Julian Jato,Argentina,5,7.933,,12.933
118,Shiao Yu-Jan,Chinese Taipei,4.7,8.2,,12.9
119,Nikita Simonov,Azerbaijan,4.9,8,,12.9
120,Rafael Szabo,Romania,5.1,7.8,,12.9
121,Akash Modi,United States,5.6,7.6,-0.3,12.9
122,Tyson Bull,Australia,5.1,7.766,,12.866
123,Matthias Schwab,Austria,4.2,8.633,,12.833
124,Raman Antropau,Belarus,5.1,7.733,,12.833
125,Ibrahim Colak,Turkey,5.7,7.133,,12.833
126,Neofytos Kyriakou,Cyprus,3.7,9.1,,12.8
127,Milos Paunovic,Serbia,4.7,8.1,,12.8
128,Petar Vefic,Serbia,4.8,8,,12.8
129,Oliver Hegi,Switzerland,5.8,7,,12.8
130,Vigen Khachatryan,Armenia,4,8.766,,12.766
131,Franz Card,Finland,4.5,8.233,,12.733
132,Reiss Beckford,Jamaica,5.4,7.333,,12.733
133,Ilyas Azizov,Kazakhstan,4.4,8.3,,12.7
134,Loo Phay Xing,Malaysia,4.6,8.1,,12.7
135,Daniel Aguero,Peru,5.4,7.3,,12.7
136,Devy Dyson,New Zealand,4.8,7.866,,12.666
137,Julien Gobaux,France,5.4,7.233,,12.633
138,Lee Chih-Kai,Chinese Taipei,5.6,7,,12.6
139,Ri Wi Chol,North Korea,5.9,6.7,,12.6
140,Ioane Jimsheleishvili,Georgia,4.6,7.966,,12.566
141,Marios Georgiou,Cyprus,5.3,7.266,,12.566
142,Yerbol Jantykov,Kazakhstan,5.2,7.333,,12.533
143,Daniel Villafane,Argentina,4.9,7.533,,12.433
144,William Broman,Sweden,3.7,8.7,,12.4
145,Scott Costin,Australia,4.4,7.966,,12.366
146,Timur Bairamov,Azerbaijan,4.7,7.641,,12.341
147,Daniel Ponizil,Czech Republic,4.4,7.933,,12.333
148,Patricio Razo,Mexico,4.7,7.633,,12.333
149,Ahmed Al Dyani,Qatar,5.4,6.933,,12.333
150,Federico Molinari,Argentina,4.6,7.7,,12.3
151,Svjatoslav Solovjev,Czech Republic,3.5,8.7,,12.2
152,Murad Agharzayev,Azerbaijan,4.3,7.9,,12.2
152,Stephen Lewis,Jamaica,4.3,7.9,,12.2
154,Han Chung Hyo,North Korea,4.7,7.5,,12.2
155,Antoine Borello,France,4.9,7.3,,12.2
156,Kim Vanström,Sweden,3.8,8.366,,12.166
157,Konstantin Kuzovkov,Georgia,4.7,7.466,,12.166
158,Fabio Sereinig,Austria,4.8,7.333,,12.133
159,Khusniddin Abdusamatov,Uzbekistan,4.5,7.6,,12.1
160,Botond Kardos,Hungary,4.8,7.266,,12.066
161,David Rumbutis,Sweden,4.7,7.333,,12.033
162,Wei An Terry Tay,Singapore,4.4,7.6,,12
163,Frantisek Cerny,Czech Republic,4.2,7.733,,11.933
164,Bernardo Almeida,Portugal,4.4,7.533,,11.933
165,Bojan Dejanovic,Serbia,4.4,7.5,,11.9
166,Karl Idesjö,Sweden,5,6.9,,11.9
167,Vinzenz Höck,Austria,4.2,7.666,,11.866
168,Saba Abesadze,Georgia,4.7,7.166,,11.866
169,Nikola Jurkovic,Serbia,5,6.8,,11.8
170,Saleem Naghouj,Jordan,4.1,7.633,,11.733
171,Robert Seligman,Croatia,2.3,9.333,,11.633
172,Slavomir Michnak,Slovakia,4.1,7.533,,11.633
173,Artur Tovmasyan,Armenia,2.9,8.708,,11.608
174,Israel Chiriboga,Ecuador,4.5,7.266,-0.3,11.466
175,Abdulla Azimov,Uzbekistan,4.4,7.066,,11.466
176,Bobur Toshpulatov,Uzbekistan,4,7.433,,11.433
177,Michalis Krasias,Cyprus,4.4,7,,11.4
178,Hsu Ping-Chien,Chinese Taipei,5.4,6,,11.4
179,Le Thanh Tunh,Vietnam,5.4,5.966,,11.366
180,Elias Koski,Finland,4.3,6.833,,11.133
181,Caleb Faulk,Jamaica,3.6,7.466,,11.066
182,Didier Lugo,Colombia,4.9,6.166,,11.066
183,Tin Srbic,Croatia,2.8,8.1,,10.9
184,Ahmed Mosa,Qatar,3.8,7,,10.8
185,Valgard Reinhardsson,Iceland,4.4,6.233,,10.633
186,Yasir Al Dulaimi,Iraq,4.1,6.933,-0.6,10.433
187,Yordan Aleksandrov,Bulgaria,4.4,5.233,,9.633
188,Eythor Baldursson,Iceland,3.3,5.266,,8.566
189,Leonardo Kusan,Croatia,2.2,8.833,-4,7.033
