Rank,Athlete,Nation,D,E,ND,Total
169,Luka van den Keybus,Belgium,5.4,6.566,,11.966
170,Bojan Dejanovic,Serbia,4.9,7,,11.9
171,Neofytos Kyriakou,Cyprus,4.7,7.1,,11.8
172,Franz Card,Finland,4.1,7.666,,11.766
173,Vitalii Arseniev,Georgia,4,7.741,,11.741
174,Ilias Georgiou,Cyprus,4.8,7.2,-0.3,11.7
175,Lukas Kranzlmüller,Austria,4.2,7.466,,11.666
176,Phan Ngoc Hung,Vietnam,4.1,7.633,-0.1,11.633
177,Frantisek Cerny,Czech Republic,5.3,6.4,-0.1,11.6
178,Jorge Vega,Guatemala,5.9,5.666,,11.566
179,Robert Tvorogal,Lithuania,4.9,6.633,,11.533
180,Azeez Al-Delfi,Iraq,4.4,7.1,,11.5
181,Tin Srbic,Croatia,3.5,8.266,-0.3,11.466
182,Arian Leon,Peru,3.9,7.566,,11.466
183,Lee Hyeok-jung,South Korea,5.3,6.166,,11.466
184,Vladyslav Hryko,Ukraine,5.4,6.066,,11.466
185,Bernardo Almeida,Portugal,4.8,6.933,-0.3,11.433
186,Fabio Sereinig,Austria,4.6,6.833,,11.433
187,Manrique Larduet,Cuba,4.9,6.9,-0.4,11.4
188,Ri Wi Chol,North Korea,5.3,6.333,-0.3,11.333
189,Nick Klessing,Germany,5.5,5.9,-0.1,11.3
190,Eythor Baldursson,Iceland,4.9,6.366,,11.266
191,Jamorn Prommanee,Thailand,4.5,6.533,,11.033
192,Ioane Jimsheleishvili,Georgia,4.7,6.566,-0.3,10.966
193,Anton Kovacevic,Croatia,2.7,8.5,-0.3,10.9
194,Ahmed Al Dyani,Qatar,4.8,6.4,-0.4,10.8
195,Murad Agharzayev,Azerbaijan,5.3,5.666,-0.4,10.566
196,Ahmed Mosa,Qatar,4.3,6.2,,10.5
197,Timur Bairamov,Azerbaijan,3.9,6.533,,10.433
198,Han Chung Hyo,North Korea,2.7,6.566,,9.266
199,Wei An Terry Tay,Singapore,4.1,5.166,-0.2,9.066
200,Abdullah Al-Dulaimi,Iraq,3.6,4.033,-0.2,7.433
