Rank,Athlete,Nation,VT,UB,BB,FX,AA
–,Amalia Ghigoarta,Romania,0,12.6,12.433,0,25.033
–,Darya Yassinskaya,Kazakhstan,12.766,0,0,12.166,24.932
–,Eom Dohyun,South Korea,0,13.133,11.733,0,24.866
–,Yelizaveta Hubareva,Ukraine,0,12.9,11.966,0,24.866
–,Nikolett Szilagyi,Hungary,0,0,12.4,12.066,24.466
–,Rose Woo,Canada,0,12.166,12.2,0,24.366
–,Brisa Carraro,Argentina,0,12.5,0,11.433,23.933
–,Leila Martinez,Argentina,12.4,0,11.5,0,23.9
–,Klara Peterkova,Czechia,12.5,11.233,0,0,23.733
–,Franchesca Santi,Chile,12.4,11.1,0,0,23.5
–,Julie Erichsen,Norway,11.333,12.166,0,0,23.499
–,Carina Kröll,Austria,0,11.733,11.4,0,23.133
–,Lucie Trnkova,Czechia,0,0,11.2,11.6,22.8
–,Paulina Campos,Mexico,0,11.633,11.133,0,22.766
–,Mariana Parente,Portugal,0,0,10.666,11.766,22.432
–,Marie Rønbeck,Norway,0,0,10.533,10.933,21.466
–,Huang Zhuofan,China,0,14.533,0,0,14.533
–,Ashikawa Urara,Japan,0,0,14,0,14
–,Sanne Wevers,Netherlands,0,0,13.733,0,13.733
–,Sara Pinilla,Spain,12.8,0,0,0,12.8
–,Bilge Tarhan,Türkiye,12.666,0,0,0,12.666
–,Katrina Jurevica,Latvia,12.666,0,0,0,12.666
–,Gulnaz Jumabekova,Uzbekistan,12.6,0,0,0,12.6
–,Magdalini Tsiori,Greece,0,12.6,0,0,12.6
–,Amina Khalimarden,Kazakhstan,12.4,0,0,0,12.4
–,Tina Zelcic,Croatia,0,0,12.4,0,12.4
–,Lorrane Oliveira,Brazil,0,12.033,0,0,12.033
–,Alva Eriksson,Sweden,0,12.033,0,0,12.033
–,Marta Pihan-Kulesza,Poland,0,0,11.966,0,11.966
–,Angel Wong Hiu Ying,Hong Kong,0,0,11.8,0,11.8
–,Jana Mahmoud,Egypt,0,11.533,0,0,11.533
–,Malla Montell,Finland,0,11.5,0,0,11.5
–,Elvira Katsali,Greece,0,0,0,11.166,11.166
–,Shanté Koti,South Africa,0,0,11.133,0,11.133
–,Zarith Imaan Khalid,Malaysia,0,10.933,0,0,10.933
–,Samira Gahramanova,Azerbaijan,0,0,0,10.8,10.8
–,Ameera Hariadi,Indonesia,0,10.533,0,0,10.533
–,Derin Tanriyasükür,Türkiye,0,10.466,0,0,10.466
–,Tran Doan Quynh Nam,Vietnam,0,0,0,9.733,9.733
