Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA,round,year
—,francisco barretto,BRA,——,13.733,12.933,——,13.6,12.433,52.699,qual,2019.0
—,michel bletterman,NED,13.233,12.866,12.5,13.766,——,——,52.365,qual,2019.0
—,vladyslav hryko,UKR,13.633,13.166,——,——,13.8,11.133,51.732,qual,2019.0
—,yahor sharamkou,BLR,12.433,12.433,11.666,14.166,——,——,50.698,qual,2019.0
—,vlad cotuna,ROU,——,10.533,13,——,13.633,13.466,50.632,qual,2019.0
—,tikumporn surintornta,THA,13.466,——,11.766,12.866,——,12,50.098,qual,2019.0
—,jackson payne,CAN,——,10.633,12.766,——,14.266,12.4,50.065,qual,2019.0
—,mustafa arca,TUR,12.266,11.666,——,13.866,——,11.433,49.231,qual,2019.0
156,sabah al subaiei,KUW,11.233,6,3.516,11.766,4.9,9.1,46.515,qual,2019.0
—,zou jingyuan,CHN,——,14.958,14.3,——,14.633,——,43.891,qual,2019.0
—,lin chaopan,CHN,14.933,——,——,14.1,——,14.433,43.466,qual,2019.0
—,dominick cunningham,none,14.6,——,13.833,14.766,——,——,43.199,qual,2019.0
—,yang hak-seon,SKR,13.733,——,13.8,15.3,——,——,42.833,qual,2019.0
—,max whitlock,none,——,15.266,——,——,14,13.533,42.799,qual,2019.0
—,arthur zanetti,BRA,13.7,——,14.7,13.966,——,——,42.366,qual,2019.0
—,david belyavskiy,RUS,——,14.633,——,——,13.533,14.066,42.232,qual,2019.0
—,william emard,CAN,14.233,——,13.8,14.066,——,——,42.099,qual,2019.0
—,benjamin gischard,SUI,14.033,13.633,——,14.333,——,——,41.999,qual,2019.0
—,nick klessing,none,14.066,——,14.566,13.1,——,——,41.732,qual,2019.0
—,ibrahim colak,TUR,——,——,14.858,——,13.533,13.2,41.591,qual,2019.0
—,shiao yu-jan,none,13.333,14.683,——,13.441,——,——,41.457,qual,2019.0
—,wataru tanigawa,JPN,——,13.333,13.966,——,13.9,——,41.199,qual,2019.0
—,cyril tommasone,FRA,——,14.666,——,——,13.7,12.733,41.099,qual,2019.0
—,lukas dauser,none,——,12.266,——,——,15.033,13.7,40.999,qual,2019.0
—,yu chao wei,none,——,——,13.833,——,13.733,12.933,40.499,qual,2019.0
—,nicola bartolini,ITA,14.1,11.4,——,14.7,——,——,40.2,qual,2019.0
—,carlo macchini,ITA,——,13.1,——,——,12.766,14.2,40.066,qual,2019.0
—,david vecsernyes,HUN,——,13.433,——,——,12.8,13.7,39.933,qual,2019.0
—,james bacueti,AUS,13.3,11.833,——,14.666,——,——,39.799,qual,2019.0
—,daan kenis,BEL,13.433,——,——,14.166,——,12,39.599,qual,2019.0
—,samir aït saïd,FRA,11.366,——,14.7,13.5,——,——,39.566,qual,2019.0
—,thierno diallo,ESP,13.166,12.866,——,——,13.5,——,39.532,qual,2019.0
—,ahmed anis maoudj,ALG,13.4,——,11.633,14.3,——,——,39.333,qual,2019.0
—,maxime gentges,BEL,——,12.066,13.2,——,13.533,——,38.799,qual,2019.0
—,theodor gadderud,NOR,13.6,12.033,13.1,——,——,——,38.733,qual,2019.0
—,aleh tsiaselski,BLR,——,12.066,——,——,13,13.033,38.099,qual,2019.0
—,soma laszlo csorvasi,HUN,12.433,——,12.366,13,——,——,37.799,qual,2019.0
—,odin kalvø,NOR,——,——,——,13.933,11.566,12.233,37.732,qual,2019.0
—,kim vanström,SWE,13.4,11.366,——,——,——,12.233,36.999,qual,2019.0
—,uche eke,NGR,——,12.266,——,——,12.433,11.666,36.365,qual,2019.0
—,mohamed aziz trabelsi,TUN,11.1,——,——,13.466,——,9.966,34.532,qual,2019.0
—,nahel clement bouanane,MAR,9,4.533,——,11.8,——,7.633,32.966,qual,2019.0
—,igor radivilov,UKR,——,——,14.533,14.833,——,——,29.366,qual,2019.0
—,denis abliazin,RUS,——,——,14.6,14.366,——,——,28.966,qual,2019.0
—,marian dragulescu,ROU,14.066,——,——,14.616,——,——,28.682,qual,2019.0
—,trevor howard,USA,——,——,14.033,13.933,——,——,27.966,qual,2019.0
—,tyson bull,AUS,——,——,——,——,13.5,14.366,27.866,qual,2019.0
—,mohamed abdeldjalil bourguieg,ALG,12.9,——,——,14.3,——,——,27.2,qual,2019.0
—,randy leru,CUB,13.833,——,——,——,——,13.366,27.199,qual,2019.0
—,jim man hin,HKG,——,——,——,14.1,——,12.466,26.566,qual,2019.0
—,jorge vega,GUA,11.6,——,——,14.866,——,——,26.466,qual,2019.0
—,epke zonderland,NED,——,——,——,——,14.333,11.766,26.099,qual,2019.0
—,ri se gwang,none,——,12.033,——,13.833,——,——,25.866,qual,2019.0
—,michael reid,JAM,——,13.1,——,——,12.633,——,25.733,qual,2019.0
—,andrey medvedev,ISR,9.433,——,——,14.066,——,——,23.499,qual,2019.0
—,prosper okosun,NGR,9.433,0.166,——,12.333,——,——,21.932,qual,2019.0
—,caleb faulk,JAM,——,10,11.875,——,——,——,21.875,qual,2019.0
—,juan abad godoy,ECU,——,9.633,9.6,——,——,——,19.233,qual,2019.0
—,rhys mcclenaghan,IRL,——,15.2,——,——,——,——,15.2,qual,2019.0
—,shek wai hung,HKG,——,——,——,14.966,——,——,14.966,qual,2019.0
—,tin srbic,CRO,——,——,——,——,——,14.833,14.833,qual,2019.0
—,eleftherios petrounias,GRE,——,——,14.7,——,——,——,14.7,qual,2019.0
—,artur tovmasyan,ARM,——,——,14.566,——,——,——,14.566,qual,2019.0
—,federico molinari,ARG,——,——,14.5,——,——,——,14.5,qual,2019.0
—,mahdi ahmad kohani,IRI,——,——,14.433,——,——,——,14.433,qual,2019.0
—,ali zahran,EGY,——,——,14.4,——,——,——,14.4,qual,2019.0
—,nariman kurbanov,KAZ,——,14.3,——,——,——,——,14.3,qual,2019.0
—,emil soravuo,FIN,14.166,——,——,——,——,——,14.166,qual,2019.0
—,agus prayoko,INA,——,——,——,14.166,——,——,14.166,qual,2019.0
—,harutyun merdinyan,ARM,——,14.133,——,——,——,——,14.133,qual,2019.0
—,konstantinos konstantinidis,GRE,——,——,14.133,——,——,——,14.133,qual,2019.0
—,ng kiu chung,HKG,——,——,14.133,——,——,——,14.133,qual,2019.0
—,nikita simonov,AZE,——,——,13.866,——,——,——,13.866,qual,2019.0
—,tom nicolaou,CYP,——,——,——,13.8,——,——,13.8,qual,2019.0
—,rok klavora,SLO,13.8,——,——,——,——,——,13.8,qual,2019.0
—,majdi al hmood,JOR,13.6,——,——,——,——,——,13.6,qual,2019.0
—,christian riisberg,DEN,13.233,——,——,——,——,——,13.233,qual,2019.0
—,luka terbovsek,SLO,13.233,——,——,——,——,——,13.233,qual,2019.0
—,mauro nemcanin,CRO,——,12.866,——,——,——,——,12.866,qual,2019.0
—,jacob buus,DEN,——,——,——,——,——,12.833,12.833,qual,2019.0
—,joao fuglsig,DEN,——,——,——,12.766,——,——,12.766,qual,2019.0
—,saso bertoncelj,SLO,——,12.033,——,——,——,——,12.033,qual,2019.0
—,saeedreza keikha,IRI,——,11.883,——,——,——,——,11.883,qual,2019.0
—,robert seligman,CRO,——,11.333,——,——,——,——,11.333,qual,2019.0
—,yazan al souliman,SYR,11,——,——,——,——,——,11.0,qual,2019.0
—,ahmad abu al soud,JOR,——,10.5,——,——,——,——,10.5,qual,2019.0
