Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
134,5.4,7.4,0.0,12.8,2019,0,26,9,False,True
135,4.4,8.366,0.0,12.766,2019,0,166,6,False,True
136,4.7,8.066,0.0,12.766,2019,0,130,29,False,True
137,4.8,7.966,0.0,12.766,2019,0,40,34,False,True
138,4.8,7.9,0.0,12.7,2019,0,34,54,False,True
139,5.8,6.858,0.0,12.658,2019,0,186,54,False,True
140,4.4,8.233,0.0,12.633,2019,0,28,3,False,True
141,5.1,7.533,0.0,12.633,2019,0,12,5,False,True
142,5.2,7.433,0.0,12.633,2019,0,69,44,False,True
143,5.6,7.033,0.0,12.633,2019,0,160,35,False,True
144,4.6,8.0,0.0,12.6,2019,0,214,62,False,True
145,4.5,8.033,0.0,12.533,2019,0,59,50,False,True
146,5.0,7.5,0.0,12.5,2019,0,19,55,False,True
147,4.8,7.633,0.0,12.433,2019,0,232,48,False,True
148,5.4,6.966,0.0,12.366,2019,0,7,56,False,True
149,5.2,7.133,0.0,12.333,2019,0,195,73,False,True
150,4.6,7.7,0.0,12.3,2019,0,161,4,False,True
150,4.6,7.7,0.0,12.3,2019,0,87,73,False,True
152,4.9,7.366,0.0,12.266,2019,0,0,70,False,True
153,4.7,7.533,0.0,12.233,2019,0,120,73,False,True
154,4.3,7.9,0.0,12.2,2019,0,235,5,False,True
155,4.5,7.7,0.0,12.2,2019,0,129,26,False,True
156,4.8,7.4,0.0,12.2,2019,0,189,49,False,True
157,5.0,7.2,0.0,12.2,2019,0,114,55,False,True
158,3.7,8.466,0.0,12.166,2019,0,152,32,False,True
159,4.3,7.866,0.0,12.166,2019,0,223,15,False,True
160,4.7,7.466,0.0,12.166,2019,0,35,26,False,True
161,4.9,7.233,0.0,12.133,2019,0,51,2,False,True
162,4.4,7.7,0.0,12.1,2019,0,95,26,False,True
163,4.4,7.666,0.0,12.066,2019,0,115,65,False,True
164,4.6,7.433,0.0,12.033,2019,0,236,40,False,True
165,5.2,6.833,0.0,12.033,2019,0,193,35,False,True
166,3.4,8.566,0.0,11.966,2019,0,20,15,False,True
167,4.0,7.966,0.0,11.966,2019,0,70,22,False,True
168,4.1,7.833,0.0,11.933,2019,0,123,46,False,True
168,4.1,7.833,0.0,11.933,2019,0,24,51,False,True
170,4.5,7.366,0.0,11.866,2019,0,205,36,False,True
171,4.3,7.5,0.0,11.8,2019,0,36,60,False,True
172,4.7,7.066,0.0,11.766,2019,0,245,30,False,True
173,4.7,7.0,0.0,11.7,2019,0,66,45,False,True
174,4.9,6.733,0.0,11.633,2019,0,145,53,False,True
175,4.4,7.2,0.0,11.6,2019,0,233,32,False,True
176,4.3,7.266,0.0,11.566,2019,0,177,49,False,True
177,4.6,6.866,0.0,11.466,2019,0,250,66,False,True
178,4.1,7.266,0.0,11.366,2019,0,197,40,False,True
179,4.6,6.566,0.0,11.166,2019,0,234,68,False,True
180,4.9,6.0,0.0,10.9,2019,0,1,28,False,True
181,4.4,6.466,0.0,10.866,2019,0,192,57,False,True
182,4.4,6.366,0.0,10.766,2019,0,238,60,False,True
183,3.1,7.533,0.0,10.633,2019,0,80,68,False,True
184,3.6,7.033,0.0,10.633,2019,0,124,70,False,True
185,4.3,6.266,0.0,10.566,2019,0,77,18,False,True
186,2.5,7.666,0.0,10.166,2019,0,158,39,False,True
187,4.1,5.933,0.0,10.033,2019,0,185,60,False,True
188,5.2,5.133,-0.3,10.033,2019,0,147,14,False,True
189,4.6,4.966,0.0,9.566,2019,0,243,38,False,True
190,3.0,6.266,0.0,9.266,2019,0,167,42,False,True
191,1.7,7.2,-4.0,4.9,2019,0,204,39,False,True
192,1.7,6.433,-4.0,4.133,2019,0,14,39,False,True
1,6.8,8.266,0.0,15.066,2019,0,247,13,True,False
2,6.2,8.433,0.0,14.633,2019,0,8,66,True,False
3,6.5,7.866,0.0,14.366,2019,1,73,66,True,False
4,6.0,8.2,0.0,14.2,2019,0,164,4,True,False
5,5.9,8.166,0.0,14.066,2019,0,85,37,True,False
6,5.9,7.033,0.0,12.933,2019,0,162,50,True,False
7,5.6,6.666,0.0,12.266,2019,0,10,38,True,False
8,5.1,6.366,0.0,11.466,2019,0,230,37,True,False
1,6.2,8.266,0.0,14.466,2019,0,8,66,False,True
2,5.7,8.666,0.0,14.366,2019,0,85,37,False,True
3,6.5,7.8,0.0,14.3,2019,0,247,13,False,True
4,6.5,7.733,0.0,14.233,2019,1,73,66,False,True
5,6.0,7.966,0.0,13.966,2019,0,164,4,False,True
6,5.9,8.033,0.0,13.933,2019,0,162,50,False,True
7,5.9,7.891,0.0,13.791,2019,0,10,38,False,True
8,5.6,7.966,0.0,13.566,2019,0,230,37,False,True
9,5.4,7.966,0.0,13.366,2019,0,231,4,False,True
