Rank,Athlete,Nation,D,E,ND,Total,year,round
2,marco lodadio,ITA,6.3,8.6,0.0,14.9,2019.0,final
3,samir aït saïd,FRA,6.2,8.6,0.0,14.8,2019.0,final
4,eleftherios petrounias,GRE,6.3,8.433,0.0,14.733,2019.0,final
5,arthur zanetti,BRA,6.2,8.525,0.0,14.725,2019.0,final
6,denis abliazin,RUS,6.3,8.366,0.0,14.666,2019.0,final
7,artur tovmasyan,ARM,6.1,8.1,0.0,14.2,2019.0,final
8,nick klessing,none,6.1,8.066,0.0,14.166,2019.0,final
1,ibrahim colak,TUR,6.2,8.658,0.0,14.858,2019.0,qual
2,arthur zanetti,BRA,6.1,8.6,0.0,14.7,2019.0,qual
3,samir aït saïd,FRA,6.2,8.5,0.0,14.7,2019.0,qual
4,eleftherios petrounias,GRE,6.3,8.4,0.0,14.7,2019.0,qual
5,marco lodadio,ITA,6.3,8.366,0.0,14.666,2019.0,qual
6,denis abliazin,RUS,6.1,8.5,0.0,14.6,2019.0,qual
7,nick klessing,none,6.0,8.566,0.0,14.566,2019.0,qual
8,artur tovmasyan,ARM,6.1,8.466,0.0,14.566,2019.0,qual
9,igor radivilov,UKR,6.3,8.233,0.0,14.533,2019.0,qual
10,federico molinari,ARG,6.2,8.3,0.0,14.5,2019.0,qual
11,mahdi ahmad kohani,IRI,6.2,8.233,0.0,14.433,2019.0,qual
12,nikita nagornyy,RUS,6.0,8.4,0.0,14.4,2019.0,qual
13,ali zahran,EGY,6.2,8.2,0.0,14.4,2019.0,qual
14,andrei muntean,ROU,5.9,8.433,0.0,14.333,2019.0,qual
15,zou jingyuan,CHN,5.8,8.5,0.0,14.3,2019.0,qual
16,vinzenz höck,AUT,6.2,8.1,0.0,14.3,2019.0,qual
17,yuya kamoto,JPN,6.2,8.083,0.0,14.283,2019.0,qual
18,konstantinos konstantinidis,GRE,6.0,8.133,0.0,14.133,2019.0,qual
18,artur dalaloyan,RUS,6.0,8.133,0.0,14.133,2019.0,qual
20,ng kiu chung,HKG,6.2,7.933,0.0,14.133,2019.0,qual
21,deng shudi,CHN,6.2,7.9,0.0,14.1,2019.0,qual
22,fabian de luna,MEX,6.0,8.066,0.0,14.066,2019.0,qual
22,caio souza,BRA,6.0,8.066,0.0,14.066,2019.0,qual
24,kazuma kaya,JPN,6.1,7.933,0.0,14.033,2019.0,qual
24,trevor howard,USA,6.1,7.933,0.0,14.033,2019.0,qual
26,andreas toba,none,5.8,8.2,0.0,14.0,2019.0,qual
27,sun wei,CHN,5.9,8.1,0.0,14.0,2019.0,qual
28,wataru tanigawa,JPN,6.0,7.966,0.0,13.966,2019.0,qual
29,oleg verniaiev,UKR,5.7,8.233,0.0,13.933,2019.0,qual
30,ahmet önder,TUR,6.0,7.933,0.0,13.933,2019.0,qual
31,nikita simonov,AZE,5.8,8.066,0.0,13.866,2019.0,qual
31,joe fraser,none,5.8,8.066,0.0,13.866,2019.0,qual
33,dominick cunningham,none,5.5,8.333,0.0,13.833,2019.0,qual
34,xiao ruoteng,CHN,5.7,8.133,0.0,13.833,2019.0,qual
35,yu chao wei,none,5.8,8.033,0.0,13.833,2019.0,qual
36,artur davtyan,ARM,5.3,8.5,0.0,13.8,2019.0,qual
37,yul moldauer,USA,5.6,8.2,0.0,13.8,2019.0,qual
38,yang hak-seon,SKR,5.8,8.0,0.0,13.8,2019.0,qual
39,william emard,CAN,5.9,7.9,0.0,13.8,2019.0,qual
40,james hall,none,5.6,8.166,0.0,13.766,2019.0,qual
40,park min-soo,SKR,5.6,8.166,0.0,13.766,2019.0,qual
42,tang chia-hung,none,5.7,8.066,0.0,13.766,2019.0,qual
43,eddy yusof,SUI,5.5,8.233,0.0,13.733,2019.0,qual
44,samuel mikulak,USA,5.4,8.3,0.0,13.7,2019.0,qual
45,casimir schmidt,NED,5.4,8.266,0.0,13.666,2019.0,qual
46,manrique larduet,CUB,5.6,8.066,0.0,13.666,2019.0,qual
47,yevgen yudenkov,UKR,5.7,7.966,0.0,13.666,2019.0,qual
48,yunus gündogdu,TUR,5.9,7.766,0.0,13.666,2019.0,qual
48,akash modi,USA,5.9,7.766,0.0,13.666,2019.0,qual
50,kakeru tanigawa,JPN,5.4,8.233,0.0,13.633,2019.0,qual
51,nestor abad,ESP,5.5,8.1,0.0,13.6,2019.0,qual
52,lee jung-hyo,SKR,5.4,8.166,0.0,13.566,2019.0,qual
53,christian baumann,SUI,5.1,8.433,0.0,13.533,2019.0,qual
54,kim han-sol,SKR,5.4,8.133,0.0,13.533,2019.0,qual
55,lee chih kai,none,5.3,8.2,0.0,13.5,2019.0,qual
56,petrix barbosa,POR,5.6,7.9,0.0,13.5,2019.0,qual
57,petro pakhniuk,UKR,5.3,8.166,0.0,13.466,2019.0,qual
58,ivan tikhonov,AZE,5.3,8.133,0.0,13.433,2019.0,qual
58,rene cournoyer,CAN,5.3,8.133,0.0,13.433,2019.0,qual
60,ivan stretovich,RUS,4.9,8.441,0.0,13.341,2019.0,qual
61,devy dyson,NZL,5.3,8.0,0.0,13.3,2019.0,qual
62,pablo brägger,SUI,4.6,8.666,0.0,13.266,2019.0,qual
63,daniel villafañe,ARG,5.8,7.466,0.0,13.266,2019.0,qual
64,bart deurloo,NED,5.3,7.933,0.0,13.233,2019.0,qual
64,oliver hegi,SUI,5.3,7.933,0.0,13.233,2019.0,qual
66,robert tvorogal,LTU,4.7,8.5,0.0,13.2,2019.0,qual
67,maxime gentges,BEL,4.9,8.3,0.0,13.2,2019.0,qual
68,sofus heggemsnes,NOR,4.6,8.566,0.0,13.166,2019.0,qual
69,ilias georgiou,CYP,4.8,8.366,0.0,13.166,2019.0,qual
69,ludovico edalli,ITA,4.8,8.366,0.0,13.166,2019.0,qual
71,joel plata,ESP,5.0,8.166,0.0,13.166,2019.0,qual
72,carlos edriel yulo,PHI,5.1,8.066,0.0,13.166,2019.0,qual
73,matvei petrov,ALB,4.9,8.258,0.0,13.158,2019.0,qual
74,ilya yakauleu,BLR,5.6,7.541,0.0,13.141,2019.0,qual
75,rasuljon abdurakhimov,UZB,4.8,8.333,0.0,13.133,2019.0,qual
76,philipp herder,none,5.1,8.033,0.0,13.133,2019.0,qual
77,theodor gadderud,NOR,4.6,8.5,0.0,13.1,2019.0,qual
78,karim rida,none,4.7,8.4,0.0,13.1,2019.0,qual
79,milad karimi,KAZ,4.8,8.3,0.0,13.1,2019.0,qual
80,loris frasca,FRA,4.9,8.2,0.0,13.1,2019.0,qual
81,cory paterson,CAN,5.0,8.1,0.0,13.1,2019.0,qual
81,marios georgiou,CYP,5.0,8.1,0.0,13.1,2019.0,qual
81,nicolau mir,ESP,5.0,8.1,0.0,13.1,2019.0,qual
84,giarnni regini-moran,none,4.6,8.433,0.0,13.033,2019.0,qual
85,niccolo mozzato,ITA,4.8,8.2,0.0,13.0,2019.0,qual
86,vlad cotuna,ROU,5.1,7.9,0.0,13.0,2019.0,qual
87,daniel corral,MEX,4.8,8.166,0.0,12.966,2019.0,qual
88,reiss beckford,JAM,4.9,8.066,0.0,12.966,2019.0,qual
89,andrey likhovitskiy,BLR,4.6,8.333,0.0,12.933,2019.0,qual
90,francisco barretto,BRA,4.7,8.233,0.0,12.933,2019.0,qual
91,toma modoianu-zseder,ROU,5.3,7.633,0.0,12.933,2019.0,qual
92,krisztofer meszaros,HUN,4.5,8.4,0.0,12.9,2019.0,qual
93,akim mussayev,KAZ,4.7,8.2,0.0,12.9,2019.0,qual
94,adria vera,ESP,4.8,8.1,0.0,12.9,2019.0,qual
95,jose lopez,PUR,5.2,7.7,0.0,12.9,2019.0,qual
96,michael tone,AUS,5.3,7.6,0.0,12.9,2019.0,qual
97,pietro giachino,NOR,4.3,8.566,0.0,12.866,2019.0,qual
98,khabibullo ergashev,UZB,4.4,8.466,0.0,12.866,2019.0,qual
99,karl idesjö,SWE,4.6,8.266,0.0,12.866,2019.0,qual
