Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
37,5.4,8.2,0.0,13.6,2019,0,61,19,False,True
37,5.4,8.2,0.0,13.6,2019,0,218,32,False,True
37,5.4,8.2,0.0,13.6,2019,0,107,47,False,True
40,5.2,8.366,0.0,13.566,2019,0,203,78,False,True
41,6.0,7.566,0.0,13.566,2019,0,191,7,False,True
42,5.0,8.533,0.0,13.533,2019,0,171,78,False,True
43,5.1,8.433,0.0,13.533,2019,0,121,7,False,True
44,5.5,8.033,0.0,13.533,2019,0,164,18,False,True
45,5.5,8.016,0.0,13.516,2019,0,27,27,False,True
46,5.2,8.3,0.0,13.5,2019,0,46,14,False,True
47,5.5,8.0,0.0,13.5,2019,0,223,11,False,True
47,5.5,8.0,0.0,13.5,2019,0,16,36,False,True
49,5.6,7.9,0.0,13.5,2019,0,13,5,False,True
49,5.6,7.9,0.0,13.5,2019,0,157,7,False,True
51,5.4,8.066,0.0,13.466,2019,0,252,60,False,True
52,5.7,7.766,0.0,13.466,2019,0,26,8,False,True
53,4.8,8.6,0.0,13.4,2019,0,131,78,False,True
54,5.1,8.266,0.0,13.366,2019,0,147,63,False,True
54,5.1,8.266,0.0,13.366,2019,0,82,50,False,True
56,6.2,7.166,0.0,13.366,2019,0,206,17,False,True
57,4.9,8.433,0.0,13.333,2019,0,22,60,False,True
58,5.1,8.233,0.0,13.333,2019,0,79,71,False,True
59,5.6,7.733,0.0,13.333,2019,0,35,21,False,True
60,5.7,7.633,0.0,13.333,2019,0,146,63,False,True
61,5.8,7.533,0.0,13.333,2019,0,49,65,False,True
62,4.7,8.566,0.0,13.266,2019,0,243,12,False,True
63,5.0,8.266,0.0,13.266,2019,0,188,25,False,True
64,5.2,8.066,0.0,13.266,2019,0,89,78,False,True
65,4.6,8.633,0.0,13.233,2019,0,229,52,False,True
66,4.9,8.333,0.0,13.233,2019,0,144,78,False,True
67,5.0,8.233,0.0,13.233,2019,0,193,72,False,True
68,5.5,7.733,0.0,13.233,2019,0,155,37,False,True
69,4.9,8.3,0.0,13.2,2019,0,101,71,False,True
70,5.7,7.5,0.0,13.2,2019,0,102,18,False,True
71,4.7,8.466,0.0,13.166,2019,0,60,10,False,True
72,5.5,7.666,0.0,13.166,2019,0,190,29,False,True
73,4.6,8.533,0.0,13.133,2019,0,96,78,False,True
74,5.0,8.116,0.0,13.116,2019,0,23,14,False,True
75,4.9,8.2,0.0,13.1,2019,0,153,27,False,True
75,4.9,8.2,0.0,13.1,2019,0,143,77,False,True
77,5.7,7.366,0.0,13.066,2019,0,205,17,False,True
78,4.5,8.533,0.0,13.033,2019,0,253,64,False,True
79,4.8,8.233,0.0,13.033,2019,0,11,8,False,True
80,4.9,8.133,0.0,13.033,2019,0,250,5,False,True
80,4.9,8.133,0.0,13.033,2019,0,66,53,False,True
82,5.1,7.933,0.0,13.033,2019,0,47,55,False,True
82,5.1,7.933,0.0,13.033,2019,0,262,74,False,True
84,5.1,7.9,0.0,13.0,2019,0,111,6,False,True
85,4.4,8.566,0.0,12.966,2019,0,137,63,False,True
86,5.8,7.166,0.0,12.966,2019,0,185,25,False,True
87,4.8,8.133,0.0,12.933,2019,0,261,78,False,True
88,4.7,8.2,0.0,12.9,2019,0,57,19,False,True
89,4.9,8.0,0.0,12.9,2019,0,123,12,False,True
90,5.0,7.9,0.0,12.9,2019,0,24,58,False,True
91,5.2,7.7,0.0,12.9,2019,0,210,11,False,True
92,5.6,7.3,0.0,12.9,2019,0,52,11,False,True
93,4.5,8.366,0.0,12.866,2019,0,69,8,False,True
94,4.7,8.166,0.0,12.866,2019,0,103,8,False,True
95,5.0,7.866,0.0,12.866,2019,0,260,10,False,True
96,5.1,7.766,0.0,12.866,2019,0,161,14,False,True
97,4.9,7.933,0.0,12.833,2019,0,115,20,False,True
98,5.5,7.333,0.0,12.833,2019,0,130,40,False,True
99,4.3,8.5,0.0,12.8,2019,0,33,3,False,True
100,4.8,8.0,0.0,12.8,2019,0,73,26,False,True
101,4.3,8.466,0.0,12.766,2019,0,62,67,False,True
102,4.6,8.166,0.0,12.766,2019,0,259,33,False,True
103,6.0,6.766,0.0,12.766,2019,0,177,4,False,True
104,4.1,8.633,0.0,12.733,2019,0,72,26,False,True
104,4.1,8.633,0.0,12.733,2019,0,53,27,False,True
106,4.6,8.133,0.0,12.733,2019,0,194,43,False,True
107,4.8,7.933,0.0,12.733,2019,0,258,72,False,True
108,4.4,8.3,0.0,12.7,2019,0,178,23,False,True
109,4.5,8.2,0.0,12.7,2019,0,248,35,False,True
110,5.3,7.4,0.0,12.7,2019,0,169,5,False,True
111,4.3,8.366,0.0,12.666,2019,0,38,32,False,True
112,4.6,8.066,0.0,12.666,2019,0,135,75,False,True
113,4.7,7.966,0.0,12.666,2019,0,196,26,False,True
114,4.5,8.133,0.0,12.633,2019,0,231,52,False,True
115,4.6,8.033,0.0,12.633,2019,0,207,75,False,True
116,5.0,7.633,0.0,12.633,2019,0,3,76,False,True
117,4.5,8.1,0.0,12.6,2019,0,10,41,False,True
118,4.3,8.266,0.0,12.566,2019,0,200,64,False,True
119,4.5,8.066,0.0,12.566,2019,0,224,2,False,True
120,4.9,7.666,0.0,12.566,2019,0,170,0,False,True
121,5.1,7.466,0.0,12.566,2019,0,152,46,False,True
122,4.6,7.933,0.0,12.533,2019,0,74,48,False,True
123,4.9,7.633,0.0,12.533,2019,0,39,57,False,True
124,4.4,8.1,0.0,12.5,2019,0,228,66,False,True
125,4.5,8.0,0.0,12.5,2019,0,142,32,False,True
125,4.5,8.0,0.0,12.5,2019,0,0,75,False,True
127,5.0,7.5,0.0,12.5,2019,0,5,25,False,True
128,4.5,7.966,0.0,12.466,2019,0,120,31,False,True
129,4.0,8.433,0.0,12.433,2019,0,41,64,False,True
130,4.9,7.533,0.0,12.433,2019,0,209,38,False,True
131,6.1,6.333,0.0,12.433,2019,0,81,9,False,True
132,4.3,8.1,0.0,12.4,2019,0,214,26,False,True
133,5.7,6.7,0.0,12.4,2019,0,113,11,False,True
134,4.1,8.266,0.0,12.366,2019,0,212,43,False,True
135,4.9,7.433,0.0,12.333,2019,0,122,78,False,True
136,4.2,8.066,0.0,12.266,2019,0,104,41,False,True
137,4.0,8.233,0.0,12.233,2019,0,192,52,False,True
137,4.0,8.233,0.0,12.233,2019,0,138,67,False,True
139,4.9,7.333,0.0,12.233,2019,0,208,60,False,True
140,5.0,7.233,0.0,12.233,2019,0,125,58,False,True
141,4.0,8.2,0.0,12.2,2019,0,165,35,False,True
142,4.2,8.0,0.0,12.2,2019,0,80,56,False,True
143,4.9,7.266,0.0,12.166,2019,0,132,67,False,True
144,5.2,6.966,0.0,12.166,2019,0,83,19,False,True
145,5.8,6.366,0.0,12.166,2019,0,9,74,False,True
146,3.8,8.333,0.0,12.133,2019,0,126,69,False,True
147,4.2,7.933,0.0,12.133,2019,0,58,2,False,True
147,4.2,7.933,0.0,12.133,2019,0,251,43,False,True
149,4.9,7.233,0.0,12.133,2019,0,154,9,False,True
150,4.1,8.0,0.0,12.1,2019,0,220,39,False,True
151,4.4,7.7,0.0,12.1,2019,0,134,49,False,True
152,4.9,7.2,0.0,12.1,2019,0,67,77,False,True
153,5.0,7.1,0.0,12.1,2019,0,56,47,False,True
154,5.2,6.9,0.0,12.1,2019,0,204,52,False,True
155,4.6,7.466,0.0,12.066,2019,0,249,73,False,True
156,4.4,7.6,0.0,12.0,2019,0,239,68,False,True
157,4.6,7.4,0.0,12.0,2019,0,105,28,False,True
158,4.8,7.2,0.0,12.0,2019,0,48,50,False,True
159,5.2,6.8,0.0,12.0,2019,0,54,7,False,True
160,4.0,7.933,0.0,11.933,2019,0,174,4,False,True
161,4.3,7.6,0.0,11.9,2019,0,242,60,False,True
162,5.5,6.366,0.0,11.866,2019,0,201,57,False,True
163,4.3,7.533,0.0,11.833,2019,0,40,28,False,True
164,4.6,7.166,0.0,11.766,2019,0,34,33,False,True
165,5.3,6.466,0.0,11.766,2019,0,75,50,False,True
166,4.5,7.233,0.0,11.733,2019,0,64,56,False,True
167,4.6,7.133,0.0,11.733,2019,0,175,53,False,True
168,4.8,6.933,0.0,11.733,2019,0,244,44,False,True
169,4.5,7.166,0.0,11.666,2019,0,7,59,False,True
169,4.5,7.166,0.0,11.666,2019,0,246,51,False,True
171,4.8,6.866,0.0,11.666,2019,0,159,56,False,True
172,5.8,5.866,0.0,11.666,2019,0,43,9,False,True
173,4.0,7.6,0.0,11.6,2019,0,4,33,False,True
174,3.9,7.666,0.0,11.566,2019,0,2,34,False,True
175,3.9,7.533,0.0,11.433,2019,0,141,28,False,True
176,4.4,7.033,0.0,11.433,2019,0,181,71,False,True
177,4.2,7.2,0.0,11.4,2019,0,180,6,False,True
178,4.9,6.5,0.0,11.4,2019,0,128,27,False,True
179,4.4,6.933,0.0,11.333,2019,0,119,54,False,True
180,4.3,6.866,0.0,11.166,2019,0,237,15,False,True
180,4.3,6.866,0.0,11.166,2019,0,109,22,False,True
182,4.6,6.533,0.0,11.133,2019,0,254,72,False,True
183,4.7,6.4,0.0,11.1,2019,0,30,36,False,True
184,4.0,7.066,0.0,11.066,2019,0,117,68,False,True
185,4.0,6.933,0.0,10.933,2019,0,76,47,False,True
186,3.2,7.433,0.0,10.633,2019,0,18,42,False,True
187,4.6,5.966,0.0,10.566,2019,0,95,1,False,True
188,2.7,7.733,0.0,10.433,2019,0,1,30,False,True
189,3.2,7.233,0.0,10.433,2019,0,29,54,False,True
190,3.9,6.466,0.0,10.366,2019,0,106,58,False,True
191,2.9,7.433,0.0,10.333,2019,0,88,73,False,True
192,3.4,6.666,0.0,10.066,2019,0,173,42,False,True
193,5.3,4.733,0.0,10.033,2019,0,211,78,False,True
194,3.6,6.366,0.0,9.966,2019,0,179,70,False,True
195,2.6,6.5,0.0,9.1,2019,0,219,42,False,True
196,2.4,6.666,0.0,9.066,2019,0,25,15,False,True
197,3.8,5.233,0.0,9.033,2019,0,182,45,False,True
198,2.7,6.266,0.0,8.966,2019,0,77,24,False,True
199,2.6,5.033,0.0,7.633,2019,0,183,45,False,True
1,6.2,8.533,0.0,14.733,2019,0,94,40,True,False
2,6.5,8.233,0.0,14.733,2019,0,75,50,True,False
3,6.5,7.833,0.0,14.333,2019,0,264,13,True,False
4,6.0,8.033,0.0,14.033,2019,0,177,4,True,False
5,5.8,8.166,0.0,13.966,2019,0,245,4,True,False
6,5.6,8.3,0.0,13.9,2019,0,8,71,True,False
7,6.1,7.466,-0.3,13.266,2019,1,240,16,True,False
8,5.4,6.8,0.0,12.2,2019,0,176,41,True,False
1,5.9,8.733,0.0,14.633,2019,0,94,40,False,True
2,5.9,8.733,0.0,14.633,2019,1,240,16,False,True
3,6.5,7.9,0.0,14.4,2019,0,264,13,False,True
4,5.6,8.566,0.0,14.166,2019,0,245,4,False,True
5,6.0,8.033,0.0,14.033,2019,0,176,41,False,True
5,6.0,8.033,0.0,14.033,2019,0,177,4,False,True
7,5.6,8.366,0.0,13.966,2019,0,8,71,False,True
8,6.3,7.166,0.0,13.466,2019,0,75,50,False,True
9,5.2,8.233,0.0,13.433,2019,0,16,36,False,True
10,5.6,7.5,0.0,13.1,2019,0,236,78,False,True
11,4.8,8.166,0.0,12.966,2019,0,248,35,False,True
12,5.5,7.2,0.0,12.7,2019,0,42,50,False,True
13,5.0,7.633,0.0,12.633,2019,0,99,78,False,True
14,4.5,7.9,0.0,12.4,2019,0,151,62,False,True
15,5.1,6.8,0.0,11.9,2019,0,175,53,False,True
16,3.1,8.333,0.0,11.433,2019,0,149,63,False,True
17,4.8,6.666,-0.3,11.166,2019,0,63,32,False,True
1,5.6,8.35,0.0,27.6,2020,0,50,74,True,False
1,5.6,8.05,0.0,27.6,2020,0,50,74,True,False
2,6.0,8.35,0.0,27.55,2020,0,221,74,True,False
