Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
37,5.6,7.766,0.0,13.366,2019,0,33,60,False,True
38,5.7,7.633,0.0,13.333,2019,0,272,39,False,True
39,5.1,8.2,0.0,13.3,2019,0,17,35,False,True
40,5.2,8.066,0.0,13.266,2019,0,209,64,False,True
41,4.9,8.333,0.0,13.233,2019,0,66,10,False,True
42,5.0,8.2,0.0,13.2,2019,0,127,7,False,True
43,5.2,7.966,0.0,13.166,2019,0,271,70,False,True
44,5.6,7.566,0.0,13.166,2019,0,37,49,False,True
45,5.1,8.033,0.0,13.133,2019,0,9,58,False,True
46,5.3,7.8,0.0,13.1,2019,0,50,36,False,True
47,6.5,6.6,0.0,13.1,2019,0,184,37,False,True
48,4.7,8.366,0.0,13.066,2019,0,150,30,False,True
49,5.3,7.733,0.0,13.033,2019,0,47,9,False,True
49,5.3,7.733,0.0,13.033,2019,0,6,24,False,True
51,5.8,7.233,0.0,13.033,2019,0,185,4,False,True
51,5.8,7.233,0.0,13.033,2019,0,117,6,False,True
53,5.0,8.0,0.0,13.0,2019,0,196,24,False,True
54,4.9,8.066,0.0,12.966,2019,0,78,25,False,True
55,5.4,7.566,0.0,12.966,2019,0,239,2,False,True
55,5.4,7.566,0.0,12.966,2019,0,210,61,False,True
57,5.5,7.466,0.0,12.966,2019,0,139,75,False,True
58,4.6,8.333,0.0,12.933,2019,0,73,74,False,True
59,4.9,8.033,0.0,12.933,2019,0,3,33,False,True
60,5.1,7.8,0.0,12.9,2019,0,232,30,False,True
61,5.2,7.7,0.0,12.9,2019,0,53,49,False,True
62,5.6,7.3,0.0,12.9,2019,0,249,13,False,True
63,4.2,8.666,0.0,12.866,2019,0,186,49,False,True
64,4.9,7.966,0.0,12.866,2019,0,230,43,False,True
65,5.1,7.766,0.0,12.866,2019,0,242,72,False,True
66,5.4,7.466,0.0,12.866,2019,0,179,16,False,True
67,5.5,7.366,0.0,12.866,2019,0,255,24,False,True
68,4.5,8.3,0.0,12.8,2019,0,167,17,False,True
69,4.8,8.0,0.0,12.8,2019,0,154,61,False,True
70,5.0,7.8,0.0,12.8,2019,0,101,1,False,True
71,5.1,7.7,0.0,12.8,2019,0,136,26,False,True
72,4.4,8.333,0.0,12.733,2019,0,51,14,False,True
73,4.6,8.133,0.0,12.733,2019,0,68,66,False,True
74,5.6,7.133,0.0,12.733,2019,0,54,64,False,True
75,4.7,8.0,0.0,12.7,2019,0,277,31,False,True
76,5.2,7.5,0.0,12.7,2019,0,145,61,False,True
77,5.5,7.2,0.0,12.7,2019,0,26,8,False,True
78,4.5,8.166,0.0,12.666,2019,0,23,14,False,True
79,5.0,7.666,0.0,12.666,2019,0,36,20,False,True
80,5.1,7.566,0.0,12.666,2019,0,161,9,False,True
80,5.1,7.566,0.0,12.666,2019,0,143,73,False,True
82,5.6,7.066,0.0,12.666,2019,0,279,72,False,True
83,5.1,7.533,0.0,12.633,2019,0,88,49,False,True
84,5.3,7.3,0.0,12.6,2019,0,111,57,False,True
85,5.5,7.1,0.0,12.6,2019,0,237,72,False,True
86,5.3,7.266,0.0,12.566,2019,0,207,64,False,True
87,5.4,7.166,0.0,12.566,2019,0,109,40,False,True
87,5.4,7.166,0.0,12.566,2019,0,213,56,False,True
89,5.1,7.4,0.0,12.5,2019,0,130,24,False,True
90,4.6,7.866,0.0,12.466,2019,0,266,5,False,True
91,4.8,7.666,0.0,12.466,2019,0,32,9,False,True
92,4.9,7.566,0.0,12.466,2019,0,52,54,False,True
93,5.2,7.266,0.0,12.466,2019,0,4,75,False,True
94,5.4,7.066,0.0,12.466,2019,0,216,51,False,True
95,5.8,6.666,0.0,12.466,2019,0,159,45,False,True
96,5.1,7.333,0.0,12.433,2019,0,275,8,False,True
97,4.2,8.166,0.0,12.366,2019,0,70,55,False,True
98,5.5,6.866,0.0,12.366,2019,0,71,13,False,True
99,5.6,6.766,0.0,12.366,2019,0,244,65,False,True
100,4.4,7.933,0.0,12.333,2019,0,187,52,False,True
101,4.8,7.533,0.0,12.333,2019,0,238,11,False,True
102,5.0,7.266,0.0,12.266,2019,0,165,75,False,True
102,5.0,7.266,0.0,12.266,2019,0,263,50,False,True
104,4.9,7.333,0.0,12.233,2019,0,58,11,False,True
104,4.9,7.333,0.0,12.233,2019,0,190,22,False,True
106,5.3,6.933,0.0,12.233,2019,0,222,11,False,True
107,4.8,7.4,0.0,12.2,2019,0,115,21,False,True
108,5.0,7.2,0.0,12.2,2019,0,245,51,False,True
109,4.9,7.266,0.0,12.166,2019,0,112,46,False,True
110,5.4,6.7,0.0,12.1,2019,0,178,0,False,True
110,5.4,6.7,0.0,12.1,2019,0,102,75,False,True
112,4.6,7.466,0.0,12.066,2019,0,14,8,False,True
113,5.7,6.366,0.0,12.066,2019,0,181,7,False,True
