Rank,Athlete,Nation,D,E,ND,Total,year,round
7,michael moran,USA,5.6,8.5,0.0,28.05,2020,final
8,shane wiskus,USA,5.8,8.4,0.0,27.95,2020,final
8,shane wiskus,USA,6.0,7.75,0.0,27.95,2020,final
9,colin van wicklen,USA,5.4,8.6,-0.1,27.8,2020,final
9,colin van wicklen,USA,5.4,8.5,0.0,27.8,2020,final
10,akash modi,USA,5.9,8.0,0.0,27.7,2020,final
10,akash modi,USA,5.8,8.0,0.0,27.7,2020,final
11,yul moldauer,USA,6.1,7.75,0.0,27.6,2020,final
11,yul moldauer,USA,6.1,7.95,-0.3,27.6,2020,final
12,nicolas kuebler,USA,5.0,8.9,0.0,27.5,2020,final
12,nicolas kuebler,USA,5.0,8.7,-0.1,27.5,2020,final
13,allan bower,USA,5.7,7.55,0.0,27.45,2020,final
13,allan bower,USA,5.7,8.5,0.0,27.45,2020,final
14,timothy wang,USA,5.7,8.3,0.0,27.2,2020,final
14,timothy wang,USA,5.7,7.5,0.0,27.2,2020,final
15,donothan bailey,USA,5.5,8.2,-0.1,27.0,2020,final
15,donothan bailey,USA,5.5,7.9,0.0,27.0,2020,final
15,alex diab,USA,5.6,7.8,0.0,27.0,2020,final
15,alex diab,USA,5.7,8.0,-0.1,27.0,2020,final
17,ian gunther,USA,5.0,8.3,0.0,26.45,2020,final
17,ian gunther,USA,5.0,8.25,-0.1,26.45,2020,final
18,isaiah drake,USA,5.5,8.15,0.0,26.35,2020,final
18,isaiah drake,USA,5.4,7.3,0.0,26.35,2020,final
19,colt walker,USA,5.5,7.7,-0.1,25.85,2020,final
19,colt walker,USA,5.3,7.45,0.0,25.85,2020,final
20,sean melton,USA,5.3,7.95,0.0,25.4,2020,final
20,sean melton,USA,5.5,6.65,0.0,25.4,2020,final
21,robert neff,USA,6.2,7.0,0.0,24.85,2020,final
21,robert neff,USA,6.4,5.25,0.0,24.85,2020,final
22,kiwan watts,USA,5.1,6.95,0.0,24.35,2020,final
22,kiwan watts,USA,5.1,7.2,0.0,24.35,2020,final
