Rank,FX,PH,SR,VT,PB,HB,AA,year,Nation,Name,round_final,round_qual
159.0,0.0,0.0,0.0,0.0,0.0,14.1,14.1,2021,,24,False,True
159.0,0.0,0.0,0.0,14.1,0.0,0.0,14.1,2021,,351,False,True
161.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,2021,,281,False,True
162.0,0.0,0.0,13.966,0.0,0.0,0.0,13.966,2021,,71,False,True
163.0,0.0,13.866,0.0,0.0,0.0,0.0,13.866,2021,,252,False,True
163.0,0.0,0.0,0.0,0.0,0.0,13.866,13.866,2021,,88,False,True
165.0,0.0,0.0,0.0,0.0,0.0,13.766,13.766,2021,,35,False,True
165.0,0.0,13.766,0.0,0.0,0.0,0.0,13.766,2021,,177,False,True
165.0,0.0,13.766,0.0,0.0,0.0,0.0,13.766,2021,,326,False,True
168.0,0.0,0.0,13.666,0.0,0.0,0.0,13.666,2021,,357,False,True
169.0,0.0,0.0,0.0,13.6,0.0,0.0,13.6,2021,,175,False,True
170.0,13.5,0.0,0.0,0.0,0.0,0.0,13.5,2021,,320,False,True
171.0,0.0,13.466,0.0,0.0,0.0,0.0,13.466,2021,,403,False,True
171.0,0.0,0.0,13.466,0.0,0.0,0.0,13.466,2021,,193,False,True
173.0,0.0,0.0,13.4,0.0,0.0,0.0,13.4,2021,,218,False,True
174.0,0.0,0.0,0.0,0.0,13.366,0.0,13.366,2021,,346,False,True
174.0,0.0,0.0,13.366,0.0,0.0,0.0,13.366,2021,,21,False,True
176.0,0.0,13.333,0.0,0.0,0.0,0.0,13.333,2021,,82,False,True
177.0,0.0,0.0,0.0,13.233,0.0,0.0,13.233,2021,,153,False,True
178.0,0.0,12.566,0.0,0.0,0.0,0.0,12.566,2021,,317,False,True
179.0,0.0,0.0,0.0,0.0,0.0,12.466,12.466,2021,,9,False,True
180.0,12.366,0.0,0.0,0.0,0.0,0.0,12.366,2021,,46,False,True
181.0,0.0,0.0,0.0,0.0,12.066,0.0,12.066,2021,,163,False,True
182.0,0.0,11.9,0.0,0.0,0.0,0.0,11.9,2021,,47,False,True
183.0,0.0,11.366,0.0,0.0,0.0,0.0,11.366,2021,,105,False,True
184.0,0.0,11.333,0.0,0.0,0.0,0.0,11.333,2021,,185,False,True
185.0,0.0,0.0,0.0,0.0,10.933,0.0,10.933,2021,,277,False,True
186.0,0.0,0.0,0.0,0.0,0.0,10.666,10.666,2021,,367,False,True
187.0,10.566,0.0,0.0,0.0,0.0,0.0,10.566,2021,,73,False,True
188.0,10.1,0.0,0.0,0.0,0.0,0.0,10.1,2021,,249,False,True
1.0,14.883,13.466,14.6,14.866,15.366,14.8,87.981,2021,,421,True,False
2.0,14.833,14.166,13.966,14.8,15.066,15.133,87.964,2021,,147,True,False
3.0,14.366,14.4,12.933,14.3,14.4,14.5,84.899,2021,,166,True,False
4.0,14.5,14.866,12.466,14.333,14.9,13.3,84.365,2021,,414,True,False
5.0,14.1,13.8,13.666,13.966,14.8,13.9,84.232,2021,,14,True,False
6.0,14.466,13.5,13.733,14.658,13.4,14.3,84.057,2021,,352,True,False
7.0,14.133,13.766,13.2,14.0,14.666,13.6,83.365,2021,,192,True,False
8.0,14.633,12.433,14.625,14.466,13.766,13.333,83.256,2021,,401,True,False
9.0,13.7,15.0,12.833,14.366,13.966,13.366,83.231,2021,,200,True,False
10.0,13.9,13.233,13.666,14.233,14.366,13.333,82.731,2021,,280,True,False
11.0,14.4,12.733,14.466,14.7,12.6,13.8,82.699,2021,,7,True,False
12.0,13.7,13.7,13.4,14.058,13.9,13.933,82.691,2021,,150,True,False
13.0,13.3,12.2,13.966,14.633,14.566,14.0,82.665,2021,,61,True,False
14.0,13.8,13.716,13.066,13.833,13.633,13.533,81.581,2021,,222,True,False
15.0,13.033,13.2,13.175,13.666,14.466,14.0,81.54,2021,,334,True,False
16.0,13.666,12.933,12.833,14.533,13.5,13.8,81.265,2021,,240,True,False
17.0,13.733,12.466,13.366,14.116,13.4,13.566,80.647,2021,,290,True,False
18.0,13.866,13.7,12.633,13.966,13.266,12.366,79.797,2021,,332,True,False
19.0,12.733,12.633,13.308,14.033,13.666,13.366,79.739,2021,,294,True,False
20.0,13.6,12.9,12.366,13.3,13.166,14.266,79.598,2021,,296,True,False
21.0,12.5,13.6,13.233,14.266,12.5,13.2,79.299,2021,,354,True,False
22.0,13.566,13.333,12.5,13.666,13.7,11.466,78.231,2021,,304,True,False
23.0,12.833,12.666,11.166,13.466,13.3,12.833,76.264,2021,,115,True,False
24.0,12.333,11.2,12.666,13.633,13.0,11.333,74.165,2021,,20,True,False
1.0,14.166,13.733,14.0,14.4,14.866,13.566,84.731,2022,,371,False,True
2.0,14.466,11.666,14.0,14.7,14.733,15.1,84.665,2022,,147,False,True
3.0,15.266,11.766,14.066,14.733,15.3,13.533,84.664,2022,,67,False,True
4.0,13.9,12.533,13.933,14.266,15.066,14.266,83.964,2022,,190,False,True
5.0,14.5,14.0,12.033,13.6,14.9,14.733,83.766,2022,,421,False,True
6.0,13.866,13.3,13.9,14.433,14.6,13.2,83.299,2022,,41,False,True
7.0,13.5,12.9,13.3,14.6,14.666,13.833,82.799,2022,,192,False,True
8.0,12.766,13.433,13.7,14.333,13.966,14.433,82.631,2022,,60,False,True
9.0,13.8,13.5,13.933,14.333,13.966,13.033,82.565,2022,,68,False,True
10.0,13.566,13.166,13.8,14.533,13.166,14.333,82.564,2022,,61,False,True
11.0,13.9,13.533,13.066,14.6,14.166,13.1,82.365,2022,,176,False,True
12.0,13.466,13.566,13.066,14.1,14.1,13.966,82.264,2022,,92,False,True
13.0,14.466,13.033,13.366,13.666,13.766,13.633,81.93,2022,,337,False,True
14.0,14.133,12.933,14.666,13.933,12.533,13.566,81.764,2022,,7,False,True
15.0,12.7,13.733,12.4,14.4,14.966,13.533,81.732,2022,,166,False,True
16.0,13.666,13.966,13.0,13.6,13.7,13.6,81.532,2022,,415,False,True
17.0,14.166,13.0,13.366,13.9,13.533,12.733,80.698,2022,,369,False,True
18.0,13.666,12.233,13.133,13.866,15.4,12.133,80.431,2022,,241,False,True
19.0,13.5,12.4,13.233,14.433,13.433,13.1,80.099,2022,,354,False,True
20.0,13.166,12.3,12.8,13.166,14.533,14.1,80.065,2022,,221,False,True
21.0,12.933,13.3,12.066,13.033,15.166,13.4,79.898,2022,,201,False,True
22.0,13.7,11.733,12.8,14.5,14.333,12.733,79.799,2022,,240,False,True
23.0,13.266,12.466,13.2,14.8,13.5,12.566,79.798,2022,,132,False,True
24.0,13.833,13.166,13.266,14.3,13.2,12.0,79.765,2022,,235,False,True
25.0,13.4,12.766,12.566,13.5,14.3,13.166,79.698,2022,,280,False,True
26.0,13.733,12.866,13.6,13.766,13.866,11.7,79.531,2022,,301,False,True
27.0,13.1,13.3,12.966,13.666,13.866,12.633,79.531,2022,,271,False,True
28.0,14.233,12.466,13.1,12.833,14.5,12.366,79.498,2022,,222,False,True
29.0,13.466,12.2,12.6,13.9,14.2,13.0,79.366,2022,,144,False,True
30.0,13.166,14.3,11.966,13.9,13.533,12.433,79.298,2022,,3,False,True
31.0,12.533,12.166,13.2,14.1,13.7,13.566,79.265,2022,,310,False,True
32.0,13.066,12.933,13.3,13.166,13.966,12.633,79.064,2022,,231,False,True
33.0,12.733,12.633,13.433,14.6,13.266,12.233,78.898,2022,,230,False,True
34.0,13.4,11.9,11.766,14.533,13.766,13.266,78.631,2022,,216,False,True
35.0,12.433,10.366,13.366,14.533,13.866,13.766,78.33,2022,,118,False,True
36.0,13.466,13.033,13.2,12.8,13.266,12.533,78.298,2022,,50,False,True
37.0,12.833,12.166,13.166,13.766,13.2,13.1,78.231,2022,,139,False,True
38.0,13.8,12.033,13.066,13.333,13.133,12.7,78.065,2022,,99,False,True
39.0,12.5,13.533,12.833,13.466,12.6,13.033,77.965,2022,,299,False,True
40.0,12.8,12.133,12.633,13.8,13.566,13.0,77.932,2022,,105,False,True
41.0,13.366,13.1,12.5,13.766,13.466,11.5,77.698,2022,,167,False,True
42.0,12.066,12.466,12.866,14.0,13.466,12.566,77.43,2022,,86,False,True
43.0,13.1,10.966,11.733,14.3,13.866,13.4,77.365,2022,,296,False,True
44.0,13.566,11.733,12.566,13.566,13.533,11.966,76.93,2022,,368,False,True
45.0,12.7,13.6,12.6,13.7,12.833,11.466,76.899,2022,,212,False,True
46.0,13.233,12.733,11.1,13.733,13.3,12.5,76.599,2022,,340,False,True
47.0,12.233,12.366,12.033,13.666,13.566,12.666,76.53,2022,,409,False,True
48.0,13.5,11.133,13.2,12.2,13.5,12.966,76.499,2022,,324,False,True
49.0,13.266,12.533,12.0,13.5,13.333,11.466,76.098,2022,,223,False,True
50.0,12.7,10.3,12.7,14.433,12.6,13.266,75.999,2022,,149,False,True
51.0,13.066,12.833,13.0,12.766,13.5,10.766,75.931,2022,,260,False,True
52.0,13.6,11.7,13.8,12.966,11.933,11.866,75.865,2022,,261,False,True
53.0,13.266,12.3,11.7,13.533,11.966,13.1,75.865,2022,,20,False,True
54.0,12.6,12.6,12.166,13.566,12.3,12.566,75.798,2022,,43,False,True
55.0,11.666,11.766,12.566,13.866,12.8,13.066,75.73,2022,,136,False,True
56.0,13.266,11.433,11.233,13.8,12.6,13.366,75.698,2022,,332,False,True
57.0,12.2,11.4,12.3,13.933,13.1,12.733,75.666,2022,,74,False,True
58.0,11.166,11.5,12.633,14.366,13.866,12.1,75.631,2022,,173,False,True
59.0,12.533,10.9,12.3,13.4,13.533,12.9,75.566,2022,,382,False,True
60.0,12.8,12.266,11.966,13.533,12.4,12.5,75.465,2022,,197,False,True
61.0,11.6,11.8,13.4,14.166,13.966,10.5,75.432,2022,,85,False,True
62.0,12.8,11.7,12.3,12.566,13.5,11.9,74.766,2022,,135,False,True
63.0,11.133,11.833,12.0,13.766,12.9,13.033,74.665,2022,,27,False,True
64.0,12.833,12.1,11.566,12.733,12.966,12.433,74.631,2022,,243,False,True
65.0,13.0,13.0,11.866,13.3,12.3,10.9,74.366,2022,,133,False,True
66.0,12.566,10.366,12.366,13.7,12.933,12.366,74.297,2022,,191,False,True
67.0,12.9,12.066,12.766,12.633,11.466,12.133,73.964,2022,,187,False,True
68.0,12.566,9.5,12.866,13.2,12.7,12.966,73.798,2022,,411,False,True
69.0,11.6,12.566,11.833,13.7,12.8,11.033,73.532,2022,,103,False,True
70.0,13.233,11.866,12.566,12.6,12.3,10.866,73.431,2022,,30,False,True
71.0,11.6,12.3,12.8,13.5,13.033,10.166,73.399,2022,,388,False,True
72.0,12.466,11.066,12.033,13.7,11.633,12.033,72.931,2022,,1,False,True
73.0,10.566,12.166,12.566,12.766,12.733,12.133,72.93,2022,,196,False,True
74.0,11.966,9.566,12.566,13.2,12.366,12.733,72.397,2022,,349,False,True
75.0,12.633,10.033,11.9,13.5,12.466,11.766,72.298,2022,,194,False,True
76.0,12.5,10.966,11.666,12.9,11.8,12.2,72.032,2022,,189,False,True
77.0,11.2,10.866,12.433,13.533,12.1,11.866,71.998,2022,,393,False,True
78.0,12.9,10.233,12.4,12.9,12.2,10.9,71.533,2022,,55,False,True
79.0,11.733,9.033,12.233,13.633,12.433,12.2,71.265,2022,,142,False,True
,14.3,14.266,13.233,14.266,14.933,0.0,70.998,2022,,370,False,True
80.0,12.366,12.4,10.5,12.666,11.7,11.1,70.732,2022,,33,False,True
81.0,12.266,9.233,11.6,13.533,12.566,11.4,70.598,2022,,227,False,True
82.0,12.8,9.433,11.8,12.233,12.466,11.766,70.498,2022,,265,False,True
83.0,13.033,5.4,12.633,14.233,12.6,11.833,69.732,2022,,141,False,True
84.0,12.533,8.666,11.266,12.966,11.666,11.3,68.397,2022,,328,False,True
,14.433,12.266,12.833,14.6,14.1,0.0,68.232,2022,,285,False,True
,13.233,0.0,12.866,13.833,14.533,13.5,67.965,2022,,256,False,True
85.0,14.133,12.833,14.333,0.0,13.666,11.9,66.865,2022,,100,False,True
,14.1,12.0,0.0,13.9,12.4,14.366,66.766,2022,,35,False,True
,10.433,0.0,13.566,14.6,14.866,13.2,66.665,2022,,78,False,True
,13.833,0.0,12.6,14.0,13.833,12.133,66.399,2022,,272,False,True
,14.166,14.033,13.466,0.0,12.766,11.633,66.064,2022,,180,False,True
,13.1,0.0,13.433,13.9,12.733,12.833,65.999,2022,,71,False,True
,13.333,12.3,0.0,14.3,12.933,12.3,65.166,2022,,408,False,True
,11.933,13.166,0.0,13.966,13.0,12.966,65.031,2022,,11,False,True
,12.7,10.2,0.0,14.066,14.766,13.166,64.898,2022,,288,False,True
,14.533,13.433,0.0,14.633,14.966,7.133,64.698,2022,,137,False,True
86.0,10.6,4.533,11.766,13.1,13.0,11.666,64.665,2022,,106,False,True
,0.0,12.766,13.3,13.5,12.966,11.866,64.398,2022,,64,False,True
,13.633,11.033,12.866,13.866,0.0,12.7,64.098,2022,,195,False,True
,13.266,0.0,12.733,13.733,13.166,10.233,63.131,2022,,96,False,True
,12.033,11.766,0.0,13.433,13.366,12.166,62.764,2022,,331,False,True
,10.666,12.066,0.0,12.633,13.866,10.366,59.597,2022,,275,False,True
,14.766,14.466,0.0,14.566,0.0,13.8,57.598,2022,,97,False,True
,0.0,13.0,0.0,14.033,15.2,12.933,55.166,2022,,120,False,True
,14.733,12.166,0.0,14.2,0.0,13.833,54.932,2022,,268,False,True
,13.166,14.166,13.466,0.0,14.133,0.0,54.931,2022,,295,False,True
,13.866,0.0,0.0,13.8,13.966,13.2,54.832,2022,,56,False,True
,0.0,13.433,13.666,14.3,0.0,13.133,54.532,2022,,25,False,True
,0.0,13.633,14.633,0.0,12.7,13.233,54.199,2022,,412,False,True
,13.3,12.666,0.0,14.466,0.0,13.666,54.098,2022,,406,False,True
,12.1,0.0,13.333,14.0,14.6,0.0,54.033,2022,,26,False,True
