Rank,Athlete,Nation,D,E,ND,Total,round,year
118,dinh phuong thanh,VIE,5.2,7.033,0.0,12.233,qual,2018
119,brinn bevan,none,5.5,6.733,0.0,12.233,qual,2018
120,raman antropau,BLR,4.8,7.4,0.0,12.2,qual,2018
121,ri yong min,none,5.4,6.8,0.0,12.2,qual,2018
122,santiago mayol,ARG,4.5,7.666,0.0,12.166,qual,2018
123,reiss beckford,JAM,4.8,7.366,0.0,12.166,qual,2018
124,kyleab ellis,NZL,4.1,8.033,0.0,12.133,qual,2018
125,artur davtyan,ARM,4.3,7.833,0.0,12.133,qual,2018
126,han jong hyok,none,6.0,6.133,0.0,12.133,qual,2018
127,jonathan vrolix,BEL,4.0,8.066,0.0,12.066,qual,2018
127,kim vanström,SWE,4.0,8.066,0.0,12.066,qual,2018
129,kiryl tsiareshchanka,BLR,4.7,7.366,0.0,12.066,qual,2018
130,bojan dejanovic,SRB,4.0,8.0,0.0,12.0,qual,2018
131,dzianis sanuvonh,BLR,4.8,7.2,0.0,12.0,qual,2018
132,andrea russo,ITA,5.0,7.0,0.0,12.0,qual,2018
133,ahmet önder,TUR,5.1,6.9,0.0,12.0,qual,2018
134,filip ude,CRO,4.2,7.766,0.0,11.966,qual,2018
135,ilan korchak,ISR,4.5,7.466,0.0,11.966,qual,2018
136,harald wibye,NOR,4.6,7.333,0.0,11.933,qual,2018
137,marcel nguyen,none,5.5,6.433,0.0,11.933,qual,2018
138,filip lidbeck,SWE,3.7,8.2,0.0,11.9,qual,2018
139,henrik stiansen,NOR,4.1,7.8,0.0,11.9,qual,2018
140,maxime gentges,BEL,4.9,7.3,-0.3,11.9,qual,2018
141,scott costin,AUS,3.8,8.0,0.0,11.8,qual,2018
142,nicolau mir,ESP,4.7,7.1,0.0,11.8,qual,2018
143,han chung hyo,none,5.1,6.7,0.0,11.8,qual,2018
144,andreas toba,none,5.6,6.2,0.0,11.8,qual,2018
145,ioane jimsheleishvili,GEO,4.2,7.533,0.0,11.733,qual,2018
146,patricio razo,MEX,4.4,7.333,0.0,11.733,qual,2018
147,frantisek cerny,CZE,4.7,7.033,0.0,11.733,qual,2018
148,akim mussayev,KAZ,4.4,7.3,0.0,11.7,qual,2018
149,federico molinari,ARG,4.6,7.1,0.0,11.7,qual,2018
150,ibrahim colak,TUR,4.9,6.8,0.0,11.7,qual,2018
151,park min-soo,SKR,5.4,6.3,0.0,11.7,qual,2018
152,konstantin kuzovkov,GEO,3.7,7.966,0.0,11.666,qual,2018
153,rafael szabo,ROU,3.9,7.766,0.0,11.666,qual,2018
154,nikita simonov,AZE,4.6,7.066,0.0,11.666,qual,2018
155,vigen khachatryan,ARM,4.0,7.633,0.0,11.633,qual,2018
155,tikumporn surintornta,THA,4.0,7.633,0.0,11.633,qual,2018
157,rasuljon abdurakhimov,UZB,4.3,7.333,0.0,11.633,qual,2018
158,simao almeida,POR,4.4,7.2,0.0,11.6,qual,2018
159,devy dyson,NZL,4.7,6.9,0.0,11.6,qual,2018
160,arian leon,PER,4.0,7.583,0.0,11.583,qual,2018
161,dmitrii govorov,GEO,3.9,7.666,0.0,11.566,qual,2018
162,carlos edriel yulo,PHI,5.2,6.366,0.0,11.566,qual,2018
163,loo phay xing,MAS,4.0,7.533,0.0,11.533,qual,2018
164,fabio sereinig,AUT,4.8,6.733,0.0,11.533,qual,2018
165,phan ngoc hung,VIE,3.9,7.6,0.0,11.5,qual,2018
166,khusniddin abdusamatov,UZB,4.5,7.0,0.0,11.5,qual,2018
167,abdulla azimov,UZB,4.3,7.166,0.0,11.466,qual,2018
168,caleb faulk,JAM,4.5,6.966,0.0,11.466,qual,2018
169,stephen lewis,JAM,3.9,7.55,0.0,11.45,qual,2018
170,lucas bitencourt,BRA,5.6,5.8,0.0,11.4,qual,2018
171,saleem naghouj,JOR,3.8,7.566,0.0,11.366,qual,2018
172,vitalii arseniev,GEO,4.0,7.366,0.0,11.366,qual,2018
173,andres martinez,COL,4.7,6.666,0.0,11.366,qual,2018
174,murad agharzayev,AZE,4.6,6.733,0.0,11.333,qual,2018
175,neofytos kyriakou,CYP,3.2,8.1,0.0,11.3,qual,2018
176,svjatoslav solovjev,CZE,4.0,7.3,0.0,11.3,qual,2018
177,eythor baldursson,ISL,3.4,7.866,0.0,11.266,qual,2018
178,yasir al dulaimi,IRQ,4.2,6.966,0.0,11.166,qual,2018
179,ri wi chol,none,4.7,6.466,0.0,11.166,qual,2018
180,yordan aleksandrov,BUL,4.6,6.5,0.0,11.1,qual,2018
181,jon gunnarsson,ISL,3.6,7.4,0.0,11.0,qual,2018
182,jamorn prommanee,THA,3.7,7.3,0.0,11.0,qual,2018
183,joachim winther,DEN,4.6,6.4,0.0,11.0,qual,2018
184,michalis krasias,CYP,4.4,6.533,0.0,10.933,qual,2018
185,milos paunovic,SRB,4.6,6.333,0.0,10.933,qual,2018
186,julian jato,ARG,3.9,6.766,0.0,10.666,qual,2018
187,wei an terry tay,SIN,3.5,6.9,0.0,10.4,qual,2018
188,francisco rojo,MEX,4.5,5.9,0.0,10.4,qual,2018
189,erick vargas,COL,4.9,5.5,0.0,10.4,qual,2018
190,timur bairamov,AZE,4.2,6.166,0.0,10.366,qual,2018
191,fabian de luna,MEX,4.2,6.1,0.0,10.3,qual,2018
192,petrix barbosa,POR,4.4,5.8,0.0,10.2,qual,2018
193,valgard reinhardsson,ISL,4.1,5.666,0.0,9.766,qual,2018
194,bobur toshpulatov,UZB,4.6,5.166,0.0,9.766,qual,2018
195,artur tovmasyan,ARM,2.8,6.333,0.0,9.133,qual,2018
196,ahmed mosa,QAT,4.2,4.8,0.0,9.0,qual,2018
197,daniel ponizil,CZE,1.9,6.366,-4.0,4.266,qual,2018
