Rank,Athlete,Nation,D,E,ND,Total,round,year
128,lucas bitencourt,BRA,5.5,7.8,-0.3,13.0,qual,2019
129,oleg verniaiev,UKR,5.7,7.7,-0.4,13.0,qual,2019
130,daniel radovesnicky,CZE,4.9,8.066,0.0,12.966,qual,2019
131,noah kuavita,BEL,5.3,7.866,-0.2,12.966,qual,2019
132,vitalijs kardasovs,LAT,5.2,7.766,0.0,12.966,qual,2019
133,reiss beckford,JAM,5.4,7.633,-0.1,12.933,qual,2019
134,mohamed abdeldjalil bourguieg,ALG,4.9,8.0,0.0,12.9,qual,2019
135,rihards trams,LAT,4.8,8.066,0.0,12.866,qual,2019
136,joel alvarez,CHI,4.9,7.966,0.0,12.866,qual,2019
136,yogeshwar singh,IND,4.9,7.966,0.0,12.866,qual,2019
138,audrys nin reyes,DOM,5.6,7.266,0.0,12.866,qual,2019
139,olegs ivanovs,LAT,4.9,8.033,-0.1,12.833,qual,2019
140,lukasz borkowski,POL,4.9,7.933,0.0,12.833,qual,2019
141,cory paterson,CAN,5.3,7.5,0.0,12.8,qual,2019
142,arian leon prado,PER,4.4,8.366,0.0,12.766,qual,2019
143,jamorn prommanee,THA,5.1,7.6,0.0,12.7,qual,2019
144,bidzina sitchinava,GEO,5.4,7.4,-0.1,12.7,qual,2019
145,michael tone,AUS,4.5,8.166,0.0,12.666,qual,2019
146,enkhtulga altansukh,MGL,4.8,7.866,0.0,12.666,qual,2019
147,israel chiriboga,ECU,5.3,7.433,-0.1,12.633,qual,2019
148,jesus moreto,PER,4.5,8.1,0.0,12.6,qual,2019
149,mikhail koudinov,NZL,4.7,7.9,0.0,12.6,qual,2019
150,adickxon trejo,VEN,5.0,7.666,-0.1,12.566,qual,2019
151,kakeru tanigawa,JPN,6.2,6.966,-0.6,12.566,qual,2019
152,frank rijken,NED,4.5,8.433,-0.4,12.533,qual,2019
153,mohamed afify,EGY,4.3,8.233,0.0,12.533,qual,2019
154,benedek tomcsanyi,HUN,5.4,7.133,0.0,12.533,qual,2019
155,gabriel swan,AUS,6.2,6.333,0.0,12.533,qual,2019
156,hsu ping chien,none,4.3,8.2,0.0,12.5,qual,2019
157,nikolaos iliopoulos,GRE,4.8,7.7,0.0,12.5,qual,2019
158,soma laszlo csorvasi,HUN,5.1,7.933,-0.6,12.433,qual,2019
159,dinh phuong thanh,VIE,5.1,7.333,0.0,12.433,qual,2019
160,yahor sharamkou,BLR,6.0,6.733,-0.3,12.433,qual,2019
161,vlada rakovic,SRB,3.7,8.7,0.0,12.4,qual,2019
162,devy dyson,NZL,4.7,7.9,-0.2,12.4,qual,2019
163,fabian de luna,MEX,4.9,7.5,0.0,12.4,qual,2019
164,hillal metidji,ALG,4.3,8.066,0.0,12.366,qual,2019
165,ilya yakauleu,BLR,5.3,7.566,-0.5,12.366,qual,2019
166,ahmed al dyani,QAT,4.9,7.466,0.0,12.366,qual,2019
167,marios georgiou,CYP,5.1,7.333,-0.1,12.333,qual,2019
168,daniel villafañe,ARG,5.2,7.4,-0.3,12.3,qual,2019
169,saleem naghouj,JOR,4.5,7.766,0.0,12.266,qual,2019
169,petrix barbosa,POR,4.5,7.766,0.0,12.266,qual,2019
171,mustafa arca,TUR,5.5,6.966,-0.2,12.266,qual,2019
172,rafael rosendi,CUB,5.3,6.966,0.0,12.266,qual,2019
173,andres valverde,CRC,4.0,8.233,0.0,12.233,qual,2019
174,isaac cotto,PUR,4.7,7.366,0.0,12.066,qual,2019
175,filip sasnal,POL,4.8,7.6,-0.4,12.0,qual,2019
176,carlos calvo,COL,5.3,6.7,0.0,12.0,qual,2019
177,ilyas azizov,KAZ,5.7,6.5,-0.2,12.0,qual,2019
178,ryan sheppard,HUN,5.5,6.533,-0.1,11.933,qual,2019
179,joseph fox,TRI,3.8,8.366,-0.3,11.866,qual,2019
180,tarik soto,CRC,4.4,7.766,-0.3,11.866,qual,2019
181,andrei muntean,ROU,5.7,6.533,-0.4,11.833,qual,2019
182,loo phay xing,MAS,5.5,6.333,0.0,11.833,qual,2019
183,ali al jafar,KUW,3.8,7.966,0.0,11.766,qual,2019
184,nabil zouhair,MAR,4.9,6.866,0.0,11.766,qual,2019
185,ilias georgiou,CYP,4.8,6.9,0.0,11.7,qual,2019
186,martin gudmundsson,ISL,4.4,7.266,0.0,11.666,qual,2019
187,kevin crovetto,MON,4.5,7.233,-0.1,11.633,qual,2019
188,jorge vega,GUA,5.4,6.5,-0.3,11.6,qual,2019
189,samuel mikulak,USA,5.4,6.133,0.0,11.533,qual,2019
190,matvei petrov,ALB,4.4,7.333,-0.3,11.433,qual,2019
191,samir aït saïd,FRA,5.1,6.566,-0.3,11.366,qual,2019
192,slavomir michnak,SVK,5.1,6.3,-0.1,11.3,qual,2019
193,sabah al subaiei,KUW,3.8,7.433,0.0,11.233,qual,2019
194,mohamed aziz trabelsi,TUN,5.3,6.4,-0.6,11.1,qual,2019
195,yazan al souliman,SYR,4.8,6.6,-0.4,11.0,qual,2019
196,manuel martinez,COL,4.5,6.466,0.0,10.966,qual,2019
197,fabio chicas,ESA,3.2,7.633,0.0,10.833,qual,2019
198,toma modoianu-zseder,ROU,5.0,6.333,-0.7,10.633,qual,2019
199,gerardo cabrera,URU,5.1,5.533,0.0,10.633,qual,2019
200,jose lopez,PUR,4.8,6.266,-0.7,10.366,qual,2019
201,abellino rubio,GUA,4.0,6.633,-0.4,10.233,qual,2019
202,meshari al deriwish,KUW,3.2,6.5,0.0,9.7,qual,2019
203,andrey medvedev,ISR,2.9,7.333,-0.8,9.433,qual,2019
204,prosper okosun,NGR,3.6,6.133,-0.3,9.433,qual,2019
205,nahel clement bouanane,MAR,4.6,5.5,-1.1,9.0,qual,2019
