Rank,Athlete,Nation,D,E,ND,Total
156,Hsu Ping Chien,Chinese Taipei,4.3,8.2,,12.5
157,Nikolaos Iliopoulos,Greece,4.8,7.7,,12.5
158,Soma Laszlo Csorvasi,Hungary,5.1,7.933,-0.6,12.433
159,Dinh Phuong Thanh,Vietnam,5.1,7.333,,12.433
160,Yahor Sharamkou,Belarus,6,6.733,-0.3,12.433
161,Vlada Rakovic,Serbia,3.7,8.7,,12.4
162,Devy Dyson,New Zealand,4.7,7.9,-0.2,12.4
163,Fabian de Luna,Mexico,4.9,7.5,,12.4
164,Hillal Metidji,Algeria,4.3,8.066,,12.366
165,Ilya Yakauleu,Belarus,5.3,7.566,-0.5,12.366
166,Ahmed Al Dyani,Qatar,4.9,7.466,,12.366
167,Marios Georgiou,Cyprus,5.1,7.333,-0.1,12.333
168,Daniel Villafañe,Argentina,5.2,7.4,-0.3,12.3
169,Saleem Naghouj,Jordan,4.5,7.766,,12.266
169,Petrix Barbosa,Portugal,4.5,7.766,,12.266
171,Mustafa Arca,Turkey,5.5,6.966,-0.2,12.266
172,Rafael Rosendi,Cuba,5.3,6.966,,12.266
173,Andres Valverde,Costa Rica,4,8.233,,12.233
174,Isaac Cotto,Puerto Rico,4.7,7.366,,12.066
175,Filip Sasnal,Poland,4.8,7.6,-0.4,12
176,Carlos Calvo,Colombia,5.3,6.7,,12
177,Ilyas Azizov,Kazakhstan,5.7,6.5,-0.2,12
178,Ryan Sheppard,Hungary,5.5,6.533,-0.1,11.933
179,Joseph Fox,Trinidad & Tobago,3.8,8.366,-0.3,11.866
180,Tarik Soto,Costa Rica,4.4,7.766,-0.3,11.866
181,Andrei Muntean,Romania,5.7,6.533,-0.4,11.833
182,Loo Phay Xing,Malaysia,5.5,6.333,,11.833
183,Ali Al Jafar,Kuwait,3.8,7.966,,11.766
184,Nabil Zouhair,Morocco,4.9,6.866,,11.766
185,Ilias Georgiou,Cyprus,4.8,6.9,,11.7
186,Martin Gudmundsson,Iceland,4.4,7.266,,11.666
187,Kevin Crovetto,Monaco,4.5,7.233,-0.1,11.633
188,Jorge Vega,Guatemala,5.4,6.5,-0.3,11.6
189,Samuel Mikulak,United States,5.4,6.133,,11.533
190,Matvei Petrov,Albania,4.4,7.333,-0.3,11.433
191,Samir Aït Saïd,France,5.1,6.566,-0.3,11.366
192,Slavomir Michnak,Slovakia,5.1,6.3,-0.1,11.3
193,Sabah Al Subaiei,Kuwait,3.8,7.433,,11.233
194,Mohamed Aziz Trabelsi,Tunisia,5.3,6.4,-0.6,11.1
195,Yazan Al Souliman,Syria,4.8,6.6,-0.4,11
196,Manuel Martinez,Colombia,4.5,6.466,,10.966
197,Fabio Chicas,El Salvador,3.2,7.633,,10.833
198,Toma Modoianu-Zseder,Romania,5,6.333,-0.7,10.633
199,Gerardo Cabrera,Uruguay,5.1,5.533,,10.633
200,Jose Lopez,Puerto Rico,4.8,6.266,-0.7,10.366
201,Abellino Rubio,Guatemala,4,6.633,-0.4,10.233
202,Meshari Al Deriwish,Kuwait,3.2,6.5,,9.7
203,Andrey Medvedev,Israel,2.9,7.333,-0.8,9.433
204,Prosper Okosun,Nigeria,3.6,6.133,-0.3,9.433
205,Nahel Clement Bouanane,Morocco,4.6,5.5,-1.1,9
